Thu Aug 27 05:25:28 PDT 2015 --  Don't be someone's side effect.
Wed Aug 26 23:47:19 PDT 2015 --  An #Aquarian values the truth much more than a lie. If you tell the truth from the beginning, an #Aquarian will be more apt to forgive you.
Wed Aug 26 23:09:38 PDT 2015 --  I know I am hated a lot...by people that do not understand me.
Wed Aug 26 21:46:05 PDT 2015 --  Don't get tempted to have sex with those who write well about it. They will keep writing mental drafts even when with you.
Wed Aug 26 17:17:02 PDT 2015 --  #Aquarians can speak fluent sarcasm which some people easily believe.
Wed Aug 26 06:17:12 PDT 2015 --  With #Aquarians, they can love the world one minute and be mad at everything the next.
Tue Aug 25 23:42:17 PDT 2015 --  This Image speaks thousand words ! pic.twitter.com/Vi1pG5Ig2M
Mon Aug 24 03:32:13 PDT 2015 --  #JazbaaTrailer will feature Jazbaa of Sanjay Gupta to cast Aishwarya Rai at this age in a leading role
Tue Aug 25 06:17:17 PDT 2015 --  #Aquarians don�t beg, they will let you walk away.
Tue Aug 25 06:47:03 PDT 2015 --  #Aquarius don't hit you. They simply high five you face.
Tue Aug 25 07:35:12 PDT 2015 --  Cuz they know when its not worth anymore https://twitter.com/aquariusunite/status/636180511333982208 …
Tue Aug 25 07:20:43 PDT 2015 --  Of course women don't work as hard as men. They get it right the first time!
Tue Aug 25 07:33:26 PDT 2015 --  If #aamirkhan can hav lame reasons 2 object on peoples' laughter 4 #AIBKnockout even people can joke on his crying 4 lame reasons #karma
Mon Aug 24 23:30:41 PDT 2015 --  #aamirkhan cries after watching #KattiBatti thinking 'Shit my nephew is gonna drown me #again'
Sun Aug 23 18:00:33 PDT 2015 --  You will know ,what you mean to someone.. When you live with them .. Or travel with them ..
Sun Aug 23 22:13:25 PDT 2015 --  #LeapOfFaith is what counts :) pic.twitter.com/82HYk1RMM8
Sun Aug 23 22:11:15 PDT 2015 --  Always https://twitter.com/aquariusunite/status/635674655882366976 …
Sun Aug 23 22:10:30 PDT 2015 --  How foolish they could be who leave everything of life on #perception. Technically they are #coward to have no sense of #judgement
Sun Aug 23 22:06:38 PDT 2015 --  And Lame-ism https://twitter.com/madan_chikna/status/511174478424842241 …
Sun Aug 23 22:05:23 PDT 2015 --  #ifonly https://twitter.com/mrcoffeekhor/status/635413776255221760 …
Sun Aug 23 08:47:11 PDT 2015 --  As an #Aquarius many people will try to figure you out but only a few can really understand you.
Fri Aug 21 13:42:21 PDT 2015 --  T 1970 - Goswami Tulsida Jayanti .. the writer of the RAMAYAN .. epic in proportion and belief .. pic.twitter.com/RLemhGdRnw
Fri Aug 21 22:47:31 PDT 2015 --  There are two types of pain in this world: pain that hurts you, and pain that changes you.
Tue Aug 18 19:42:52 PDT 2015 --  Sculptural barb wire rings from #ElenaVotsi are just what your fingers need. For more Elena http://bit.ly/1WDo09w  pic.twitter.com/Rwn0WDkk5w
Fri Aug 21 04:49:03 PDT 2015 --  There are two kinds of people. One are conversation killers. The second are the same, only difference is they know how to begin again.
Thu Aug 20 22:51:02 PDT 2015 --  Cuz as d legends say.. lanton k bhoot baaton se nahi maante ;) https://twitter.com/AquariusUnite/status/634413848620068864 …
Mon Aug 17 18:47:53 PDT 2015 --  Dear @IndiGo6E your pilots and crew members seriously need some training! #amateur #horrible #services
Mon Aug 10 20:14:04 PDT 2015 --  SATC pic.twitter.com/7ybSTVbQfP
Tue Aug 11 18:16:03 PDT 2015 --  pic.twitter.com/3P87qZtI1b
Thu Aug 13 20:40:04 PDT 2015 --  A job that doesn't help you grow as a person isn't worth doing.
Thu Aug 13 20:48:28 PDT 2015 --  On a mission to kill the the pigeons who are eating my plants! *sits by the window all day*
Thu Aug 13 22:07:13 PDT 2015 --  Yeah.. We don't ask for more.. Do we.. https://twitter.com/amazingigrace/status/632054985778425856 …
Sun Jul 26 22:49:38 PDT 2015 --  Awesome couch! pic.twitter.com/jAqa3M7fdI
Sat Aug 01 11:31:52 PDT 2015 --  imagine sleeping here pic.twitter.com/EriUUyr4Dc
Wed Aug 12 12:45:59 PDT 2015 --  This is by far the most touching picture I have seen.And we take ourselves for granted.That chalk outlining kills me. pic.twitter.com/Hrs2zmk6QW
Mon Aug 10 17:43:59 PDT 2015 --  Law of attraction. pic.twitter.com/dvGECOorDh
Wed Aug 12 07:47:07 PDT 2015 --  When #Aquarius have no directions in life, they enjoy living life much more.
Tue Aug 11 22:25:49 PDT 2015 --  E P I C https://twitter.com/awryaditi/status/631324244647895040 …
Tue Aug 11 07:47:02 PDT 2015 --  When #Aquarians are in a bad mood, you better just stay out of the way because anything can lead to a showdown
Tue Aug 11 02:30:08 PDT 2015 --  Some nights pic.twitter.com/uoplZ7UTtC
Tue Aug 11 00:15:32 PDT 2015 --  Congrats to Sundar Pichai, new CEO of Google! Making India proud! #Alphabet pic.twitter.com/zItQViRGPI
Fri Aug 07 22:15:22 PDT 2015 --  The earlier we stop racing with others, the further we will go in the journey of life.
Thu Aug 06 20:35:09 PDT 2015 --  When in doubt, channel your inner Carrie Bradshaw.
Mon Aug 10 12:35:08 PDT 2015 --  A soulmate is someone who appreciates your level of weird.
Mon Aug 10 22:12:43 PDT 2015 --  https://twitter.com/aquariusunite/status/630918325565030400 …
Mon Aug 10 20:31:05 PDT 2015 --  Being positive in a negative situation is not naive. It's leadership.
Mon Aug 10 21:32:48 PDT 2015 --  Do people know that "India born" basically means "He left India well in time because this country sucks". #Google
Mon Aug 10 21:47:00 PDT 2015 --  When offended, betrayed, or taken advantage of, an #Aquarius will experience an immediate change in how they feel towards the other person
Mon Aug 10 22:10:00 PDT 2015 --  https://twitter.com/uberfacts/status/630967425022971904 …
Mon Aug 10 03:24:07 PDT 2015 --  Heard.. #earthquake in #delhi?
Sun Jun 21 06:13:49 PDT 2015 --  #TheDesiStuff via - @vichupedia pic.twitter.com/6yZqKr2MuU
Fri Aug 07 20:10:49 PDT 2015 --  Everything is fair in Love and Pakistan
Fri Aug 07 23:34:10 PDT 2015 --  Can't wait to watch, "can't wait to watch Mission Impossible tweets"
Thu Aug 06 04:00:16 PDT 2015 --  At this point I don’t even care. I’m just going with the flow. Whatever happens, happens.
Wed Aug 05 23:47:01 PDT 2015 --  Before love or sex, a real bond that only exists within a close friendship is the way to an #Aquarius heart.
Wed Aug 05 02:30:10 PDT 2015 --  i hate this pic.twitter.com/urEkG09fb5
Tue Aug 04 22:25:26 PDT 2015 --  https://twitter.com/aquariusunite/status/628751537859371008 …
Tue Aug 04 08:22:06 PDT 2015 --  Don't keep suspecting, what you can get out of a relationship Just be sure of what you can give and you shall get what you deserve
Mon Aug 03 23:17:01 PDT 2015 --  #Aquarians enjoy being the different and take pride in their intellectual independence.
Mon Aug 03 23:17:56 PDT 2015 --  NO! There isn't someone for everyone.. It's a #myth Because the truth is some people aren't capable of loving at all!
Mon Aug 03 21:57:21 PDT 2015 --  Worth a try..! https://twitter.com/hyperajita/status/628406241719529472 …
Mon Aug 03 21:54:34 PDT 2015 --  https://twitter.com/aquariusunite/status/628426887619067904 …
Sun Aug 02 23:27:53 PDT 2015 --  We are dying each day trying to earn a better living.
Sun Aug 02 20:47:06 PDT 2015 --  Once #Aquarians get what they want, they often lose interest (it�s all about the chase).
Sun Aug 02 23:29:19 PDT 2015 --  🏼 https://twitter.com/amazingigrace/status/628059612135190528 …
Sun Aug 02 22:11:49 PDT 2015 --  Reading is always better than being on your phone because the battery of a book never dies.
