Sat Jul 25 16:00:03 PDT 2015 --  Time to see what this suit can do. @Marvel's #AntMan is now playing. pic.twitter.com/1ET7aCbAhD
Thu Jul 16 02:00:05 PDT 2015 --  Happy birthday to Ginger Rogers, to the lady who did everything Fred Astaire did but backwards and in high heels! http://bpopne.ws/1LGBrAA 
Sat Jul 04 12:56:16 PDT 2015 --  Let the fireworks begin! FINAL: #Yankees 3, Rays 2. #PinstripePride pic.twitter.com/qII39LFfSf
Sat Jul 04 12:19:01 PDT 2015 --  . @TeixeiraMark25 just exercising his freedom to make slick plays: http://atmlb.com/1NGWqCx  #PinstripePride pic.twitter.com/VdWQqe99Ur
Sat May 23 19:16:31 PDT 2015 --  Edison! #odysselfie @NJOotM @OdysseyHQ #OdysseyWF #edisonk12 @s0uthpawww pic.twitter.com/4po8S7r7Ey
Sun May 17 12:10:15 PDT 2015 --  #BillNye was the speaker at #Rutgers Commencement today! #2015 #changetheworld pic.twitter.com/oSwOi3vgCJ
Sun May 17 10:54:34 PDT 2015 --  "Everyone you will ever meet knows something you don't" - @billnye #rutgers
Sun May 17 10:58:08 PDT 2015 --  "we're just specks on a speck orbiting a speck [in the grand cosmos of specklessness]" - Bill Nye the Science Guy
Sun May 17 11:19:01 PDT 2015 --  "Being a speck is worthy of respect." - @BillNye
Sun May 17 10:27:46 PDT 2015 --  Bill Nye just got a standing ovation and all he did so far was wave omfg
Sat May 09 06:52:55 PDT 2015 --  For all you T-Ball coaches out there! My season so far, coaching my kids' team. http://www.nytimes.com/2015/05/09/opinion/doug-glanville-confessions-of-a-major-league-t-ball-coach.html?_r=0 …
Sat May 02 08:20:42 PDT 2015 --  "Take advantage of this opportunity to take over the profession." ~Gene Wilhoit #coreadvocates
Sat May 02 05:35:35 PDT 2015 --  In order to make the monarchy seem more modern, the #RoyalBaby will be named Princess Elsa.
Fri May 01 07:09:44 PDT 2015 --  EVERY Friday is #funfriday at MLK! #edisonk12 #day3challenge @s0uthpawww @EdisonStaffDev pic.twitter.com/GyYxfjL1ot
Thu Apr 30 17:15:08 PDT 2015 --  This is one of the best #BigBangTheory episodes I have ever seen.
Thu Apr 30 17:07:49 PDT 2015 --  "Oh my sweet little bowl of lion chow. " #BigBangTheory
Thu Apr 30 17:00:53 PDT 2015 --  As soon as she flies into California air space, I will feel a disturbance in the force!! HA!! #BBT
Wed Apr 29 15:53:37 PDT 2015 --  Getting started...looking forward to learning more! @EdisonStaffDev #day1challenge
Tue Apr 28 13:39:22 PDT 2015 --  #tweeting at #edcampedison
Tue Apr 28 13:35:28 PDT 2015 --  Entering the Twitterverse! #edcampedison #edisonk12 pic.twitter.com/ioIasmh6Mf
Tue Apr 28 13:21:08 PDT 2015 --  I am learning to be a pro-tweeter! #edcampedison
Tue Apr 28 13:16:24 PDT 2015 --  Tweeting! #edcampedison pic.twitter.com/dWfxJ85YAp
Tue Apr 28 13:14:33 PDT 2015 --  Ready for #edcampedison #edisonk12 @EdisonStaffDev @SteveFigurelli @cmgappa pic.twitter.com/nM5HSKXU2i
Thu Apr 09 11:23:37 PDT 2015 --  My decision making skills closely resemble that of a squirrel trying to cross the street.
Sun Apr 05 14:09:25 PDT 2015 --  I've missed this. Happy Easter!! #midwaybeach #seaside #easter #piccollage https://instagram.com/p/1G5kbZt6rK/ 
Wed Apr 01 01:15:37 PDT 2015 --  “She wouldn’t even stay alive for her son?” Dumbledore raised his eyebrows. “Could you possibly be feeling sorry for Lord Voldemort?”
Fri Mar 27 11:25:25 PDT 2015 --  #MysterySkype So much fun! #whereareyou @DenaJFeldman
Wed Mar 18 18:16:10 PDT 2015 --  A little bit of #5678 was much needed this week. #coloradocafe #twisttwisttwist #shakeitoff
Sun Mar 15 20:45:30 PDT 2015 --  pic.twitter.com/6skMHCFDGW
Sun Mar 15 14:54:34 PDT 2015 --  Buffalo Chicken Sunday!! pic.twitter.com/MBYADFO2Y5
Sat Mar 14 18:17:02 PDT 2015 --  Almost 3.141592653!!! Happy #pi day! pic.twitter.com/7IK9db9woa
Sat Mar 14 03:00:02 PDT 2015 --  Happy #PiDay from the huggable healthcare companion that's as sweet as 3.14159265358979323846264338327950288419716... pic.twitter.com/opTRcAB0hs
Wed Mar 04 17:43:04 PST 2015 --  My dad is reading all the school closings off the TV. My mom finally had enough. "OKAY WE DON'T HAVE ANYBODY WHO GOES THERE!"
Tue Mar 03 06:51:42 PST 2015 --  Planting a new star on the walk of fame for @chrisodonnell #chrisodonnell pic.twitter.com/0cWGKl8R6z
Tue Mar 03 07:33:35 PST 2015 --  Tiny hands and tiny feet...God has blessed us with an amazing gift! Isaiah Michael Fisher - born February 27. pic.twitter.com/Rxq9HUmS7W
Sun Mar 01 13:23:20 PST 2015 --  “ @ColoradoCafe: Mother Nature strikes again... Unfortunately due to the inclement weather.. We are CLOSED tonight!!! Be safe out there!!”
Fri Feb 27 14:14:02 PST 2015 --  “Live long and prosper.” #RIPLeonardNimoy pic.twitter.com/ZYz73G7AMG
Wed Feb 25 20:11:53 PST 2015 --  Seasonal Dragon Breeder! #dragonvale
Tue Feb 24 17:03:44 PST 2015 --  "So, now all restaurants are Taco Bell." #franchisewars #demolitionman http://timehop.com/c/t:438110238542430208:48715367:6668980:d2632 … pic.twitter.com/AqCXv10Fvj
Tue Feb 24 15:37:21 PST 2015 --  "I used to think about teaching the curriculum,but now I think about teaching the student." So powerful @DenaJFeldman pic.twitter.com/V3Qs0Yr23b
Mon Feb 23 19:51:34 PST 2015 --  AMBER ALERT: 3-year old Elinor Trotta missing from New Castle County, Delaware. BOLO for '89 Mazda 636 DE plate 247457. Please RT.
Mon Feb 23 16:28:30 PST 2015 --  Craving ice cream.
Sun Feb 22 09:20:42 PST 2015 --  Buffalo Chicken Sunday!! pic.twitter.com/uLvFXns5iA
Sat Feb 21 15:15:01 PST 2015 --  PHOTO: @LukeBryanOnline met up with Goofy at @WaltDisneyWorld yesterday! pic.twitter.com/9zfYMdqf1Y
Sat Feb 21 09:03:14 PST 2015 --  Questions to consider while planning #learning activities http://ow.ly/J8brG  pic.twitter.com/GSDbY3Lwpq
Wed Feb 18 16:45:52 PST 2015 --  #hibachi for the first time! #yum pic.twitter.com/WRV1skeNcI
Tue Feb 17 18:53:20 PST 2015 --  Reading too far into this one, but #Disney was named after Walter Parr. Parr was the last name of the family in #TheIncredibles.
Tue Feb 17 18:43:35 PST 2015 --  #AdventuresinReading: Walt Disney's Great Grandfather was named Arundel. #Arendelle #Frozen #WaltDisney #DisneyTrivia
Tue Feb 17 13:43:01 PST 2015 --  I present to you... The Burrow. #harrypotter #theburrow #lego pic.twitter.com/dU28xTpE0K
Tue Feb 17 06:51:18 PST 2015 --  The news just informed me that #lent starts tomorrow. I guess no more #BuffaloChickenFriday until #Easter.
Tue Feb 17 04:54:30 PST 2015 --  Combating Students' Misconceptions - #edtech #edchat #sbgchat http://tinyurl.com/q6sfcq5 
Tue Feb 17 03:50:06 PST 2015 --  ANNOUNCEMENT UPDATE: DUE TO DETERIORATING WEATHER CONDITIONS, ALL EDISON TOWNSHIP PUBLIC SCHOOLS ARE CLOSED... http://fb.me/3yNOIWnSa 
Tue Feb 17 02:45:18 PST 2015 --  Ironically, we're discussing dunes in science today. http://timehop.com/c/fup:4622165595426:10201946253201216:6668980:4078a … pic.twitter.com/CTlnW0FCIO
Mon Feb 16 16:38:52 PST 2015 --  G: "These are good ideas but I wouldn't have thought of them." K: "Write them down. You should always write down everything I say. Always."
Mon Feb 16 12:30:36 PST 2015 --  ... bored.
Sun Feb 15 21:56:20 PST 2015 --  pic.twitter.com/kQC4ZD2OTb
Sun Feb 15 13:48:50 PST 2015 --  Look at these brave souls who battled the bitter cold!! Got a full dance floor for our beginner line… http://instagram.com/p/zIzITgqv9x/ 
Sun Aug 17 20:28:48 PDT 2014 --  Dancing is my cardio
Sun Feb 15 06:30:01 PST 2015 --  "Cinderella" was released on this day in 1950! http://bit.ly/1MkO4B5  #DisneyHistory
Sat Feb 14 18:35:02 PST 2015 --  This Valentine's Day, I mastered the 5th Grade mission on #KhanAcademy.
Wed Dec 17 18:30:54 PST 2014 --  RT @DisneyInstitute: #WaltWisdom pic.twitter.com/mmYVLcCsoN
Mon Jan 12 15:00:01 PST 2015 --  #WaltWisdom pic.twitter.com/KETD4LYpYw
Wed Jan 14 18:05:51 PST 2015 --  RT #WaltWisdom ..... http://bit.ly/1ygj1ka  pic.twitter.com/m2ankNJPDH .....
Fri Jan 23 09:15:01 PST 2015 --  #WaltWisdom pic.twitter.com/sLwzVmnjjI
