Sat Aug 29 12:37:41 PDT 2015 --  I see you I see you I swear I see you https://twitter.com/touchcameron/status/637709711727534080 …
Sat Aug 29 12:36:42 PDT 2015 --  Sassy Johnson will come out once every 4-6 moons, and when he does, oh you better watch out
Sat Aug 29 12:14:38 PDT 2015 --  but i aint gonna lie, jack and jack did blow up on the app but we're more than that #FavJackAndJackPic pic.twitter.com/qgEt0EhJ5C
Sat Aug 29 12:35:19 PDT 2015 --  . @johnsondone so funny
Sat Aug 29 12:32:41 PDT 2015 --  #FavJackAndJackPic because they can look cool while eating lmao pic.twitter.com/aL2OMLzV9Q
Sat Aug 29 12:29:33 PDT 2015 --  !!!!ATTENTION WEST LA!!!! Please RT pic.twitter.com/wdKB4KZ4zE
Sat Aug 29 12:33:40 PDT 2015 --  Just got of the phone with my my momma I miss her and my dad a bunch. Hate being away from home and family for too long.
Sat Aug 29 12:32:26 PDT 2015 --  Don't worry you are in no way dragging me because I know what "bipolar disorder" vs "bipolar" means :) diff things https://twitter.com/pixelatedhowell/status/637707475253358592 …
Sat Aug 29 12:30:07 PDT 2015 --  HERE WE GO AGAIN! @JonahMarais is taking over our SnapChat TOMORROW!! DONT MISS IT!! ID: TheDigiTour pic.twitter.com/mckU4wR6DG
Sat Aug 29 12:16:35 PDT 2015 --  NEW FUCKING VIDEO TODAY.
Sat Aug 29 12:14:34 PDT 2015 --  i will NEVER apologize for being me
Sat Aug 29 12:14:23 PDT 2015 --  YOU CAN USE STITCHES IN VINE MUSIC NOW !! GONNA BE POSTING FROM #VMAs TOMORROW WITH @Vine & @MTV https://vine.co/v/eIOYmw2WtDK 
Sat Aug 29 12:13:53 PDT 2015 --  RT if Vegas, Tucson, Albuquerque, Memphis, OKC, Grand Rapids, Jacksonville, or Charleston --> http://thedigitour.com/slaybells  pic.twitter.com/KpaW10V9pf
Sat Aug 29 12:11:44 PDT 2015 --  Babes looking hot #FavJackAndJackPic @JackJackJohnson @jackgilinsky pic.twitter.com/HfD5539xcm
Sat Aug 29 12:07:54 PDT 2015 --  DIGI FEST IN EXACTLY A WEEK @DigiTour @laurenelaineg
Sat Aug 29 12:10:24 PDT 2015 --  Well it's actually both a personality disorder and an adjective depending on how it's used :) https://twitter.com/pixelatedhowell/status/637702849858830336 …
Sat Aug 29 12:09:47 PDT 2015 --  . @espinosaspanish People just don't know how to make their own decisions! Like everyone goes with the flow and never steps out on their own.
Sat Aug 29 12:08:16 PDT 2015 --  So thankful to have good people around me
Sat Aug 29 12:04:46 PDT 2015 --  #FavJackAndJackPic the cutest pic.twitter.com/lewGWROkGv
Sat Aug 29 12:04:19 PDT 2015 --  #FavJackAndJackPic I love pics from when they're doing what they love. pic.twitter.com/MARccV3HDf
Sat Aug 29 12:04:00 PDT 2015 --  say my name by destiny’s child makes me feel so sassy. 🏽
Sat Aug 29 12:01:45 PDT 2015 --  #FavJackAndJackPic cant even hate johnson looks so good pic.twitter.com/6kP5ykr2wH
Sat Aug 29 12:01:57 PDT 2015 --  well i enjoy this video of you two #FavJackAndJackPic pic.twitter.com/I00bfqr8PY
Sat Aug 29 12:03:19 PDT 2015 --  and people have standards to when you try to chilllike if you aren't going to a club or gettin turnt then the night will be bad? Nah.
Sat Aug 29 12:02:07 PDT 2015 --  #FavJackAndJackPic let's be honest pic.twitter.com/vWhDZKi8bM
Sat Aug 29 12:02:18 PDT 2015 --  nostalgic #FavJackAndJackPic pic.twitter.com/GrIUG9bzu8
Sat Aug 29 12:02:19 PDT 2015 --  people don't know how to treat other people right in la, it's like not even a thing here? everyone has an incentive man it's messed up
Sat Aug 29 12:00:50 PDT 2015 --  Let's start a hashtag. Wanna see your favourite pictures of us! #FavJackAndJackPic there's some funny ones out there we will be retweeting
Sat Aug 29 12:00:27 PDT 2015 --  LA is a plague where it infects people with greed and selfish acts that will keep them in a vicious cycle of going nowhere in their life.
Sat Aug 29 12:00:12 PDT 2015 --  WE LIVE FOR WEEKENDS pic.twitter.com/00Uqamo8St
Sat Aug 29 12:00:03 PDT 2015 --  Life's biggest limitations are the ones you make in your mind
Sat Aug 29 11:59:29 PDT 2015 --  Hey
Sat Aug 29 11:53:50 PDT 2015 --  NEW VIDEO TOMORROW: http://youtube.com/rickydillon 
Sat Aug 29 11:51:27 PDT 2015 --  one text from the right person can completely change your mood
Sat Aug 29 11:44:39 PDT 2015 --  I love you all that was a hard show but I appreciate you all being here
Sat Aug 29 11:43:31 PDT 2015 --  . @sirayahshiraz that's gonna happen. talk it into existence. We family. Can't wait to come to London
Sat Aug 29 11:41:19 PDT 2015 --  When you look at the larger scale, we're actually all a lot closer than we think. We all live on a small planet surrounded by space.
Sat Aug 29 11:39:55 PDT 2015 --  Ahhhh I love being productive
Sat Aug 29 11:37:47 PDT 2015 --  woah. I just realized I’m only a few away from 1.1m on here thank u for all the luv i luvvvvv u!
Sat Aug 29 11:34:23 PDT 2015 --  Last 30 minutes of @KalinAndMyles on our SnapChat! 🏻🏻🏻 DONT MISS IT!! ID: TheDigiTour pic.twitter.com/riBhSEkG4o
Sat Aug 29 11:32:13 PDT 2015 --  talk it into existence
Sat Aug 29 11:31:45 PDT 2015 --  it was fun hanging out with the boys last night! @camerondallas @AaronCarpenter @TheMattEspinosa @taylorcaniff
Sat Aug 29 11:29:17 PDT 2015 --  Don't listen to music to hear. Listen to music to feel. Grab the energy from a song and convert it into your life. Good Vibes. #Maloski
Sat Aug 29 11:24:22 PDT 2015 --  I'm wearing short shorts today I've never felt such a nice breeze before
Sat Aug 29 11:23:10 PDT 2015 --  CANT WAIT TO SEE MY FANS IN 2.5 SECONDS #AAKD
Sat Aug 29 11:22:07 PDT 2015 --  The music speaks
Sat Aug 29 11:17:38 PDT 2015 --  @jccaylen you ain't kissing nobody
