Fri Aug 28 16:29:21 PDT 2015 --  So blessed and thankful for everytime I am able to see and spend time with my daughter
Fri Aug 28 06:56:52 PDT 2015 --  Love the sweetness of my beautiful daughter wish I could keep her this age forever
Thu Aug 27 16:49:05 PDT 2015 --  I have the best sister in the world
Thu Aug 20 13:42:24 PDT 2015 --  Me n my fav girl looking goofy lol pic.twitter.com/ePeFHpGdS8
Wed Aug 19 17:14:47 PDT 2015 --  You can be pitiful or you can be powerful. You can't be both.
Wed Aug 19 16:00:35 PDT 2015 --  Thank you Chase for all the awesome memories!!! Also ty for all the hard work and determination to help bring @Phillies a world championship
Sun Aug 16 23:26:09 PDT 2015 --  Love of God overflow, permeate all my soul
Sun Aug 16 10:47:58 PDT 2015 --  Don't settle for mediocrity; never let good enough be good enough.
Wed Aug 12 17:13:02 PDT 2015 --  Never thought about that, good idea https://twitter.com/crazylove/status/630799553302818816 …
Wed Aug 12 11:11:00 PDT 2015 --  I believe in Christianity as I believe that the SUN HAS RISEN not only because I see it, but because by it I see everything else.-C.S.Lewis
Tue Aug 11 17:15:04 PDT 2015 --  #WorshipNightInAmerica pic.twitter.com/DjmZ8sWysq
Tue Aug 11 15:26:57 PDT 2015 --  I would rather offend somebody into heaven than flatter them into hell!!! EternityisFOREVER
Tue Aug 11 15:12:56 PDT 2015 --  Always calming just sitting back listening to some christian music! #christianmusicisthebest
Mon Aug 10 15:39:18 PDT 2015 --  Every time I hear this I wanna get up and dance lol http://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg …
Mon Aug 10 15:35:14 PDT 2015 --  Amen!!! Couldn't agree more https://twitter.com/greglaurie/status/630825694713417728 …
Sun Aug 09 16:52:31 PDT 2015 --  I love this video so powerful and true puts life into perspective #Eternity https://youtu.be/jF_x8dsvb_4 
Sat Aug 08 00:51:49 PDT 2015 --  Thank you God for another day and another opportunity to be the man u created me to be
Fri Aug 07 17:59:23 PDT 2015 --  Beautiful sunset created by God #GodisAmazing pic.twitter.com/rmncP6s4yd
Fri Aug 07 12:26:14 PDT 2015 --  #49ers coach Jim Tomsula: Although Aldon Smith is no longer on roster, organization is not turning its back on him. http://www.csnbayarea.com/49ers/tomsula-smith-will-not-have-walk-path-alone …
Fri Aug 07 11:24:34 PDT 2015 --  If u aren't moving forward or trying to than your moving backwards, become a better person every day. # JesusistheONLYway
Thu Aug 06 11:33:01 PDT 2015 --  Enjoying a beautiful day with Jadyn at red bank battlefield!!! #lovemyson #lovehistory #lovebeautifulweather #lovenature
Thu Aug 06 09:20:04 PDT 2015 --  Everyone has influence over those around them. Are you pulling people towards the Cross or repelling them from it?
Thu Aug 06 09:16:38 PDT 2015 --  I love this video puts so much into perspective!!! https://youtu.be/jF_x8dsvb_4 
Thu Aug 06 08:24:15 PDT 2015 --  Hoping the @49ers have a great season and finish with a super bowl title, gonna be an interesting season regardless...Go Niners!!!
Thu Aug 06 07:38:15 PDT 2015 --  I'm speaking on the topic ,"Answering hard questions nonbelievers ask" TONIGHT at Harvest/OC @7:00 PM,PST. http://blog.greglaurie.com 
Thu Aug 06 08:05:22 PDT 2015 --  The pursuit of hearing "well done my good and faithful servant" is what I strive for every single day of my life
Wed Aug 05 16:25:35 PDT 2015 --  Finally going to give this twitter thing a chance lol I know I'm years behind everybody else, better late than never right?
