Sat Aug 22 06:57:54 PDT 2015 --  I'm so alone ..! Even ghost don't come in my dreams..!
Sat Aug 15 00:18:45 PDT 2015 --  #HappyIndependenceDay #ProudtobeanIndian #JaiHind pic.twitter.com/r0Vr60aybF
Fri Jul 31 02:50:57 PDT 2015 --  so true. https://twitter.com/iQuoteComedy/status/627003347002859520 …
Tue Oct 21 12:21:38 PDT 2014 --  HQ, new Bacardi NH7 Weekender information received. Every minute counts. #lineup2014 @NH7
Wed Aug 01 23:17:09 PDT 2012 --  Happy rakshabandhan to all my frnds be happy n stay safe.:)
Thu Jul 26 08:03:06 PDT 2012 --  The mayan calander didn't account for leap years, so the world was supposed to really end about 7 months ago.
Thu Jul 12 08:39:20 PDT 2012 --  #wtf tomorow is 'friday the 13'.
Tue Jul 03 12:26:06 PDT 2012 --  T 793 - GuruPoornima ke shubh avsar pe meri anek anek shubhkamanayein .. aur apne guruon ko pranaam va charansparsh !!
Tue Jul 03 05:50:52 PDT 2012 --  When I have a boy I’ll name him ‘SPARTA’ so every time I’m introducing him to someone I can shout THIS IS SPARTA . . . !!!
Mon Jul 02 10:00:02 PDT 2012 --  #ToMyFutureKids you're going to have the weirdest parents of all time.
Sun Jul 01 12:13:30 PDT 2012 --  Gr8 goal by spain #eurocup 2012
Sun Jul 01 08:31:58 PDT 2012 --  I love it when you know somebody’s secret, but they don’t know that you know, and you know that they don’t know that you know. . .
Sun Jul 01 09:18:04 PDT 2012 --  2 + 2 = Fish. 3 + 3 = Eight. 7 + 7 = Triangle. ReTweet if you get it.
Wed Jun 20 13:35:27 PDT 2012 --  How come when your wife is pregnant all her female friends rub her tummy & say congratulations but no one rubs your balls & says good job!
