Sat Aug 08 01:08:49 PDT 2015 --  Broooooooo @katiedattbae this is youuuuuuuu https://twitter.com/FunnyJoke/status/629866373473288192 …
Sat Aug 01 19:13:10 PDT 2015 --  Pintrest be all up in my cookies brah...Shits creepy. #theyarewatching #leavemybrainalone!
Wed May 27 19:54:02 PDT 2015 --  t-shirts I own: 70 t-shirts I wear: 10 t-shirts I'm willing to give up: 0
Wed Jul 01 22:57:00 PDT 2015 --  I really want some of my sisters mac and cheese rn
Thu Jul 02 11:53:29 PDT 2015 --  #bacon #wake&bake #bakery #chocolatecoverdbacon #foodporn #epic https://vine.co/v/e11MuTQ9jwI 
Sun Jun 28 12:12:11 PDT 2015 --  For my will is as strong as yours, and my kingdom is as great.....you have no power over me. pic.twitter.com/sUZbC9bWqN
Thu Jun 25 20:15:10 PDT 2015 --  ICYMI: Fans are buzzing over our brand-new chocolate chip cookie guide: http://www.foodtv.com/38phw . pic.twitter.com/0b00gMvOfK
Sun Jun 21 14:10:30 PDT 2015 --  #thisishowwedoit #thankstma pic.twitter.com/lupzCWzOs8
Sat Jun 13 21:23:00 PDT 2015 --  "You're super hot, but I almost died four times today and I'm too stressed out to have sex." - Realistic James Bond
Thu Jun 04 19:29:31 PDT 2015 --  I will never understand how people make excuses for people like why do I care everyone's got problems idc who u are if u disrespect me #bye
Thu Jun 04 08:48:28 PDT 2015 --  Foreal tho https://twitter.com/katiedattbae/status/605926286289027072 …
Wed Jun 03 16:45:02 PDT 2015 --  When your being mean to bae then feel guilty pic.twitter.com/QPrbFeXk9c
Mon Jun 01 15:42:50 PDT 2015 --  We need an old folk twitter crash course @katiedattbae @Th3Godfather808 Idk wtf I am doing how the fuck twitter tell me how much I can wri-
Fri May 29 16:59:24 PDT 2015 --  2 of my 3 favorite boys only missing my daddy pic.twitter.com/GhzCHsgZpe
Sat May 30 18:07:13 PDT 2015 --  This bitch @Th3Godfather808 :D
