Wed Jul 08 14:02:04 PDT 2015 --  Sharks are a lot friendlier without sharp teeth. #SharkWeek pic.twitter.com/fthsXBy8qc
Sat Aug 01 04:08:00 PDT 2015 --  This is still my favorite photobomb of all time. pic.twitter.com/Nh9LQhygA2
Thu Jul 30 11:17:44 PDT 2015 --  @lisamariex22 https://twitter.com/theladbible/status/626816029528850432 …
Mon May 25 10:00:05 PDT 2015 --  When your mum spots rain! pic.twitter.com/uKkLv3GjK2
Mon May 25 11:00:39 PDT 2015 --  If only fat went to my boobs & butt
Fri Mar 27 08:37:53 PDT 2015 --  “ @SexFactsOfLife: Save water, shower together pic.twitter.com/DaIFVhjUZP” @Frenchyboooy hahaha love it!
Thu Mar 19 13:04:47 PDT 2015 --  RT if you want one https://vine.co/v/ME16mjEaPEY 
Sun Jan 25 13:20:08 PST 2015 --  Couldn't agree more pic.twitter.com/LoA5dtIPWs
Tue Mar 10 13:16:15 PDT 2015 --  “ @CrazyAnimals_: when your mom is vacuuming and she asks you to lift your feet pic.twitter.com/zPCR1SotRG” @Frenchyboooy
Tue Mar 10 13:01:48 PDT 2015 --  Come along to our Link to Nature Open Day this Saturday #nationwide http://www.asquithnurseries.co.uk/event/82/96/Nationwide-nursery-open-day-14th-March-2015/ … if you're looking for quality childcare
Mon Mar 09 04:30:07 PDT 2015 --  pic.twitter.com/oELkdRyABQ
Mon Mar 09 06:45:10 PDT 2015 --  [Adults Only] If Disney was not for children, maybe the princesses would be wilder and sexier like this: http://disneywords.me/r/2u8g4 
Mon Mar 09 08:00:57 PDT 2015 --  Dream body pic.twitter.com/K18Dw3yHOc
Thu Sep 25 02:58:52 PDT 2014 --  10 am 2 pm in Scott Baines offices This Friday Coffee Morning fundraiser - Supporting @macmillancancer All Welcome pic.twitter.com/ERPqjyUIRY
Thu Sep 25 05:00:29 PDT 2014 --  Motivation pic.twitter.com/tFRAIoW1xW
Tue Sep 23 03:41:24 PDT 2014 --  Tour is getting close now Can't wait to see you guys :) http://m.ticketmaster.co.uk/Peter-Andre-tickets/artist/1005868 …
Tue Sep 23 04:09:38 PDT 2014 --  Have you seen our @CharlotteGShore's tribute to Friends' 20th anniversary? It's MINT! http://geord.ie/w0Vp9s  pic.twitter.com/R9cFhF80eW
Tue Sep 23 04:47:18 PDT 2014 --  According to a study of over 1,000 Canadian adults, 43% of them would choose bacon over sex.
Sun Sep 14 18:17:06 PDT 2014 --  On average, people fear spiders more than they do death.
Mon Aug 11 08:12:57 PDT 2014 --  “ @PariCalvia: I remember when eyebrows were made out of hair” @Peachessjox hahaha thought of you lol
Mon Aug 04 18:17:00 PDT 2014 --  Studies have found that Facebook can cause you to overestimate how happy other people are, making you feel more depressed.
Mon Aug 04 22:38:23 PDT 2014 --  Looking into making Tuesdays illegal.
Sat Aug 02 00:51:37 PDT 2014 --  Cutest hedgehog ever! pic.twitter.com/czSAnxLYod
Sat Aug 02 08:00:51 PDT 2014 --  -Maya Angelou pic.twitter.com/Pe5nlZJUUw
Wed Jul 30 09:32:28 PDT 2014 --  i wish i could enjoy life as much as this turtle pic.twitter.com/HAcvCQtLZI
Wed Jul 16 04:16:43 PDT 2014 --  Do you even surf Bro?.. https://vine.co/v/h1JTwLh3wDu 
Wed Jul 16 05:00:00 PDT 2014 --  Need pic.twitter.com/mZyGvXaKpr
Sun Jul 13 14:15:51 PDT 2014 --  When you realise this is the last #WorldCup match you are going to watch for 4 years... http://vine.co/v/MFZi6Eu6IDF 
Sun Jul 13 14:46:34 PDT 2014 --  Yo @Vitalyzdtv won the World Cup.
Fri May 23 03:48:39 PDT 2014 --  When you ask somebody a question and somebody else answers for them http://twitter.com/Brit_Probs/status/448936139848949761/photo/1pic.twitter.com/Ms5SF6iJjo 
Mon May 05 09:39:52 PDT 2014 --  WHAT DID I JUST WATCH?!?!?! https://vine.co/v/hxTQMQHQKPW 
Sat May 03 06:18:09 PDT 2014 --  Me dancing like Beyonce... https://vine.co/v/MrmthagXP53 
Sat Apr 26 06:22:15 PDT 2014 --  OMG I want this clock... Anyone know we're I can get this ? ! #creepysickclock pic.twitter.com/DLAtncKn8x
