Tue Aug 25 19:29:40 PDT 2015 --  That Esco Step pic.twitter.com/K8ckEcZmyS
Sat Aug 29 07:23:24 PDT 2015 --  It's Gone Rain All Day So You Might As Well Hmu
Sat Aug 29 07:21:39 PDT 2015 --  Seeing My Ex's With Baby's Now Is Crazy
Tue Aug 18 17:35:41 PDT 2015 --  The police brutality problem in america is really getting out of control http://vine.co/v/edr97rjlmZM 
Fri Aug 28 15:41:30 PDT 2015 --  I know if I went missing I wouldn't be missed
Fri Aug 28 15:15:12 PDT 2015 --  It's raining in Valdosta but it's still a drought out here
Fri Aug 28 14:43:27 PDT 2015 --  Valdosta about to flood . All this damn rain
Mon Aug 24 22:47:26 PDT 2015 --  Can't even spell pullouht pic.twitter.com/AXGoSjaK7r
Fri Aug 28 14:34:30 PDT 2015 --  What's The Move
Fri Aug 28 14:31:44 PDT 2015 --  It's Friday & I'm feeling good
Fri Aug 28 12:02:12 PDT 2015 --  Your heightened expectations drive you to take every moment of... More for Capricorn http://bit.ly/A5KmeJ 
Thu Aug 27 12:02:16 PDT 2015 --  Miscalculating your resources could lead to a rude awakening w... More for Capricorn http://bit.ly/A5KmeJ 
Thu Jun 04 17:13:48 PDT 2015 --  “@Clarawrr: When you Florida af https://vine.co/v/MHbxF65D2WF ” @Deek6Moe
Thu Aug 27 04:46:47 PDT 2015 --  2 lectures today
Wed Aug 26 12:02:18 PDT 2015 --  Your intuitive vision is crystal clear today, enabling you to ... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 25 12:02:14 PDT 2015 --  Your firm resolve to follow your current agenda is your sweet ... More for Capricorn http://bit.ly/A5KmeJ 
Mon Aug 24 12:02:14 PDT 2015 --  It appears as if someone could be working against you now but ... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 23 12:02:14 PDT 2015 --  Playing the role of the visionary suits you now because your v... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 22 18:51:46 PDT 2015 --  Ain't No Sin City Bih
Sat Aug 22 17:26:16 PDT 2015 --  Any moves tonight ?? Lol
Sat Aug 22 12:02:14 PDT 2015 --  You love the idea of exploring your fantasies today, but you h... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 21 12:02:10 PDT 2015 --  Your nemesis may appear in the form of a contradictory idea, a... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 21 05:49:44 PDT 2015 --  My return will be the return
