Fri Aug 28 21:17:27 PDT 2015 --  Get you a woman who loves you the way Beyoncé loves Lebron James pic.twitter.com/hNsNV8UK22
Sat Aug 29 10:00:20 PDT 2015 --  Nope. Not doing this today Troy! RT @mrLdavis: Why is Aaliyah on here? She ain't block nobody pic.twitter.com/gsSb5rbJEr
Sat Aug 29 07:29:16 PDT 2015 --  It's your last Saturday before Alabama football kicks off its 2015 season! #RollTide pic.twitter.com/X5h228BrMZ
Sat Aug 29 07:21:59 PDT 2015 --  THHEEEENNN this heffa >> @MrsPage0721<< tags me in the video comments.
Fri Aug 28 13:56:59 PDT 2015 --  One day you'll learn how to read ppl, then you can stay clear of the toxic ones ....
Fri Aug 28 11:25:19 PDT 2015 --  YES! and so are spirits! RT @JustAnt1 Energy is real.
Fri Aug 28 14:40:33 PDT 2015 --  YES BITCH!! RT @khloekardashian: Shout out to @monicarosestyle for always making me look bomb pic.twitter.com/XbGjYiQS0v
Fri Aug 28 14:35:42 PDT 2015 --  Erica got me fucked up if she think I'm bout to look at these adorable pics of her baby all day. WHY IS HE SO DAMN CUTE??
Thu Aug 27 18:47:12 PDT 2015 --  I can't let things I can't control bother me anymore
Thu Aug 27 16:52:35 PDT 2015 --  The Crimson Tide put in another day of hard work on Thursday, drilling for two hours #RTR http://www.rolltide.com/sports/m-footbl/spec-rel/082715aaa.html … pic.twitter.com/p0OFydMfCa
Thu Aug 27 14:57:59 PDT 2015 --  #RollTide pic.twitter.com/j54narkr6D
Thu Aug 27 14:44:33 PDT 2015 --  But whatever. thats why i stay outta these conversations. I refuse to wake up mad just because I'm black.
Thu Aug 27 14:42:50 PDT 2015 --  Biggest handicap in fighting racism and fighting for inequality is the inability to listen to EVERYBODY.
Thu Aug 27 14:33:15 PDT 2015 --  Y'all be trying "Stay Woke" so bad, y'all be half sleep.
Thu Aug 27 14:24:30 PDT 2015 --  Y'all just wanna be mad. What Miley said was 100% on the mark.
Thu Aug 27 13:22:12 PDT 2015 --  Why two hood boogers don got to fighting in the lobby tho? Chile now yall ass going to jail over community dick.
