Wed Aug 12 07:32:42 PDT 2015 --  @dylansprouse @colesprouse pic.twitter.com/vkgnrJ75Gz
Tue Nov 18 16:07:11 PST 2014 --  The "I own a iPhone" starter pack pic.twitter.com/43Nr7Z7FxM
Sun Jul 26 09:15:37 PDT 2015 --  Getting a ride home by horse. #onlyinmexico
Fri Jul 03 19:19:40 PDT 2015 --  please open this https://vine.co/v/eiPzmHEEUHm 
Sat Jun 06 19:13:15 PDT 2015 --  *20 years later* no mom my grades still haven't been posted yet idk what to tell you.
Sun Jun 28 09:41:19 PDT 2015 --  #UrbanOutfittersBeLike Limited edition authentic artisan-made hair gathering circle $19.99 pic.twitter.com/22cgSr77cB
Mon Jun 01 19:54:02 PDT 2015 --  you're a
Wed Apr 22 10:40:01 PDT 2015 --  I'M SCREAMING pic.twitter.com/m4ypQfJaEP
Sun Apr 12 17:31:17 PDT 2015 --  me rn pic.twitter.com/CR8qOW91dR
Wed Apr 01 11:15:10 PDT 2015 --  ☆。★。☆。★ 。☆ 。☆。☆。 ★。＼｜／。★ UR A PIECE OF SHIT ★。／｜＼。★ 。☆ 。☆ 。☆。 ☆。 ★。 ☆ ★
Sat Feb 28 06:50:08 PST 2015 --  17 year old buying a 3 million dollar mansion and I'll go broke if I buy a mcflurry pic.twitter.com/R2HqIZrCmz
Thu Feb 26 18:04:33 PST 2015 --  From this day on, the world will be divided into two people. Blue & black, or white & gold. http://ellen.tv/1vE3oDx  pic.twitter.com/i6BwVzPzSZ
Wed Dec 24 18:04:09 PST 2014 --  call that "rapping paper" pic.twitter.com/OeOHqgb3jO
Tue Aug 12 16:11:59 PDT 2014 --  i'm so fucking hungry right now and everything and everyone around me is pissing me off. give me a burrito.
