Fri Aug 28 05:40:03 PDT 2015 --  “Wilson!” –Tom Hanks ‘Cast Away’
Wed Aug 26 16:25:12 PDT 2015 --  How Well Do You Know The First Line Of Every "Harry Potter" Book? http://bzfd.it/1MVFgDM 
Thu Aug 27 19:40:37 PDT 2015 --  When people tell me to grow up I tell them I'm growing physically everyday. ¯\_(ツ)_/¯
Mon Aug 24 18:01:52 PDT 2015 --  THIS #RelationshipGoals pic.twitter.com/2UXMrwo1Np
Thu Aug 27 18:45:02 PDT 2015 --  This Tribal Elephant Sweatshirt is a must have for all you elephant lovers! && its so soft! http://bit.ly/1NBkzNH  pic.twitter.com/4izHI9X0Sa
Thu Aug 27 15:21:32 PDT 2015 --  Not having classes on Fridays is the greatest thing to happen to me yet
Mon Aug 10 22:41:24 PDT 2015 --  ME: IM HORNY BAE: MY PARENTS COMIN HOME ANY MINUTE ME: C’MON IT’LL BE QUICK BAE: OK HURRY UP ME: pic.twitter.com/ZUwJBLBqLc
Thu Aug 27 12:22:06 PDT 2015 --  Accurate representation of periods pic.twitter.com/hlnUHVcxoj
Thu Aug 27 10:45:34 PDT 2015 --  Queso.
Wed Aug 26 11:26:37 PDT 2015 --  I enjoy watching men attempt to flirt with girls in class. I'm like you're not getting it rn ¯\_(ツ)_/¯
Wed Aug 26 09:07:58 PDT 2015 --  Happy #NationalDogDay from these Bills pups! Tweet us your furry fan to be featured on http://buffalobills.com . pic.twitter.com/d9zL441od8
Wed Aug 26 09:04:34 PDT 2015 --  O.O pic.twitter.com/ZddyToJg3O
Mon Aug 24 10:14:09 PDT 2015 --  Happy birthday to my Buffalo hubs, @ChadMMurray.
Sun Aug 23 17:31:00 PDT 2015 --  Niagara Falls, '57 pic.twitter.com/9XYrau8cpV
Tue Aug 18 20:30:44 PDT 2015 --  Where the fuck is my hot cowboy
Sun Aug 23 11:46:41 PDT 2015 --  Last night, I slapped a guys ass and got kicked out of a party
Sat Aug 22 12:59:42 PDT 2015 --  Zac Efron didn't recognize Breaking Free from High School Musical I'M UPSET pic.twitter.com/EiwXLxOv1N
Sat Aug 22 10:30:05 PDT 2015 --  I CANT STOP WATCHING THIS https://vine.co/v/eBXXUdErEIP 
Fri Aug 21 14:25:00 PDT 2015 --  TRUST FALL http://vine.co/v/eZu0mighhYY 
Fri Aug 21 14:17:04 PDT 2015 --  LIFE IS TOO SHORT, PEOPLE
Fri Aug 21 10:20:57 PDT 2015 --  Audrey Hepburn photographed by Howell Conant for the film Wait Until Dark, New York, 1967 pic.twitter.com/fKWVZGbxs4
Fri Aug 21 10:17:54 PDT 2015 --  someone plz buy my jason aldean ticket
Fri Aug 21 08:37:56 PDT 2015 --  Dog 911: what's ur emergency? Dog: THEYRE PUSHIN THAT LOUD THING AROUND ON THE CARPET AGAIN Dog 911: OMG Dog: OMG Dog 911: OMG Dog: OMG
Fri Aug 21 09:36:58 PDT 2015 --  . @Maisie_Williams is on a mission to boycott one-dimensional female roles http://on.mtv.com/1EHYCEu 
Fri Aug 21 09:26:38 PDT 2015 --  My dad is watching The Perfect Vagina Documentary and this girl just got her labia got off and I'm about to hurl before work. #HappyFriday
Fri Aug 21 09:11:05 PDT 2015 --  Watching the Sinister 2 trailer like pic.twitter.com/9S4pkmkTNy
Thu Aug 20 20:13:14 PDT 2015 --  Another reason to love Taylor swift pic.twitter.com/3SHLZNC5iD
Thu Aug 20 20:24:07 PDT 2015 --  Favorites. #OneTreeHill https://vine.co/v/ezI1ubBDDVK 
Thu Aug 20 17:56:29 PDT 2015 --  Never bring a bear to a cat fight pic.twitter.com/eGpWVrlV5c
Thu Aug 20 15:14:55 PDT 2015 --  I laughed waaay to hard at this. ( @rian__mccoy ) https://twitter.com/alexmce/status/631667949179420672 …
Thu Aug 20 14:42:03 PDT 2015 --  My whole mood can change when Good For You x @selenagomez comes on. #IThinkImBeyonce
Thu Aug 20 12:00:04 PDT 2015 --  "I feel sorry for people who don't drink, when they wake up in the morning, that's as good as they're going to feel all day." –Frank Sinatra
Thu Aug 20 11:54:09 PDT 2015 --  If you're ever feeling down, just remember that Harry Potter was going through all that shit and he still defeated Voldemort. It'll be okay.
Thu Aug 20 09:14:58 PDT 2015 --  I miss Jake and Brian. I mostly miss hearing them poke at each other.
Wed Aug 19 20:01:12 PDT 2015 --  Hey. Take your Twitter conversation to actual messaging.
Wed Aug 19 20:00:03 PDT 2015 --  The quickest way to my heart is through the Taco Bell drive-thru.
Wed Aug 19 15:54:33 PDT 2015 --  People who suggest getting breakfast together as a hangout plan are the kind of people you want to hang onto.
Wed Aug 19 10:11:23 PDT 2015 --  Life of the youngest sibling: pic.twitter.com/NWF0O78TUv
Wed Aug 19 08:45:48 PDT 2015 --  Meal with parents vs meal alone pic.twitter.com/Fc7kA5BNLA
Tue Aug 18 14:53:31 PDT 2015 --  #Bless @natglide pic.twitter.com/2T1SioRoz4
Tue Aug 18 12:48:15 PDT 2015 --  reasons why fall is #1: -chilly weather -halloween -sweaters -pumpkins -literally everything - BUGS HAVE RETURNED TO HELL WHERE THEY BELONG
Tue Aug 18 11:05:24 PDT 2015 --  Baby I got missed calls & e-mails all going into detail about how you just not happy& you think you gotta leave so go I'll be fine on my own
Tue Aug 18 08:46:00 PDT 2015 --  pic.twitter.com/mANNVop7tH
Mon Aug 17 04:08:41 PDT 2015 --  *starts raining* Pulls out Bon Iver record
Mon Aug 17 20:42:58 PDT 2015 --  He took an L this week
Mon Aug 17 15:25:19 PDT 2015 --  I'm just biding my time until I can watch the Halloween Town marathon, man.
Sun Aug 16 11:45:48 PDT 2015 --  MY HEART: 　　 　　 　　　 　　 　　　　　 　　 　 　　　　 　　　　　　 　　　　　 　　　　
Sun Aug 16 11:38:32 PDT 2015 --  Lol @ your decisions in life
Sat Aug 15 22:06:09 PDT 2015 --  that's beautiful pic.twitter.com/Sdnc5nnszh
Sun Aug 16 06:46:11 PDT 2015 --  It's the day we've all been waiting for.. #Colts football is back.. Enjoy your Sunday Funday #ColtsNation.. Let's do the damn thing
Sat Aug 15 19:24:57 PDT 2015 --  P ___ Everyone pic.twitter.com/m4uOvSsiRm
Sat Aug 15 19:22:03 PDT 2015 --  A cancer-free Eric Berry returned to the field for the @chiefs on Saturday: http://es.pn/1Koz019  pic.twitter.com/x58BEhiwNh
Sat Aug 15 07:25:05 PDT 2015 --  Police dog is given retirement presents from the community on his last day on the job pic.twitter.com/ZBx8ZFFa4d
Sat Aug 15 06:59:25 PDT 2015 --  Right now God is working and you will see what He's doing at just the right time. He may not be early but He won't be late!
Sat Aug 15 06:55:40 PDT 2015 --  About to start living by this rule pic.twitter.com/D1JdhiAxZw
Sat Aug 15 06:42:06 PDT 2015 --  Best. Analogy. Ever. pic.twitter.com/IAcMwiQYbL
Fri Aug 14 17:51:09 PDT 2015 --  Love does not knock that often. And when it does, you have to let it in
Fri Aug 14 07:41:33 PDT 2015 --  She shows the world up with a smile and then she throws the fight.
Thu Aug 13 17:53:50 PDT 2015 --  pic.twitter.com/KIrxgpOEXS
Thu Jul 09 22:25:56 PDT 2015 --  Awesome backyard DIY water pond idea pic.twitter.com/wtbJUFMfLw
Thu Aug 13 14:55:03 PDT 2015 --  I just saw a man with the Nike slogan tattooed on him.... I guess he decided to just do it.
Thu Aug 13 10:37:17 PDT 2015 --  THIS JUST MADE ME WHOLE DAY https://vine.co/v/OjTAY2dKmqj 
Thu Aug 13 10:34:31 PDT 2015 --  Weird and proud of it pic.twitter.com/i3IJegjkEW
Thu Aug 13 09:38:11 PDT 2015 --  Happy birthday, @MCABEE24 !
Tue Jul 05 14:04:23 PDT 2011 --  Um, I like it tha best when ur nice to me
Thu Aug 13 09:31:27 PDT 2015 --  October 13th
