Thu Aug 13 13:37:59 PDT 2015 --  I'm the smartphone equivalent of crocs!
Fri Aug 28 02:38:18 PDT 2015 --  Facebook's servers can handle a billion people online, Apple's can't even keep a live stream to a million going
Fri Aug 28 02:24:00 PDT 2015 --  Screen? Our phones had screens long before Apple's! Who's copying now???
Fri Aug 28 02:23:23 PDT 2015 --  4K recording? Such innovation, especially since the Galaxy S5 had it first.
Fri Aug 28 02:22:27 PDT 2015 --  Wow, they're renaming Force Touch? Poor Cosby, just when he got excited for the new iPhone...
Wed Aug 26 11:45:47 PDT 2015 --  Yes, the Samsung Galaxy Mega On and Samsung Galaxy Grand On will be announced soon, followed by the Samsung Galaxy Hard On later this year.
Wed Aug 26 01:51:03 PDT 2015 --  How dare HTC blatantly rip off Apple? Oh wait, nevermind. Nothing to see here. Move along now.
Tue Aug 25 13:11:22 PDT 2015 --  "The Gear S2 copied the Apple Watch" #FuckYou pic.twitter.com/sH0OuDr0Yh
Tue Aug 25 12:36:28 PDT 2015 --  They never hear you coming.
Tue Aug 25 12:35:05 PDT 2015 --  Oh, you inserted your S Pen the wrong way, breaking your Note5? Guessing you also insert your penis into ears.
Tue Aug 25 00:09:53 PDT 2015 --  We have been quiet, but that's only because we're testing the Keyboard Cover's best new feature; Carpal Tunnel!
Fri Aug 21 12:46:49 PDT 2015 --  Because at Samspung we care. In fact you may not know this, but the Note5 has a PP69 rating for semen resistance. #SorryEurope
Fri Aug 21 12:44:28 PDT 2015 --  We're bringing you an 18" tablet. Its main, and pretty much only, features are Angry Birds 2 and a better porn viewing experience in bed.
Thu Aug 20 14:41:47 PDT 2015 --  Europeans, non-curved displays are so 2007. Be grateful we're forcing the future upon you and shut up.
Thu Aug 20 14:19:25 PDT 2015 --  Our phones look like the iPhone? Seriously? It's a rectangle people, how many fucking unique rectangles have you seen?
Wed Aug 19 04:15:55 PDT 2015 --  Remember, well built phones don't bring in revenue from constant repairs. #GlassFTW
Wed Aug 19 04:12:51 PDT 2015 --  Remember when BlackBerry hired Alicia Keys as their Creative Director? And then she tweeted from an iPhone? In fact, remember BlackBerry?
Tue Aug 18 06:21:26 PDT 2015 --  Lies!!! RT @gsmarenadotcom: Galaxy Note5's first drop test proves the brittleness of the glass design http://bit.ly/1E0on81 
Tue Aug 18 04:37:48 PDT 2015 --  Xiaomi tried to troll us. Funny since even our farts have wider distribution than them. Plus they didn't have such an awesome keyboard case.
Tue Aug 18 04:31:50 PDT 2015 --  Horrible Bosses 5: Microsoft Meltdown
Tue Aug 18 04:25:48 PDT 2015 --  Horrible Bosses 4: Foxconn Funland
Tue Aug 18 04:06:23 PDT 2015 --  Horrible Bosses 3: Amazon Adventure
Mon Aug 17 11:35:04 PDT 2015 --  This monstrosity from 2001 is what we strive to turn the Galaxy Note 6 into next year #ComingSoon pic.twitter.com/6zVhStoRy2
Mon Aug 17 11:04:56 PDT 2015 --  http://ANDROID.NOUGAT.WILL.BE.SO .FUCKING.RAD.LIKE.ERMAHGERD. #SORRYCAPSLOCKSTUCKANDSPACEBROKEOFFFUCKINGPHYSICALKEYBOARDS
Mon Aug 17 08:15:07 PDT 2015 --  Come on guys, round icons on a round watch is common sense, not copying. Besides our phone icon is a different green. pic.twitter.com/4IFLoyGMtS
Mon Aug 17 07:52:53 PDT 2015 --  In November we'll launch the Keyboard Cover 2 for the Galaxy S6 with revolutionary trackball and poop emoji vowels pic.twitter.com/lfIGdMMy9a
Mon Aug 17 06:54:24 PDT 2015 --  In order to win back customers, we will be pre-installing the PornHub app on all our devices, rollout starts in India next month.
Mon Aug 17 02:00:08 PDT 2015 --  At Samsung we use only the best organic, locally sourced slaves.
Sun Aug 16 09:59:21 PDT 2015 --  We at Scamsung are indeed working on a car of our own, however it will only come with one door and windows can't be opened. #KeepInnovating
Sun Aug 16 03:08:23 PDT 2015 --  Android. Curved Display. Keyboard. All things we came up with ourselves, totally not BlackBerry's ideas. pic.twitter.com/AAkW9p4i0X
Sun Aug 16 01:36:14 PDT 2015 --  Whoops! Twitter temporarily blocked this account. At Spamsung we certainly don't "exhibit automated and spam-like behavior"
Sat Aug 15 07:26:08 PDT 2015 --  TouchWiz is tótally not the reason our devices lag behind the iPhone, despite having almost ten times the RAM
Sat Aug 15 06:41:54 PDT 2015 --  Only men would call something 2.5-inch the world's biggest #Samsung16TBSSD
Sat Aug 15 04:09:02 PDT 2015 --  My autocorrect constantly changes Apple to asshole, a sign perhaps?
Sat Aug 15 03:19:26 PDT 2015 --  You think our naming conventions are bad? Just remember, Siemens used to make phones
Fri Aug 14 13:33:39 PDT 2015 --  . @LongmanGill never, we rooted for Simba throughout the entire Lion King
Fri Aug 14 12:22:09 PDT 2015 --  "Good artists copy, great artists steal." - Samsung CEO, JK Shin
Fri Aug 14 11:29:24 PDT 2015 --  Ironic that @tim_cook invested in a shower, since his predecessor never took one
Fri Aug 14 10:04:44 PDT 2015 --  Force Touch? Why does Apple let Bill Cosby name their features?
