Fri Aug 14 14:35:41 PDT 2015 --  Visit my art installation at Burning Man this year #theblackmirror.
Thu Jul 09 08:35:46 PDT 2015 --  My son told me that wisdom is intelligence and knowledge that has been suffused with the work required to bring you to higher consciousness
Thu Mar 27 09:27:31 PDT 2014 --  I am not addicted to any games on my smartphone. I am Puzzle and Dragons-free. I do not play Fruit Ninja. I am also lying through my teeth.
Wed Mar 19 12:56:03 PDT 2014 --  Gutten tag, Hash tag!
Wed Mar 19 12:55:36 PDT 2014 --  Hashtag broke my freaking leg so badly I almost died and then hashtag caught a pulmonary embolism from it... healing up well. A human tripod
Wed Mar 19 12:52:57 PDT 2014 --  Beautiful soup..So thick and green.. floating in the hot tureen. Who for such dainties, would not stoop?. soup of the evening beautiful soup
Mon Dec 02 21:13:20 PST 2013 --  #3DPrintMyGift Happy 3D D3 Day. GE is giving away free 3D printed gifts for tweeting this hashtag, so pass it on! 3D changes everything. :)
Mon Sep 23 08:31:43 PDT 2013 --  There there. .. Just ... lie back on the couch... http://www.hlntv.com/article/2013/09/21/nasa-study-bed-rest?hpt=hp_bn17 …
Mon Sep 23 08:17:51 PDT 2013 --  Is there any song that I don't like from the band "Radiohead"? Listened to them tuning up "From the Basement" but found I liked that as well
Tue Feb 26 11:11:50 PST 2013 --  Check your ISP agreement today. I kid you not, many ISPs today wrote a new agreement that lets them spy on you and shut you down. Stop this.
Thu Nov 29 09:34:10 PST 2012 --  Happy with election, but as always - they are only just a start. Make sure you watchdog your congressman. 90% disapproval and no change? Oy.
Thu Nov 29 09:31:47 PST 2012 --  There is something about Ellie Golding's "Lights" - at least to me. Yesterday I heard it on the radio - almost stopped the car. Nice tune.
Wed Oct 03 19:57:33 PDT 2012 --  I really believe this debate was substantive and the differences between the candidates are clear. Budgets reflect choices; so will my vote.
Wed Oct 03 19:54:20 PDT 2012 --  After seeing the presidential debate tonight, I'm reminded of the fact that there was a certain class of thinking that crashed us. I vote No
Thu Sep 20 20:31:20 PDT 2012 --  Playing Violet Storm for Windows 8: http://apps.microsoft.com/webpdp/app/violet-storm …
Fri Apr 27 08:21:39 PDT 2012 --  #letsbeblunt The republican party is dead. Its bloated and rotten elephantine corpse brings the stench of lobbyism and their legislation.
Fri Apr 27 08:15:42 PDT 2012 --  The only reason CISPA passed the house is because the Obama Administrations promised veto was like catnip to them and they just can't resist
Fri Apr 27 08:15:09 PDT 2012 --  CISPA, a deeply flawed legislative initiative - passed the house on a Republican vote despite massive opposition and a veto. The GOP is dead
Fri Apr 27 08:13:42 PDT 2012 --  Ex girlfriends are the secret society that rules the planet. They can be found in a secret room, working together to rig the capital market
Fri Apr 27 08:11:56 PDT 2012 --  Let's play a game called "hash tag". You run around until you're caught. When you're caught you have to say the word "tweet" in a sentence"
Fri Apr 27 08:10:38 PDT 2012 --  Birth. School. Work. Death.
Sat Mar 03 14:55:19 PST 2012 --  Find the way you got married. Lose the pride. Forget differences. Love what the other person loves. Complement her. Be like your grandparent
Sat Mar 03 14:41:19 PST 2012 --  SOPA and PIPA are dead they will rise again in undead form, and when they do, they need to be shot in the head twice. Remember rule number 1
Sat Mar 03 14:38:22 PST 2012 --  @Jason @launch I know a really great video editor. I'll mail you.
Wed Feb 22 10:18:28 PST 2012 --  It's time we overturn #CitizensUnited and end corporate personhood. Billions are being wasted on lobbyism and greed http://bit.ly/zLXHfZ  #p2
Tue Feb 21 05:39:23 PST 2012 --  @violetblue They spent nearly 2 million dollars trying to write the original version of SOPA/PIPA. It's guaranteed to zombie back up again
Tue Feb 21 05:37:49 PST 2012 --  @irincarmon The subject of my panel tonight is.... Why am I on twitter, and not following Irin Carmon ?
Tue Feb 21 05:35:42 PST 2012 --  To live. To love. Verb.
Tue Feb 21 05:35:12 PST 2012 --  I have broken my New Year's resolution. I have used the word "tweet" in an actual sentence. I am singing schoolhouse rock. To be. To learn.
Thu Feb 16 09:48:45 PST 2012 --  Tea and Kittens!
Tue Dec 20 13:04:52 PST 2011 --  Happy Hannukah!
Tue Dec 20 13:03:57 PST 2011 --  My second new year's resolution is: avoid prefix of hash tag. If someone wants to index me, they can use a compact natural language parser.
Tue Dec 20 13:01:25 PST 2011 --  My new year's resolution is to purposefully avoid the words "tweet" and "retweet" , in any sentence, for the entire calendar year of 2012.
Wed Dec 14 05:27:54 PST 2011 --  What's ur fave reason for why @Google should quit the @USChamber? #SOPA? #Climate? #EconJustice & #OWS? http://googlequitthechamber.org  via @sum_of_us
Thu Dec 08 12:40:28 PST 2011 --  The Republican party is a neo liberal party dedicated to welfare for the wealthy, and corporate lobbyism.. blocking payroll tax cuts = lame
Thu Dec 08 12:38:23 PST 2011 --  There should never be a law against people collecting to discuss the path forward for their community, or their government, or their family.
Thu Dec 08 12:37:36 PST 2011 --  Cleveland Ohio is trying to pass a law preventing US citizens from using their cell phones and sms to effect general assembly: it is a crime
Tue Dec 06 09:20:54 PST 2011 --  I want to get a tattoo of myself on my entire body, only two inches taller. - Steven Wright
Tue Dec 06 09:17:14 PST 2011 --  When the GOP dies, will someone please bury it somewhere away from populated areas and deep enough so that it won't corrupt the water supply
Tue Dec 06 09:14:48 PST 2011 --  #NeverTrustAGirlThat is named Lucretia Borgia, or askes you to take a drink from a bottle of Wine with happy animals dancing on the label.
Tue Dec 06 09:03:57 PST 2011 --  My plans to buy a Tesla, are not diminished by the fact that as of this year, America is now an exporter of Gasoline. Tesla rules. :)
Tue Dec 06 04:57:42 PST 2011 --  Tell @Google employees to quit the @USChamber of Commerce. Lobbyism is lame! Sign: http://bit.ly/rGcKYv  #googlequit via @MoveOn
Fri Dec 02 07:33:56 PST 2011 --  I just added my name to protect the Web as we know it with @Mozilla. Will you join me? http://mzl.la/tLMaWi  #StopSOPA
Sat Oct 22 09:24:02 PDT 2011 --  My contention is that it's ok to fall asleep at your desk for a half hour, if you've gone to work at 5 on a saturday morning. Napster power
Sat Oct 22 09:22:14 PDT 2011 --  When you go to Las Vegas , look around. There are people looking up at the lights. And then there are people looking at them. Sheep. Wolf.
Sat Oct 22 09:18:54 PDT 2011 --  Telling the truth is an act of patriotism. Neoliberal news media entertainers tell you otherwise. But then they're still hacking your phone
Sat Oct 22 09:12:35 PDT 2011 --  Whenever I get worried that my job is becoming obselete, I always reassure myself by saying that in fact its true. Make yourself obselete.
Sat Oct 22 09:10:53 PDT 2011 --  They say a man's beard grows faster when he's thinking about sex. And a sailor's beard when he approaches shore. Mine is growing like crazy
Tue Oct 18 09:42:34 PDT 2011 --  The heart is a lonely hunter.
Fri Oct 14 07:06:23 PDT 2011 --  URGENT: Defend #OccupyWallStreet from eviction tomorrow by Mayor @MikeBloomberg Sign here: http://pccc.me/p8Ft26  #ows @BoldProgressives
Fri Oct 07 12:40:06 PDT 2011 --  How to raise a teen daughter: No Facebook, No cellphone, req. 4.0 GPA, limited Youtube, unlimited Netflix. Give her the old Volvo at age 15
Fri Oct 07 12:33:16 PDT 2011 --  @petertravers Agree
