Wed Aug 26 20:29:50 PDT 2015 --  Anyone know how to lower the difficulty setting on tinder?
Tue Aug 25 18:02:42 PDT 2015 --  everytime "cis" and "privileged" come up in a something im reading i sigh internally and say "here we go"
Mon Aug 24 18:43:38 PDT 2015 --  Everything looks perfect from far away
Thu Jun 11 17:47:48 PDT 2015 --  2003 Honda Civic With Power Windows 🏻 pic.twitter.com/AcAvH0ZQcX
Thu Aug 20 13:41:02 PDT 2015 --  nigerian prince pls send monies
Thu Aug 20 10:39:14 PDT 2015 --  Going 2 bar pic.twitter.com/k9B41gQQXi
Sat Aug 15 17:40:18 PDT 2015 --  People only say "it's a free country" when they do something shitty
Fri Aug 07 19:04:33 PDT 2015 --  how messed up would it be if an astronaut came back to earth and everybody hid for a bit
Wed Aug 05 08:53:04 PDT 2015 --  *teenage white girl voice* umm it's a free country
Tue Aug 04 23:10:22 PDT 2015 --  What if @NASA invented thunderstorms to cover up space battles #conspiracy
Wed Jul 29 16:02:54 PDT 2015 --  You’re in. Here’s your personal code to unlock Beme http://beme.codes/NO3SJ-GMEII-FG3PQ-T48BH …
Sat Jul 25 20:15:48 PDT 2015 --  Slum Dog Millionaire 2: The tragic story of a Nigerian prince trying to move millions of dollars out of his country through emails.
Tue Jul 21 20:43:33 PDT 2015 --  Today I learned if you cut down a tree and count all the rings in the middle, the tree will die
Sat Jul 18 22:07:03 PDT 2015 --  how fucked up would it be if you jumped into a ball pit and it was just tomatoes painted different colours
Sat Jul 18 10:28:06 PDT 2015 --  Retweet this and @BarefootWine will donate $5 to @Surfrider #beachrescue for EVERY retweet!!! pic.twitter.com/8CoM4Eqe6A
Wed Jul 15 16:46:16 PDT 2015 --  The Amazon prime day sale is probably the most disappointing thing of this year so far
Thu Jul 09 19:00:30 PDT 2015 --  life is as good as your mindset
Wed Jul 08 10:04:56 PDT 2015 --  Starting today, we're officially partnering with @TacoBell to bring your favorite tacos and burritos directly to you! pic.twitter.com/cxvz1oYY6z
Tue Jul 07 20:25:50 PDT 2015 --  if my cup tips over when its empty and i lean my spoon on the edge im not buying your yogurt ever again
Tue Jun 16 17:54:39 PDT 2015 --  Will your self driving car be programmed to kill you if it means saving more strangers?
Sat Jun 13 18:08:34 PDT 2015 --  Love this. Go find your adventure. https://vimeo.com/120206922 
Fri Jun 12 09:30:04 PDT 2015 --  Ouch. Yo boy come forward. Free tacos for a year for your sorrows. https://www.youtube.com/watch?v=LMdtYZFTvhY …
Wed Jun 10 20:15:51 PDT 2015 --  few things are more painful than reading girls Instagram captions
Mon Jun 08 19:00:08 PDT 2015 --  Bell is life.
Thu May 28 15:21:22 PDT 2015 --  . @Stobiespizza make it happen pic.twitter.com/9BLhZglPVp
Sat May 23 15:47:36 PDT 2015 --  When a girl tweets "this " I don't even need to open the picture cause I know it's a paragraph about a bunch of shit no guy is gonna do
Tue May 12 19:36:39 PDT 2015 --  when my alarm goes off in the morning https://33.media.tumblr.com/a261ecdf25d88542bcc6bf9880dbd3a2/tumblr_mzb1i8u6Od1t0cscho1_250.gif …
Mon Apr 27 08:45:13 PDT 2015 --  Dune buggying where the desert meets the Pacific Ocean #mexico #california #cali #mexicali #beach… https://instagram.com/p/1-99MYSVOO/ 
Fri Apr 24 18:01:50 PDT 2015 --  I'm in #mexico so expect Instagram spam #mexicali #tropical #summervibes #california https://instagram.com/p/14PRX3SVAa/ 
Fri Apr 24 17:48:58 PDT 2015 --  Also my first time flying alone
Fri Apr 24 17:48:24 PDT 2015 --  Wrote an exam yesterday at 1:30 and then bought a plane ticket to Mexico and got here the same time the next day pic.twitter.com/z37xnu2gVQ
Thu Apr 23 13:19:39 PDT 2015 --  "the idea here is not to try and become something, but realizing you already have whatever you need"
Mon Apr 20 08:23:56 PDT 2015 --  fork twenty, scramble eggs everyday
Fri Apr 17 17:42:59 PDT 2015 --  Current pic.twitter.com/6LRL9MHvnj
