Sat Aug 29 07:30:08 PDT 2015 --  It's MYYYYY BIRTHDAY
Fri Aug 28 17:33:57 PDT 2015 --  FIVE HOURS UNTIL I TURN 15!!!! #sophomore#15#
Fri Aug 28 10:09:41 PDT 2015 --  MY BIRTHDAY
Fri Aug 28 10:08:56 PDT 2015 --  GUESS WHAT TOMORROW IS?!!!!!
Fri Aug 28 07:24:06 PDT 2015 --  Til my birfday what what!!! pic.twitter.com/jvtNqciiV1
Fri Aug 28 07:22:24 PDT 2015 --  http://deleonsphotography.simdif.com/weather-is-revealing-.html … http://deleonsphotography.simdif.com/weather-is-revealing-.html … http://deleonsphotography.simdif.com/weather-is-revealing-.html …
Fri Aug 28 07:20:10 PDT 2015 --  http://deleonsphotography.simdif.com/weather-is-revealing-.html … ITS MY BIRTHDAY WISH JUST DOOOOO IT!!!!
Fri Aug 28 07:19:48 PDT 2015 --  My birthday is tomorrow and for my birthday I WANT YOU TO CHECK THIS LINK OUT!!!! http://deleonsphotography.simdif.com/weather-is-revealing-.html …
Thu Aug 27 11:12:58 PDT 2015 --  BELIEVE IN YOURSELF AND JUST CLICK THE LINK!!! JUST DOOOOO ITTTTTT!!!! http://deleonsphotography.simdif.com/weather-is-revealing-.html … http://deleonsphotography.simdif.com/weather-is-revealing-.html …
Thu Aug 27 11:12:08 PDT 2015 --  CHECK THIS OUT http://deleonsphotography.simdif.com/weather-is-revealing-.html …
Wed Aug 26 10:13:35 PDT 2015 --  2 days 19 hours 47 mins 04 secs until my birthday #august 29th pic.twitter.com/kNkQCOnY0A
Tue Aug 25 20:00:32 PDT 2015 --  You have two ears and one mouth. Follow that ratio. Listen more, talk less.
Tue Aug 25 20:27:38 PDT 2015 --  Can I like have this?! pic.twitter.com/nflQGxAr42
Tue Aug 25 20:04:09 PDT 2015 --  Even though I've been done with greys for a while I'll never forget all they went through. pic.twitter.com/fvTXsE0iD6
Tue Aug 25 20:00:47 PDT 2015 --  Hard choice but going for mcsteamy babe!
Tue Aug 25 19:58:02 PDT 2015 --  Probably going to start from season one again. #GreysAnatomy #jacksonavery pic.twitter.com/JyXoErCi9e
Tue Aug 25 19:52:37 PDT 2015 --  Awesome! Got some birthday wishes shortly after I posted it. Remember to check my bio for my website!
Tue Aug 25 11:14:56 PDT 2015 --  Texas... Why are so freakishly bipolar?! Sunny one minute then you look out the window an it's a typhoon looking sky
Tue Aug 25 11:01:27 PDT 2015 --  Anyone else want cheesecake.
Tue Aug 25 11:00:41 PDT 2015 --  Let's just say my birthday is this Saturday. Let's see how many wishes I get between now an then.
Mon Aug 24 18:14:22 PDT 2015 --  I'm hungry...
Tue Aug 18 21:27:37 PDT 2015 --  If you didn't get it earlier. Check it out an if you have a phone make it sideways. http://deleonsphotography.simdif.com  tell me what you think
Tue Aug 18 19:09:01 PDT 2015 --  http://deleonsphotography.simdif.com 
Tue Aug 18 19:08:56 PDT 2015 --  It's ready earlier but remember my birthday August 29th🏽 but anyways here it is an if you have a phone tilt it sideways but here it is
Mon Aug 17 11:53:02 PDT 2015 --  Luckily they are making a season 13
Mon Aug 17 11:52:43 PDT 2015 --  I finished greys an the ending is good but sad.
Mon Aug 17 11:52:02 PDT 2015 --  Imma go get my hair did. Then imma hit up Applebee's cause it's a girls night out. Haha
Sun Aug 16 12:07:45 PDT 2015 --  Thought I'd post a selfie for fun because I haven't taken one in a while. pic.twitter.com/jzf60KPCRH
Sun Aug 16 11:57:15 PDT 2015 --  So hungry rn my sister needs to hurry up because I want some pizza.... Pizza fixes everything!
Sat Aug 15 04:29:46 PDT 2015 --  Speaking of websites go check it out on my birthday August 29th you won't regret it
Sat Aug 15 04:29:16 PDT 2015 --  Hallaluyer just saw lighting an bunch of thunder the Lort has been so kind to have given me perfect clouds an angles to finish up my website
Fri Aug 14 08:50:23 PDT 2015 --  Emoji App... pic.twitter.com/47x8G0APiT
Thu Aug 13 09:51:37 PDT 2015 --  You know I am not looking forward to go back to school. Such a long year all I look forward to is track an my friends not the work part
Thu Aug 13 02:38:00 PDT 2015 --  #dying right now https://vine.co/v/eddBWOrVlqb 
Tue Aug 11 17:46:18 PDT 2015 --  Totally blindsided I just can't comprehend this haha like oh my gosh #CeCeIsA #fAcetoface #PLL pic.twitter.com/uLqzOgmlHT
Sun Aug 09 15:03:41 PDT 2015 --  SO IF YOU HAVENT HEARD I SAID THAT MY WEBSITE WOULD BE UP AN RUNNING ON MY BDAY AUGUST 29th BUT TURNS OUT IT THAT IT MAY BE DONE EARLIER
Fri Aug 07 14:08:46 PDT 2015 --  Hope you guys will check out my site I'll have the link up on here on AUGUST29th
Fri Aug 07 14:07:57 PDT 2015 --  If you guys didn't here my last announcement... I am making a photography website and it'll be ready by crazy enoughAUGUST29th my birthday
