Wed Aug 12 17:12:08 PDT 2015 --  Saw this police officer working Colts camp. Asked him his story. So glad I did. Column - http://www.indystar.com/story/sports/columnists/gregg-doyel/2015/08/12/doyel-officer-back-streets-story-tell/31571677/?post_id=1030703817_10205578709800341#_=_ … pic.twitter.com/Hjn5RpToCY
Wed Aug 12 17:17:13 PDT 2015 --  @MattOverton_LS hey Matt. Cool thing you did for this cop. He wanted me to thank you for him. http://www.indystar.com/story/sports/columnists/gregg-doyel/2015/08/12/doyel-officer-back-streets-story-tell/31571677/?post_id=1030703817_10205578709800341#_=_ …
Tue Jul 28 11:55:57 PDT 2015 --  If a dentist can afford to spend $50,000 to kill a lion it tells me the rich aren't taxed enough #CecilTheLion http://www.theguardian.com/environment/2015/jul/28/killer-of-cecil-the-lion-was-american-zimbabwe-officials-claim …
Sat Jul 25 20:18:16 PDT 2015 --  Make this go viral pic.twitter.com/2rqGjyVr6g
Fri Jun 19 08:31:05 PDT 2015 --  Going to work tonight @scottradecenter @BellatorMMA ..if ur not there watch me on @spike at 9pm
Wed Jun 03 15:45:34 PDT 2015 --  Anybody out there wanna see #HellboyIII as much as I do? Let's get this muthafucka trending, y'all! Let's end the trilogy; we earned it!
Tue May 26 14:52:07 PDT 2015 --  Pat McAfee: Uncaged Stand-up comedy special 18+ July 11th @CarmelPalladium Tickets on sale Friday Portion of proceeds 2 @thepmacfound
Thu May 07 14:00:45 PDT 2015 --  More people need to realize this pic.twitter.com/bUyVHKOLVm
Fri Feb 20 15:55:35 PST 2015 --  ITS ABOUT DAMN TIME pic.twitter.com/TZf8HrX7D4
Sun Feb 01 20:02:31 PST 2015 --  LMAOOOOOO https://vine.co/v/OtE6DuTz090 
Sun Feb 01 20:13:55 PST 2015 --  When you call the dumbest play in sports history pic.twitter.com/G3yrYETUqC
Wed Jan 28 14:09:46 PST 2015 --  IM GOING BACK TO INDIANA !!! FRIDAY FEBRUARY 13th !!! NAPTOWN LETS GO !!! pic.twitter.com/DDiYKFlpbP
Tue Jan 20 20:58:35 PST 2015 --  If New England was to be DQ'd.. We'd be their replacements right??... I should probably lay off these strawberry margs
Tue Jan 20 21:09:21 PST 2015 --  Pats fans: give up the fantasy. Your brilliant head coach is also a cheat. 11 of 12 balls deflated. Must be the ball boys fault right?
Tue Jan 20 18:28:59 PST 2015 --  "Congress...needs to pass a law that makes sure a woman is paid the same as a man for doing the same work. Really—it’s 2015." —Obama #SOTU
Tue Jan 20 18:29:50 PST 2015 --  "If you truly believe you could work full-time & support a family on less than $15,000 a year, try it." —Obama pic.twitter.com/MsHkVdUnhM
Tue Jan 20 18:30:08 PST 2015 --  "Take a vote to give millions of the hardest-working people in America a raise." —Obama to Congress on why it's time to #RaiseTheWage #SOTU
Tue Jan 20 19:06:08 PST 2015 --  "Surely we can understand the wife who won’t rest until the police officer she married walks through the front door" —President Obama #SOTU
Tue Jan 20 19:08:39 PST 2015 --  "I want our actions to tell every child, in every neighborhood: your life matters" —President Obama #SOTU
Tue Dec 16 19:13:43 PST 2014 --  Voting is open! Use #InkErik #InkJason #InkCleen to help an artist earn a spot in the final 2. http://bit.ly/im05tats  pic.twitter.com/0bZZTfNpK4
