Wed Aug 26 21:00:07 PDT 2015 --  I honestly live by @daisyheadmaise Twitter.
Sun Aug 23 21:08:23 PDT 2015 --  mom: tristan you need to go to bed rn tristan: but I got a date with pepe mom: who's pepe? tristan: my dick (grabs lotion)
Tue Aug 18 20:00:57 PDT 2015 --  When someone calls me fat pic.twitter.com/Lxh3v6YZl1
Fri Aug 07 15:12:11 PDT 2015 --  After two shows this summer it's finally time to relax before junior year… https://instagram.com/p/6GS8MbhvDPlnqbcDREQPcdzK7EftA0LmfzSsc0/ …
Fri Jul 31 11:54:25 PDT 2015 --  All hail Sierra for working out multiple times every day, and never once posting about it on social media. ALL HAIL THE QUEEN OF KINDNESS.
Sat Jul 11 16:13:34 PDT 2015 --  #freeslurpeeday obviously does not exist in New Bedford, Massachusetts. However, I did win 1$ on a 1$… https://instagram.com/p/5A4yhzhvPH/ 
Mon Jul 06 22:20:59 PDT 2015 --  Why do people subtweet can't everyone just get along and love each other?
Thu Jul 02 06:21:27 PDT 2015 --  I have no responsibilities today but woke up at 9 because my legs are SORE! #flybarre #zumba #icyhot
Fri Jun 26 18:28:06 PDT 2015 --  "Being skinny isn't as good as food tastes!" - @AlexanderSeth
Fri Jun 26 17:47:37 PDT 2015 --  "I can't help it if I have a heavy mix and a wide set vibrato"- @bransengates
Fri Jun 26 08:09:29 PDT 2015 --  #LoveWins
Fri Jun 26 08:08:57 PDT 2015 --  Today we celebrate the start of legal marriage in all 50 states, and only throw a little shade at the 4 that voted against it
Fri Jun 26 07:26:19 PDT 2015 --  Our new favorite map. RT if you live in a state where marriage equality is law. pic.twitter.com/7GlCwCJHyg
Wed Jun 24 20:40:56 PDT 2015 --  Omg @Jschwartz916 look!!! OMG OMG OMG https://twitter.com/disickreactions/status/613914401205301248 …
Fri Jun 19 11:24:43 PDT 2015 --  I have an ongoing joke with @Jschwartz916 that I'm adopting a puppy under his name...but I'm afraid one day I may actually do it... Iluvpups
Wed Jun 17 11:52:11 PDT 2015 --  Don't worry it's not strep!
Wed Jun 17 11:10:00 PDT 2015 --  Will the doctor ever come back? A new musical! Songs including "Do I have strep?" "Give me the results" and "Hurry the F up I am hungry!"
Fri Jun 12 23:58:39 PDT 2015 --  Ngl kinda sad I don't have a chance with @LauraBenanti anymore. But congrats I guess.
Thu Jun 11 16:25:43 PDT 2015 --  Celebratory marg for a good opening!
Mon Jun 08 20:05:06 PDT 2015 --  When your mom buys off brand cereal pic.twitter.com/2DIoH0txx6
Sun Jun 07 20:03:39 PDT 2015 --  My whole newsfeed is about @kelliohara and it is well deserved!
Thu Jun 04 22:30:05 PDT 2015 --  Damn, I thought they only drank Coke pic.twitter.com/7AkeLiwkzU
Sun Jun 07 15:52:06 PDT 2015 --  so tired of looking in my wallet and not finding $10,000
Sun Jun 07 16:13:53 PDT 2015 --  Sitz probe on #tonynight but I ain't mad cause this orchestra sounds fierce AF #guysanddolls #reagle
Sun Jun 07 15:10:03 PDT 2015 --  #TonysRedCarpet such gorgeous people!
Sat Jun 06 13:25:33 PDT 2015 --  Two hour dinner break? Cheesecake it is!
Fri Jun 05 13:51:11 PDT 2015 --  Calling something free means I shouldn't have to bring my wallet to get it.... Just saying
Tue Jun 02 07:32:24 PDT 2015 --  Why is it winter in Boston again?
Tue Jun 02 04:42:06 PDT 2015 --  When together again plays at work...and the freshman review PTSD hits you. #bahdabahdababa
Sun May 31 18:11:26 PDT 2015 --  my nephew and I are watching Goosebumps and I go, "do you believe in ghosts?" and he goes, "I only believe in science" okay you're 8 calm it
Wed May 27 01:41:06 PDT 2015 --  I feel like Raven....I see a fat nap in my future..... #itsthefutureicansee
Wed May 27 01:40:15 PDT 2015 --  I got home from rehearsal at midnight and have work at 5am.....something seems wrong.
Sat May 23 19:17:26 PDT 2015 --  "That's why I think he's straight cause he doesn't know how to take a good picture of himself"- @ktbrunson
Fri May 22 09:25:58 PDT 2015 --  Does anyone have a tiny puppy I can play with? Just for like 10 minutes please!! I need a dog
Wed May 20 02:29:45 PDT 2015 --  This morning I am so happy about the pants I purchased yesterday! Amiright @jahveeola ?!?!
Tue May 12 01:53:16 PDT 2015 --  iPhone weather it is cloudy, but you forgot to mention the rain..... #icountedonyou
