Fri Aug 28 20:08:11 PDT 2015 --  The "I know you're asleep but...." texts are my absolute fave
Thu Aug 27 19:17:17 PDT 2015 --  pretty sure your the teams good luck charm now pic.twitter.com/4Omn69PDZE
Thu Aug 27 17:17:15 PDT 2015 --  Congratulations to JV and Varsity volleyball team for their first game win!Come out and support them Saturday in the mayors cup tournament!
Thu Aug 27 18:59:06 PDT 2015 --  way to start the season out with a win tonight. I love my team!
Thu Aug 27 08:40:13 PDT 2015 --  You're damned if you do and you're damned if you don't, so you might as well do what you want. #KaceyMusgraves
Wed Aug 26 19:49:12 PDT 2015 --  waisted just about 2 years on ya'll. whatever I don't care anymore 🏼... 🏼... 🏼️...
Wed Aug 26 16:43:15 PDT 2015 --  Fix your shit, before you go criticizing others.
Tue Aug 25 19:03:06 PDT 2015 --  Im ready for
Tue Aug 25 20:13:02 PDT 2015 --  When you say all day "I have to study tonight" and it never happens..
Tue Aug 25 19:26:00 PDT 2015 --  BUY A HOMECOMING T SHIRT! The class that buys the most shirts will get points for homecoming!Buying a shirt may win your class homecoming!
Tue Aug 25 19:00:07 PDT 2015 --  s/o to @Deer_Hunter06 for falling asleep on me
Tue Aug 25 14:28:14 PDT 2015 --  I'll go anywhere, anywhere with you
Tue Aug 25 15:36:11 PDT 2015 --  Gimme permanent fall weather please
Mon Aug 24 11:27:32 PDT 2015 --  shout out to @arb_2016 and Emmie for driving me today bc my car is a pos
Thu Aug 20 11:55:14 PDT 2015 --  me as a girlfriend pic.twitter.com/HgqBuU624y
Mon Mar 23 11:22:39 PDT 2015 --  Damn true. pic.twitter.com/Z7xOlvRIZA
Tue Aug 11 14:51:11 PDT 2015 --  If ur girl ever asks "who is she?" U better off not lyin cuz 100% she already knows who she is where she lives & what color her room painted
Sat Aug 22 18:28:20 PDT 2015 --  FRIDAY NIGHT FOOTBALL
Sat Aug 22 14:30:18 PDT 2015 --  can I go home now
Fri Aug 21 09:37:01 PDT 2015 --  something written to us, the class of 2016: pic.twitter.com/ev4qy4nHYR
Sat Aug 15 12:57:02 PDT 2015 --  I'm glad I have friends who stick by my side when i fuck up, not just when they fuck up..
Tue Aug 18 14:25:19 PDT 2015 --  fuck a double text i'll quadruple text u. U think i care????? buzz buzz its me again hoe
Wed Aug 12 21:19:36 PDT 2015 --  Chris brown hitting the quan pic.twitter.com/0bu1Bz4Y9t
Thu Aug 20 19:55:15 PDT 2015 --  pic.twitter.com/2xZ3TsIrVo
Thu Aug 20 18:58:59 PDT 2015 --  PSA ACA: WE'RE GONNA HAVE SOME FUN ON OUR FRIDAY! SOCKS AND CHACOS TOMORROW! THE TACKIER THE BETTER!!
Thu Aug 20 17:39:59 PDT 2015 --  please get your phone turned back on!
Wed Aug 19 15:52:45 PDT 2015 --  yall make practice somewhat fun @ Alabama Christian Academy https://instagram.com/p/6lRgM5ojAJYbHqpP1zP6gcHKGawhOGWbtVzh80/ …
Tue Aug 18 16:49:28 PDT 2015 --  thanks for all the selfies before volleyball practice today pic.twitter.com/YrLOHIetDb
Mon Aug 17 18:51:35 PDT 2015 --  What even is anatomy?!
