Fri Aug 28 14:54:26 PDT 2015 --  Music is the only thing keepin me sane right now .
Fri Aug 28 06:59:56 PDT 2015 --  Swear down, not only the weeknd can cut it for you females.
Thu Jun 18 04:43:35 PDT 2015 --  African career options: 1) Doctor 2) Lawyer 3) Engineer 4) Banker 5) Disgrace to the family
Fri Aug 28 06:55:57 PDT 2015 --  Johnny rain songs in the red room would make her want in/it
Fri Aug 28 06:53:09 PDT 2015 --  To get up and charge phone is my problem now.
Fri Aug 28 06:51:06 PDT 2015 --  Lol niggas been spiritual of late RT @KelechiE_: Lol dead https://twitter.com/TheRealKingKelz/status/637143540670308352 …
Fri Aug 28 06:49:48 PDT 2015 --  Ibo folks and the name they give their kids. How can you name your child peculiar?
Fri Aug 28 03:53:06 PDT 2015 --  NSCDC nabs three over impersonation in Jigawa http://tdy.im/C01jLX  via @todayng pic.twitter.com/tp2QmXr92j
Thu Aug 27 19:02:05 PDT 2015 --  SoundCloud lit the red room on fire literally. #NoSleepGang. Cooking in Hell's Kitchen. Cc @Manny_Verified
Thu Aug 27 04:03:16 PDT 2015 --  Let your husband be your friend https://twitter.com/ngoziai/status/636855110421889025 …
Tue Aug 25 04:48:59 PDT 2015 --  Extrovert RT @KelechiE_: Are you an introvert or an extrovert? — eintrovert http://ask.fm/a/cd73040j 
Sun Aug 23 18:20:17 PDT 2015 --  What nonesense is that? lol RT @KelechiE_: Separate bedrooms for man and wife... Yesssss
Sun Aug 23 18:06:36 PDT 2015 --  People would pay money to go to the cinema and be making out. Like get a room. That's so cliché.
Sun Aug 23 05:35:15 PDT 2015 --  Motiwa @olamide_YBNL
Sun Aug 23 00:32:03 PDT 2015 --  Noooooo RT @KelechiE_: Lmfaoooo https://twitter.com/MarioTrash/status/635267006737084416 …
Sat Aug 22 15:59:05 PDT 2015 --  Many people are so caught up in likes and followings that they avoid the gospel truth and anything of substance
Sat Aug 22 04:39:58 PDT 2015 --  too many frauds on snapchat, your life isn't that fun, where you work isn't that fun. Have you forgotten I know you?
Sat Aug 22 04:18:48 PDT 2015 --  Reggae blues
Sat Aug 22 02:58:04 PDT 2015 --  Yeah you don dey black RT @KelechiE_: Lool fine I no fine.. The only thing I have going for me is my complexion.... Of which I dun de blac
Fri Aug 21 17:18:45 PDT 2015 --  Jamz I fux with pic.twitter.com/MqKHtkgnlf
Fri Aug 21 17:11:53 PDT 2015 --  RT @Seriki_Lanre: TMXO always bursting heads
Fri Aug 21 15:24:31 PDT 2015 --  Mood. pic.twitter.com/mNSF5mmuEh
Fri Aug 21 15:12:52 PDT 2015 --  *watches straight outta Compton once* pic.twitter.com/7rR7SjYIrY
