Fri Aug 28 05:04:20 PDT 2015 --  Made a on my Chem test🏼 ...andddd I was the first one done #Improud #feelingood
Mon Aug 24 12:32:09 PDT 2015 --  Class with @sarah_gupton is gonna be too fun!
Mon Aug 24 09:39:22 PDT 2015 --  ..unless you are SUPER good at English & Literature already. #illbedeadbydecember
Mon Aug 24 09:38:22 PDT 2015 --  whatever you do...DO NOT TAKE ONLINE LATIN!!!!
Sun Aug 23 20:43:50 PDT 2015 --  "Her Thot level is over 9,000!!" https://twitter.com/yalocalwhiteboy/status/635484649100345344 …
Sun Aug 23 07:30:45 PDT 2015 --  Sorry is useless when trust is broken.
Sun Aug 23 20:36:42 PDT 2015 --  okay if one more person tweets about school tomorrow I'm going to kill someone...we have to do it every year it's nothing new!!!
Sun Aug 23 06:58:09 PDT 2015 --  when your eyelashes are on fleek but they're so long they rub against your sunglasses #struggles
Sun Aug 23 04:40:58 PDT 2015 --  throwback to our little pool & icecream dayI love me some Addie & Aunt Say-Say time Shes my ...she keeps me going pic.twitter.com/JrlVR6mYhu
Fri Aug 21 20:00:13 PDT 2015 --  why do i already feel behind in school when school hasnt even started
Fri Aug 21 21:44:31 PDT 2015 --  I love my sissy She's the best and closest thing I've ever had to a sister🏻 #iloveyoubruh #wisdomteethday #Yeti pic.twitter.com/gcSnZaoGqO
Thu Aug 06 21:41:28 PDT 2015 --  Let's have a moment of silence for all the clothes we have added to our carts but never bought
Fri Aug 21 16:50:01 PDT 2015 --  "I don't want them to see I'm dying inside, So I guess I be the life..life of the party"
Fri Aug 21 08:15:53 PDT 2015 --  don't come at us with that shit this year @abbeyleigh01 @collinsmadisonr @_shyannlyn https://twitter.com/dory/status/632744702761156608 …
Fri Aug 21 04:28:40 PDT 2015 --  A year ago I would have died for you, now today you're dead to me.
Thu Aug 20 23:38:57 PDT 2015 --  read the whole things🏼 https://twitter.com/mentaliyfucked/status/612662512543207424 …
Wed Aug 19 20:22:06 PDT 2015 --  How am I a hoe if I've had the same boyfriend, who I love dearly, for over SIX MONTHS? But yet you can't even keep a guy for six hours..🏻
Wed Aug 19 18:25:19 PDT 2015 --  "I promise you that I will always put the toilet seat down" -JL #JohnLukeGetsHitched
Wed Aug 19 18:10:28 PDT 2015 --  I swear these two are GOALS🏼 #JohnLukeGetsHitched
