Fri Aug 28 15:15:54 PDT 2015 --  For fucks sake pic.twitter.com/YQhWxorGEW
Thu Aug 27 13:10:51 PDT 2015 --  There's drunk and there's this guy pic.twitter.com/1CNQkNJdV8
Mon Aug 24 14:23:52 PDT 2015 --  You can't blame entertainment for causing people to do horrific things. If you play GTA and get motivated to kill someone, you're just crazy
Mon Aug 24 13:21:25 PDT 2015 --  My dad is pretty proud of me. Like when he says "you were the biggest mistake of my fucking life", he's really saying I love you
Sun Aug 23 15:08:21 PDT 2015 --  Apparently #OneDirection have split up... https://vine.co/v/OOQhhbLpFtA 
Sun Aug 23 15:02:28 PDT 2015 --  "Straight Outta Compton" isn't playing in Compton, since there aren't any theaters there.
Fri Aug 21 16:33:44 PDT 2015 --  "You're better than that" I'm not better than anything. I'm actually below most things
Sat Aug 22 14:16:00 PDT 2015 --  Pretty soon schools are going to start teaching "Safe Netflix and Chillin"
Fri Aug 07 21:57:31 PDT 2015 --  *gets text "Send dick pics" Me: "Dad I'm at school leave me alone"
Tue Aug 18 17:36:47 PDT 2015 --  Classic... pic.twitter.com/4InzHGRs8r
Tue Aug 18 17:30:43 PDT 2015 --  Brutal! pic.twitter.com/ZSYTz8DWur
Sun Aug 16 06:12:16 PDT 2015 --  Sunday morning Twitter: 1) I'm never drinking again 2) I wish McDonald's delivered 3) I'm literally dying 4) last night was sooo funny
Fri Aug 14 14:48:48 PDT 2015 --  FT Athletic Bilbao 4-0 Barcelona Barca thrashed in Spanish Super Cup first leg. http://bbc.in/1JhD7kW  #bbcfootball pic.twitter.com/3RoLeQexMa
Fri Aug 14 06:12:07 PDT 2015 --  Blackpool striker Nile Ranger has been turned away from training and told he has no future at the club. (Source: Blackpool Gazette)
Fri Aug 14 05:55:32 PDT 2015 --  Meanings of "right" 1. Correct 2. Not left 3. I'm about to leave 4. I'm about to shout 5. I don't understand
Tue Aug 11 13:54:45 PDT 2015 --  "Six refs. Six refs and you still can't see it? For f**** sake." http://vine.co/v/ede5Ep9dUWj 
Sun Jul 26 20:32:08 PDT 2015 --  Christopher Mintz-Plasse was only 17 years old when he shot "Superbad," so his mom had to be on set for his sex scene as McLovin.
Mon Jul 20 16:10:41 PDT 2015 --  (Popular Viner at the Oscars) Viner: "Brad! Brad Pitt!" Brad Pitt: "Oh, are you the janitor?" Viner: "No I'm a Viner" Brad Pitt: "A what?"
Thu Jul 09 12:24:59 PDT 2015 --  "Construction workers have my home office looking exactly like Dexter's kill room." pic.twitter.com/L2MZijYO77
Mon Jul 06 16:22:13 PDT 2015 --  My dream is to one day screenshot my lock screen when it's 4:20 pm and my phone is at 69% battery. Some day.....some day......
Sat Jul 04 06:19:45 PDT 2015 --  AMAZING: Dustin Brown with one of the shots of Wimbledon 2015! https://vine.co/v/e1Pj1laTzWp 
Mon Sep 02 13:52:28 PDT 2013 --  I swear if I catch my son dancing behind a reporter on sky like these kids are I'm gonna 2 foot him.
Sun Jun 28 01:19:45 PDT 2015 --  Well played! pic.twitter.com/SUgWUUq06q
Wed Jun 03 07:49:35 PDT 2015 --  Believe the hype. pic.twitter.com/xXVsttkR3v
Tue Jun 02 12:03:19 PDT 2015 --  Meanings of "alright" 1. Hello 2. Everything okay? 3. Go on then 4. Let's get started 5. Calm down 6. Quiet now!
Fri May 29 13:08:25 PDT 2015 --  *posts tweet about the hypocrisy and corruption within in our own government "I DONT GET IT" *posts tweet about homework "OMG THATS SO ME"
Fri May 22 04:17:09 PDT 2015 --  Candy Land was once a porn site, but Hasbro sued and won the control of the domain.
Sun May 17 14:20:07 PDT 2015 --  Toddler: Can u read me a bedtime story? Me: Sure *toddler takes out Mein Kampf
Thu May 14 11:47:09 PDT 2015 --  Liam Neeson used to be a teacher, but got fired for punching a 15-year-old boy when the boy pulled a knife out in class.
Sat May 02 15:46:49 PDT 2015 --  Manny Pacquiao on Floyd Mayweather. pic.twitter.com/Jqpq7niCBO
Wed Apr 29 02:15:23 PDT 2015 --  An apology #BlackpoolFC #oystonout pic.twitter.com/qPQfCCUUz3
