Fri Aug 14 18:12:10 PDT 2015 --  God spent a little more time on Kansas. pic.twitter.com/sUSQnMeRtW
Fri Aug 14 07:16:31 PDT 2015 --  Pull my Finger pic.twitter.com/ucAplenEuJ
Fri Aug 14 10:55:40 PDT 2015 --  . @OUProblems @OKStateProbs what did you say about no teeth? pic.twitter.com/SobQzn5yXy
Thu Aug 13 20:25:46 PDT 2015 --  Can't wait to be home. https://twitter.com/tracybaldwin72/status/631930092797558784 …
Thu Aug 13 09:23:12 PDT 2015 --  One of my favorite compliments: "Do you play sports? You look athletic."
Tue Aug 11 07:03:17 PDT 2015 --  #okstate19 welcome to the greatest 4 (or 5 or 6 or 7) years of your life. Go freaking pokes.
Sun Aug 09 16:22:40 PDT 2015 --  New year. New board. pic.twitter.com/RHCyrBjru9
Sun Aug 09 08:25:07 PDT 2015 --  And most important of all I can't wait to see @dreemckee
Sun Aug 09 08:15:31 PDT 2015 --  I can't wait to be back with the fam in Stillwater!! @darcy_taylor00 @MaddiRose3010 @vshippy33
Fri Aug 07 16:56:33 PDT 2015 --  So extremely proud of these girls. Incredibly talented softball players, but even better young ladies! #31dayroadtrip pic.twitter.com/TP9mMr07Sf
Thu Aug 06 21:33:33 PDT 2015 --  It's your world and I'm just livin in it.
Thu Aug 06 16:36:25 PDT 2015 --  It even followed me to Alabama.. #GoPokes @JessiHaffner pic.twitter.com/C6j0cQGghB
Thu Aug 06 13:38:29 PDT 2015 --  I want a dog but I feel like I don't have enough time to love it.
Mon Aug 03 16:19:08 PDT 2015 --  Pistols firing from Lafayette Louisiana!! #momentum
Sat Aug 01 18:46:44 PDT 2015 --  Look what I found at the beach! @gaj40 @J_Cottrill_ pic.twitter.com/Mio0eV0yja
Sat Aug 01 11:07:44 PDT 2015 --  On championship Saturday, we wear white. @WichitaMustangs GOOD LUCK!!! pic.twitter.com/VUInOhxviC
Fri Jul 31 07:42:59 PDT 2015 --  So can @JessiHaffner stop coaching around the world and come back to Kansas already orrrr?
