Tue Jun 16 18:24:52 PDT 2015 --  rare picture of me in the summer pic.twitter.com/mhOlgxTidJ
Fri Aug 21 15:25:54 PDT 2015 --  Dad how did you meet mommy? Well son, she busted it open at the club and I knew right then and there she was one.
Sat Aug 22 07:02:05 PDT 2015 --  Finally! An opinion that matters pic.twitter.com/DSdZSwVU2a
Thu Aug 20 03:19:16 PDT 2015 --  Bathroom poets pic.twitter.com/b5hdepRB4j
Thu Aug 20 03:10:51 PDT 2015 --  Rajon Rondo pic.twitter.com/tYLvTyls3X
Wed Aug 19 20:16:06 PDT 2015 --  If you ever feel sad pic.twitter.com/SeusiX6zg8
Wed Aug 19 01:26:19 PDT 2015 --  pic.twitter.com/aaNvJToGQv
Wed Aug 19 20:02:05 PDT 2015 --  WHAT ARE THHOOOOOSSSEEEEE?! pic.twitter.com/0g8s7P2G3H
Mon Aug 17 09:39:22 PDT 2015 --  what being an adult feels like pic.twitter.com/qrqx2t12lq
Wed Aug 19 18:58:54 PDT 2015 --  when my parents ask me why im always on my phone pic.twitter.com/rAACpqAOBn
Wed Aug 19 20:22:31 PDT 2015 --  It seems like we all turn a little more Christian when it's almost time for us to get off work We be like plz!!! Jesus let me go home now!
Wed Aug 19 19:01:11 PDT 2015 --  When you go back to school and forgot everything you learned from last year... pic.twitter.com/MFjwV2zWIa
Wed Aug 19 19:16:01 PDT 2015 --  PLEASE TELL ME I AM NOT THE ONLY ONE WHO WOULD MISTAKE THIS LAUNDRY FOR A KNEELING CHILD IF NOT LOOKING DIRECTLY pic.twitter.com/UdImiQuBmc
Wed Jul 29 14:00:56 PDT 2015 --  pic.twitter.com/eosKw22FaG
Sun Aug 16 20:26:55 PDT 2015 --  If you haven't seen its a must pic.twitter.com/yEuLLVsdWB
Sun Aug 16 19:38:17 PDT 2015 --  Me trying to get a handle on my life pic.twitter.com/FD3R1VYu8p
Sun Aug 16 13:32:13 PDT 2015 --  best one yet pic.twitter.com/KD4iPuY2S3
Sun Aug 16 18:30:20 PDT 2015 --  Yep thats me pic.twitter.com/HVH65Cl1Mn
Sun Aug 16 17:55:39 PDT 2015 --  how most people see America pic.twitter.com/FTJ3NKGvRD
Sun Aug 16 14:07:18 PDT 2015 --  Can't wait for the real husbands of Hollywood new season anything with Kevin Heart you bet I'm watching
Sun Aug 16 07:15:07 PDT 2015 --  ICYMI: History was made as the NFL's first female official Sarah Thomas met the first female coach Jen Welter. pic.twitter.com/7fqJCq69jt
Sun Aug 16 13:48:22 PDT 2015 --  . @Eagles fans give @TimTebow a standing ovation, right before his first game action since 2013. So cool. http://snpy.tv/1gNQKeI 
Sun Aug 16 13:49:42 PDT 2015 --  AUG 18TH 10pm/9pmC on @Bet the season premiere of the "Real Husbands Of Hollywood" The best Real/Fake/Funny/More Fake than Real show is back
Sun Aug 16 13:40:40 PDT 2015 --  People Mark your calendars Now for August 18th....That's the day that "The Real Husbands Of Hollywood" is premiering on @BET
Sun Aug 16 12:18:54 PDT 2015 --  Tebow Time in Philly? It may be the preseason, but the fans were chanting "Tebow!" as he led the @Eagles downfield. pic.twitter.com/4FNIfZKCCa
Sun Aug 16 12:05:07 PDT 2015 --  UFO caught on tape pic.twitter.com/YizxNvxhRx
Sat Aug 15 18:47:19 PDT 2015 --  nickiminaj's video https://instagram.com/p/6bRip5L8dr/ 
Sat Aug 15 18:00:14 PDT 2015 --  When your friends are all in a cute relationships and you're just trying to get a text back
Sat Aug 15 17:30:19 PDT 2015 --  when u hold the mcdonals bag and eat fries out of everyone elses then get home and take the one with the most fries pic.twitter.com/YpxDZ7Z95F
Sat Aug 15 17:25:45 PDT 2015 --  do u ever wonder what ur most noticeable feature is like what do people see first when they look at u
Sat Aug 15 17:16:23 PDT 2015 --  Eric Berry, you are an inspiration. Welcome back to football. The @NFL has missed you. #BerryStrong | #KCvsAZ pic.twitter.com/lIylUnztnj
Sat Aug 15 17:05:39 PDT 2015 --  Curse is over! https://twitter.com/BenAffleck/status/632693107923025921 …
Thu Jun 11 16:54:46 PDT 2015 --  SpongeBob: "Patrick, you're a genius." Patrick: "Yeah, I get called that a lot." SpongeBob: "What, a genius?" Patrick: "No, Patrick"
Fri Jun 19 20:29:34 PDT 2015 --  i can’t hang out tomorrow i’m too busy doing nothing alone sorry
Sat Jun 20 18:25:51 PDT 2015 --  I’m a teenager why does my back hurt I’m not 70 years old
Sun Jul 19 15:55:46 PDT 2015 --  Getting home from a party like pic.twitter.com/kwsw2kFaLC
Sat Aug 15 08:40:29 PDT 2015 --  Just to brighten your day pic.twitter.com/HrUJSrbEWq
Fri Aug 14 18:13:37 PDT 2015 --  Scroll fast it turns purple
