Sat Aug 29 10:32:23 PDT 2015 --  #jollibee #breakfast #naghihintay #nagaabang https://instagram.com/p/6-cymSFUyb/ 
Sat Aug 29 07:35:11 PDT 2015 --  #hugotPaMore #beBrave #bunso #bloodWork today #preCheckup #routine #lazyWeekend #seafoodCity #mamaya #californians #warmWeather #twoMonthsPA
Fri Aug 28 07:21:22 PDT 2015 --  #toughLove should never be considered as a #badOption. It doesnt #killYou, it makes you a #betterPerson in the end.
Fri Aug 28 00:55:54 PDT 2015 --  I dont even get to read through the bottom the initialpage and im already #sleepy. #deadTired
Thu Aug 27 22:26:53 PDT 2015 --  eatbulaga1979's photo https://instagram.com/p/66k3Xei2_O/  #tinidora #aldub yehey!!!!
Thu Aug 27 15:55:30 PDT 2015 --  #rip #DarylDawkins
Thu Aug 27 15:02:13 PDT 2015 --  #forgetTheBadTimes #rememberTheGoodTimes #bestDuoEver #lakersAllTheTime https://twitter.com/shaq/status/636949371603566592 …
Thu Aug 27 00:35:45 PDT 2015 --  Will try to watch it soon! Go #lakers! Let this season be ur game 7 @kobebryant !!! https://twitter.com/kobebryant/status/636803937090170880 …
Wed Aug 26 22:48:12 PDT 2015 --  Baka bigla na namang mawala ang gma signal ha! #HappyALDUBWeeksary
Wed Aug 26 17:21:02 PDT 2015 --  http://mobile.abs-cbnnews.com/lifestyle/08/26/15/dream-come-true-homeless-artist-gets-exhibit/ … #homeless #dreamcometrue #artist
Wed Aug 26 16:10:47 PDT 2015 --  #goldenGate #sanFrancisco #weekendDriving #dubs #warriors https://instagram.com/p/6tt6cPlUyY/ 
Wed Aug 26 16:06:08 PDT 2015 --  When is the one-on-one with @kobebryant comes out? #theGreatestDuoEver #nba #lakers #basketball https://twitter.com/shaq/status/636675572442243072 …
Wed Aug 26 15:13:40 PDT 2015 --  Vehicle collision with minor injuries - Alcosta Blvd at N. Summerwood Loop. Expect delays due to disabled vehicles. pic.twitter.com/5Wq1wQUFxJ
Wed Aug 26 14:50:03 PDT 2015 --  #nothingBad here. If #aldub #inspires people, #letItNotEnd. #cinderella #underdog story #sigePaMore https://twitter.com/gmanews/status/636655878351925248 …
Wed Aug 26 12:49:42 PDT 2015 --  i want one #Labrador https://twitter.com/Lennar/status/636625163182845952 …
Wed Aug 26 11:32:05 PDT 2015 --  #goodread on #aldub #yayadub phenomena http://tinyurl.com/aldub20150826  @AngPoetNyo @mainedcm @aldenrichards02 @EatBulaga @jakodeleon
Wed Aug 26 07:49:00 PDT 2015 --  #assassinsCreedSyndicate soon! I am just #excited for my #firstBorn i'm sure he has #earmarked his funds for this AC game #ps4
Wed Aug 26 07:23:35 PDT 2015 --  #beautifulDay to #drive #sanRamon #94582 #schoolDay pic.twitter.com/HZPeWc4L2N
Tue Aug 18 08:43:08 PDT 2015 --  Love me when I least deserve it, because that's when I really need it. - Swedish Proverb
Tue Aug 18 08:13:16 PDT 2015 --  There must be something that is called #walkersHigh #allergies #sinus #cloggedNose #willFeelBetter
Tue Aug 18 07:15:44 PDT 2015 --  #sinus #headache #dizziness #nausea #facepain #pulsatingRightTemple #teethPain Life is still good 'coz #God is #good #allTheTime
Mon Aug 17 19:03:15 PDT 2015 --  #nikeFree #nikeLibre I want #nikePresto too! pic.twitter.com/SzzXHz8CBZ
Mon Aug 17 14:14:10 PDT 2015 --  Korean guy buys old lady a meal in Baguio, and eats with her too | Kicker Daily News #hero #kindness #respect http://m.kickerdaily.com/korean-guy-buys-old-lady-a-meal-in-baguio-and-eats-with-her-too/ …
Mon Aug 17 13:16:17 PDT 2015 --  Welcome back @RealTracyMorgan #tracyMorgan #snl #saturdayNightLive
Mon Aug 17 09:08:06 PDT 2015 --  I wanna #grow with this young lady. Then i wanna #growOld with this old lady. iLoveU to the moon and back @twanett pic.twitter.com/7s1Rft9Zd9
Sun Aug 16 10:11:50 PDT 2015 --  50cent's video https://instagram.com/p/6c5m_KML21/  #50cent
Sun Aug 16 09:16:43 PDT 2015 --  #sanFrancisco #pier39 #janett #josiah #motherAndSon #clamChowder #weekend #94582 pic.twitter.com/rr88y6IPaZ
Sun Aug 16 07:16:05 PDT 2015 --  There is such a thing called refractory period (sigh) #refractory. Deal with it. -fm womens health article
Sat Aug 15 10:04:06 PDT 2015 --  I still have #trust to the majority of our #policeForce. How about you?
Sat Aug 15 08:18:56 PDT 2015 --  http://lifehacker.com/top-10-clever-ways-to-use-chopsticks-that-dont-involve-1724255597?utm_campaign=socialflow_lifehacker_twitter&utm_source=lifehacker_twitter&utm_medium=socialflow … #lifehack #hack
Fri Aug 14 22:42:32 PDT 2015 --  Happy birthday @MagicJohnson #myBasketballIdol https://twitter.com/magicjohnson/status/632323887972360193 …
Fri Aug 14 09:18:50 PDT 2015 --  #friends #chandler #ross #joey #phoebe #monica #illNeThereForYou #aldub #yayaDub pic.twitter.com/GuWJGmmR6z
Thu Aug 13 19:18:05 PDT 2015 --  http://bible.com/59/deu.6.6-7.esv … pic.twitter.com/MSDQUMyN70
Tue Aug 11 23:10:46 PDT 2015 --  Yung mga #excited diyan kina #aldub, at #yayadub Nagkaka #aldubPresyon @AngPoetNyo
Tue Aug 11 21:36:53 PDT 2015 --  #yayadub #AlDubWeBelongTogether #aldub is shutting down the web wide world.
Tue Aug 11 13:02:59 PDT 2015 --  #tummyAche #SiraTiyan
Tue Aug 11 12:57:55 PDT 2015 --  #azizAnsari #modernRomance pic.twitter.com/QbkaaIr2Uj
Tue Aug 11 10:50:14 PDT 2015 --  #WILLIENELSON You sing the blues to lose the blues. You lift the burden by transferring it into a song. I’ll be… http://twishort.com/lFLic 
Tue Aug 11 10:36:11 PDT 2015 --  I just renamed my phone's name as #samsungAndDelilah #iphone #samsung #94582 #rondaris #teribog
Tue Aug 11 10:06:41 PDT 2015 --  Our thoughts go out to Flip and his family during this time. http://www.nba.com/timberwolves/news/flip-saunders-statement … pic.twitter.com/TG1jW0lazi
Mon Aug 10 20:56:15 PDT 2015 --  2015 Lexus RC, Lexus RC F SPORT - Luxury Coupe | http://Lexus.com  #lexus #niceToHave #myKindOfDateCar w/ #wifey http://www.lexus.com/models/RC 
Mon Aug 10 18:11:45 PDT 2015 --  Its all about getting the #bigPayDay next year #tristanThompson http://espn.go.com/nba/story/_/id/13406651/tristan-thompson-cleveland-cavaliers-remain-far-apart&ex_cid=espnnbaFacebook …
Mon Aug 10 16:30:11 PDT 2015 --  Kim Kardashian celebrates 42 million Instagram followers with raciest pic yet http://huff.to/1MlcU5H 
Mon Aug 10 17:29:16 PDT 2015 --  If ur getting #married just to see a #stripper on ur #bachelorsparty, then i'm with u in that party 🏽
Mon Aug 10 16:23:47 PDT 2015 --  #roses are #red and #violet are for #nails pic.twitter.com/t32OuG2SQ1
Mon Aug 10 14:40:44 PDT 2015 --  #ghirardelli #needMyShots of sweets. #darkChocolate #ManicMonday pic.twitter.com/gqYzFxbWV8
Mon Aug 10 09:29:33 PDT 2015 --  I toasted it the 2nd time around (while chtting w/ the wifey) and this is what i ended up with #bantayanKasi pic.twitter.com/hYGVdh6eWa
Mon Aug 10 07:32:44 PDT 2015 --  Getting up to start my working day. Sex noise above is at its peak #toneItDown will u?
Mon Aug 10 01:02:08 PDT 2015 --  #aldub #yayaDub is still peaking but might prematurely fade when a part of this duo is erraticaly unavailable.
Mon Aug 10 00:58:40 PDT 2015 --  When did we start believing hitting your elders are a good thing? #giveRespect
Sun Aug 09 15:25:24 PDT 2015 --  #constipated! Need home remedy to make this go away asap!
Thu May 07 00:26:14 PDT 2015 --  "It's impossible to find someone who never hurts you, so go for the one who's worth the pain."
