Thu Aug 27 11:56:44 PDT 2015 --  what chu hiding in that private Twitter account, eh? your precious OPINIONS?? you make me sick
Wed Aug 26 17:52:46 PDT 2015 --  When the hell do we go to school
Wed Aug 26 10:15:03 PDT 2015 --  Can someone give a seminar to every teenager in Idaho falls about cultural appropriation/ using someone's religion as a fashion statement?
Tue Aug 25 21:40:16 PDT 2015 --  If I get sick the week before school I WILL PUNCH SMOKEY THE BEAR IN THE KIDNEYS
Mon Aug 24 15:48:17 PDT 2015 --  Niall you're the realest
Mon Aug 24 15:51:29 PDT 2015 --  Louis too
Mon Aug 24 10:57:16 PDT 2015 --  me on the second day of school https://vine.co/v/eieAUqzV11m 
Sat Aug 22 19:10:54 PDT 2015 --  what am i doing with my life lol
Sat Aug 22 18:10:28 PDT 2015 --  Hi everyone outside sorry we haven't been out today hope u enjoy your pizzas :)
Sat Aug 22 14:07:30 PDT 2015 --  You ever think that if penguins could talk they would be offended by how they were portrayed in March of the Penguins?
Sat Aug 22 11:25:43 PDT 2015 --  sometimes I vape to keep myself from Crying™
Fri Aug 21 23:29:00 PDT 2015 --  I don't think I actually like people I just hate them less than I hate everyone else
Fri Aug 21 23:10:35 PDT 2015 --  Why. Why would you do that https://twitter.com/oreo/status/634005239474089984 …
Fri Aug 21 15:26:55 PDT 2015 --  Josh Duggar is my role model
Thu Aug 20 22:39:40 PDT 2015 --  KEEP THOSE BOYS IN OUTER SPACE @NASA I CAN'T HANDLE THEM
Tue Aug 18 16:21:58 PDT 2015 --  “morning person" nah I’m a mourning person. always in black, talking about ghosts & bones, in a constant state of grief for my bank account
Mon Aug 17 12:58:16 PDT 2015 --  you want receipts boo you got them pic.twitter.com/1gc2vNn4Lo
Sun Aug 16 13:14:44 PDT 2015 --  https://vine.co/v/ep1gTBarxEL 
Sat Aug 15 12:20:20 PDT 2015 --  if on the first day of school a kid says “present" instead of “here" during attendance u know they gon be an annoying lil shit bag
Fri Aug 14 04:00:19 PDT 2015 --  5SOS is so blah :/
Thu Aug 13 17:39:13 PDT 2015 --  It's my dogs 7th birthday today I love her more than all humans pic.twitter.com/Ht5RgsSdnw
Tue Aug 11 20:33:46 PDT 2015 --  Real friends torture you by going through your old Facebook @katybh13
Sun Aug 09 07:55:26 PDT 2015 --  Sophisticated ignorance, write my curses in cursive.
Sun May 03 01:02:52 PDT 2015 --  having Montana flashbacks
Wed Jul 15 09:57:06 PDT 2015 --  if u are against feminism u either don't know what feminism actually is or u are just an asshole
Fri Aug 07 19:37:26 PDT 2015 --  The year is 2017. Donald Trump is president. Everyone stole One Directions girl. Gwen Stefani is now a holla back girl. Mass hysteria.
Fri Aug 07 11:45:02 PDT 2015 --  Gregory ! Don't mention it again please ! Haha https://twitter.com/gregjames/status/629693933111672832 …
Fri Aug 07 11:14:49 PDT 2015 --  Why am I crying? Am I a proud parent? https://twitter.com/rollingstone/status/629425365845471232 …
Fri Jul 24 23:12:50 PDT 2015 --  Hey @VidCon I'm not mad that u didn't invite me but if u need a janitor to clean up the pile of shit named Carter there I'm ur man
Tue Aug 04 13:32:46 PDT 2015 --  I vote that if we are gonna let people hunt animals for sport then you have to do it with your bare hands, see how many ppl still wanna hunt
Wed Aug 05 13:15:12 PDT 2015 --  I hope when you die, you meet that giraffe in the afterlife, and u don't have a rifle, and it beats the fuck outta u pic.twitter.com/725rPyc8su
Wed Aug 05 14:47:15 PDT 2015 --  I love summer but HOLY SMOKES I'm so stoked to buy new boots and a new coat
Fri Jun 26 18:09:07 PDT 2015 --  Pepe stans gay marriage which is another reason out of MANY as to why you should as well! #LoveWins pic.twitter.com/45WzCy3Tvg
Wed Jul 29 16:37:41 PDT 2015 --  Last night we met a very brave little dude called Gavin. Gavin in an old head on young shoulders, so much fun teaching us how to whip.
Wed Jun 24 17:37:25 PDT 2015 --  I think I'm a Vegetarian.
Mon Jul 27 23:24:27 PDT 2015 --  Apparently 12:23 am is the time for dank memes @katybh13 pic.twitter.com/d6IPcT6MG9
Tue Jun 02 15:29:12 PDT 2015 --  Our teacher said that if we get 2,000 retweets she'll take off the final section of our AP Biology Exam !! HELP US !! pic.twitter.com/qe0XA66aQO
Mon Jul 27 17:12:43 PDT 2015 --  If Mat Boesen's situation was the 'precedent' last year; I fully expect Ryan Finley to be available (and starting) until his sentencing.
