Sun Apr 21 10:49:02 PDT 2013 --  Hmmmmm
Thu Apr 11 12:10:53 PDT 2013 --  So if everybody decides to be proud and show their powers how do you think the world will be like?
Mon Apr 08 12:17:27 PDT 2013 --  If you obey all the rules you'll miss out on all the fun.
Tue Apr 09 01:32:40 PDT 2013 --  A relationship should either take u 2 d Alter or Bank,if it only takes u 2 bed or kitchen den say 'NO to slavery. GM
Sat Mar 30 12:29:40 PDT 2013 --  I jz mke happy...:-)
Wed Mar 27 04:52:50 PDT 2013 --  @Babzee_ everyone has gt fuckn problems
Sat Mar 23 15:36:51 PDT 2013 --  All the ₯s and Avis I zoomed lately are pics of pple wit smoke coming from their Nose and Mouth....erry1 don dey smoke *sigh*
Fri Jan 25 09:54:44 PST 2013 --  Here we go again..dz tym around i hope its not too sour
Sun Jan 20 12:42:29 PST 2013 --  Today..#badday#...bt still Lord I thnk u fr my life
Sat Jan 19 11:47:57 PST 2013 --  http://www.youtube.com/watch?v=GmNuidip5gQ&feature=youtu.be …
Sat Jan 19 00:40:04 PST 2013 --  Familiarity breeds contempt.....
Fri Jan 18 05:59:27 PST 2013 --  If you're not enjoying it, don't do it. Life's too short. -Debbie Meyer (swimmer)
Wed Jan 16 03:41:27 PST 2013 --  The slanging and LAFA on air is getting a bit too much. Just heard a sportscaster say ASANTE KORORKO - SMH
Tue Jan 15 11:16:56 PST 2013 --  When I have children, I'm gonna make them watch the movie 2012.. And tell them I survived that like a boss."
Tue Jan 15 10:31:46 PST 2013 --  Fingerscrossed
Tue Jan 15 08:37:24 PST 2013 --  Oh shit
Tue Jan 15 00:42:38 PST 2013 --  ah so ppl still go 2 jss??
Sat Jan 12 03:56:35 PST 2013 --  Efua is better dn Alby! Allday, anitym, aniwhere, anihow! Cc @iTz_mZy_DollaR , @efyfwshst
Tue Jan 08 10:29:57 PST 2013 --  Brand new me....Alicia keys.... #rp
Sat Jan 05 10:19:17 PST 2013 --  Comfort is the worst kind of slavery because youre always afraid that something or someone will take it away. Seneca #quote
Sat Jan 05 02:56:12 PST 2013 --  What is true happiness? It's not attained through self-gratification but through fidelity to a worthy purpose. -Helen Keller
Sat Jan 05 03:42:27 PST 2013 --  2012 was good 2013 more blessing stay positive.
Wed Jan 02 03:32:58 PST 2013 --  Pharrell doesnt age
Fri Dec 28 10:15:06 PST 2012 --  I was here...Beyonce... #np
Wed Dec 26 13:55:39 PST 2012 --  When i was your man...np
Wed Dec 26 04:13:03 PST 2012 --  last night tho..
Fri Dec 21 03:49:48 PST 2012 --  step up or step out..
Fri Dec 14 08:56:49 PST 2012 --  Don't know what y'alls problems is...I like Amber Rose. Think she cute
Wed Nov 14 11:53:25 PST 2012 --  "MMG(Mahamma Must Go)"??? Lol...eei ppl are rili great innovative fools *clapping*
Wed Nov 14 04:27:56 PST 2012 --  Music when I'm tired,music when I'm lonely,music when I'm happy, music when I'm sad,music when I'm sick and angry... Music is my best friend
Wed Nov 14 02:31:49 PST 2012 --  buh how can an educated man like you ....go by dat short man cant be our pesdnt ......u defntly not okay ......Team NPP !!!!
Wed Nov 14 01:27:05 PST 2012 --  It's better to be "evil" and know it than ignorant. Hahaa that shit's just sad
Mon Nov 12 15:59:09 PST 2012 --  Ei! " @Paedeezy: If indeed you're a product of ur imagination then I owe this nation educating my peers(PS) and I don't mean playstation"
Mon Nov 12 16:06:16 PST 2012 --  as for C-Zar he even knows he is fooling but Paedezzy always feels like he has to drop the mic as tho he jux rapped....i mean how?
Mon Nov 12 02:26:26 PST 2012 --  bikini be like barbed wire fence. E dey protect da property wey eno go obstruct da view
Fri Nov 02 13:16:24 PDT 2012 --  When a girl changes in front of you, A) shes either really interested, B) you're level 99 friend zoned or C) she's pretty sure youre gay"
Sun Nov 11 11:49:28 PST 2012 --  " @autocorrects: People with a sense of humor are so much easier to talk to."
Sun Nov 11 10:01:36 PST 2012 --  Skul bound....weekend wss fuuuun.....
Tue Nov 06 20:51:19 PST 2012 --  Like I said when God is smiling on u, it doesn't matter who's frowning !
Tue Nov 06 23:44:12 PST 2012 --  We don't use height to govern but brains!!! Haven't u seen a tall fool before???
Tue Nov 06 23:34:34 PST 2012 --  U onli av 1 life to live,so u betta make da best of it!
Tue Nov 06 10:10:00 PST 2012 --  Paedeezy is just blocking Mugeez's shine. If nigga went solo I bet by now he'd be topping charts on a different level.
