Fri Aug 21 15:26:09 PDT 2015 --  pic.twitter.com/377Y8UV8zj
Wed Aug 12 12:25:26 PDT 2015 --  متتتتتتتعههه يالزعييييم
Sat Jun 27 00:24:50 PDT 2015 --  하하 hantu 아줌마
Sun Jun 21 19:41:48 PDT 2015 --  امي الحاجة الوحيدة الي لو فنيت عمري وانا اشكر ربي عليها بأكون مقصّره.
Sun Jun 21 19:42:00 PDT 2015 --  يارب نسألك عفوك و غفرانك لكل ذنب وكل خطيئة .
Sun Jun 21 20:04:27 PDT 2015 --  اشرح صدري بسِعة هذه السماء يالله.
Mon Jun 22 17:49:57 PDT 2015 --  وعلى قبر فقيدي يارب العباد ارسل له بردًا وسلامًا ياربّ اعطه الرحمه التي تنام معه طويلاً في قبره واعطه الامان إلى يوم يبعثون
Mon Jun 22 18:07:38 PDT 2015 --  مُستلطف فكرة؛إن الدنيآ اخذ وعطاء,خصوصاً على سبيل الناس اللي فقدناهمُ ومو ندمانين ابداً جآبتلنا الدنيا غيرهم وحلّوا مكانهُم بكل لطافـه .
Mon Jun 22 18:09:09 PDT 2015 --  اللهم انك اعطيتني خير صحبة في الدنيا فلا تحرمني صحبتهم في الجنه 🏻.
Mon Jun 22 18:13:16 PDT 2015 --  اللهم أستغفرك بعدد ما يستغفرك المستغفرون وأتوب إليك بصدق نوايا التائبين وأبوء لك بنعمك علي وأبوء بذنبي لك فأغفره لي فلا يغفر الذنوب إلا أنت.
Mon Jun 22 19:13:26 PDT 2015 --  الحمدلله الذي لا ينسى من ذكره شيء، الحمَدلله الذي لا يخيب من دعاه، الحمدلله الذي هو رجاءنا بعد ما نسي الظن ب أعمالنا.
Mon Jun 22 19:15:53 PDT 2015 --  سبحانك اللهم وبحمدك اشهد ان لا اله الا انت استغفرك ربي وأتوب إليك
Sun Jun 21 10:22:14 PDT 2015 --  تأملتُ والدنيا بها العُجْبُ والعَجَبْ تَروحُ بلا عُذرٍ وتأتي بلا سببْ فلا ظلُّها… (at Starbucks | ستاربكس) — https://path.com/p/40qpdU 
Sat Jun 20 18:16:04 PDT 2015 --  مدير صحة نجران يطرد موظفه وامها ويقول اقلبي وجهك http://cdn.top4top.net/d_372cda6a890.mov … هذا المفروض يقلي السمبرسه للجنود الي على الحد وتخب عليه
Sat Jun 20 11:21:16 PDT 2015 --  I just passed Byggare Bob on @8ballpool! Play me! http://8bp.co/MGJDIZ 
Sat Jun 20 11:21:04 PDT 2015 --  I just reached the landmark of 25 000 coins in @8ballpool! That's how good I am. Think you can beat me? http://8bp.co/MGJDIZ 
Fri Apr 24 14:33:00 PDT 2015 --  #صورة مسنة بـ #الخرج تستغيث بعد هدم منزلها.. و #أمير_الرياض يتفاعل معها #السعودية #الخرج_الآن - pic.twitter.com/dICBdODZIu
Fri Apr 24 01:43:53 PDT 2015 --  تقريبا الذ علاقه هي اللي تجي قبل الاعتراف بالحُب مابين الصداقه والحُب تشبه لوقت الفجر قبله سهر جميل وبعده صُبح اجمل.
Wed Apr 08 23:18:54 PDT 2015 --  Tiredd
Tue Apr 07 01:03:01 PDT 2015 --  الرضيفه لغير الناطقين بالجنوبي بس عشان ماتحسبون أني أشعوذ عليكم pic.twitter.com/Vmti22x57b
Tue Apr 07 01:08:48 PDT 2015 --  صباح الخير
Sun Apr 05 22:08:34 PDT 2015 --  ي ابن الحلال متزوجه ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه pic.twitter.com/rnFRFmCgXd
Sun Apr 05 02:41:35 PDT 2015 --  يالله انك تلعن الجامعات الي دوامهم من بعد ١٢
Tue Mar 31 10:50:35 PDT 2015 --  I just reached the landmark of 10 000 coins in @8ballpool! That's how good I am. Think you can beat me? http://8bp.co/MGJDIZ 
Tue Mar 31 09:52:43 PDT 2015 --  أمير منظمة بوكو زعلان ويهدد السعودية من وين طلع هذا بعد http://cdn.top4top.net/d_03f185c9890.mp4 … =D كو كو تراه معصب معليش يمكن اذا كان مبسوط بتحبونه
Mon Mar 30 16:46:53 PDT 2015 --  “سعودي” يتكفل بسداد دية “مقيم باكستاني” بعد مشاركة بلاده في #عاصفة_الحزم . #العاصفة_حزم #الحرب_على_الحوثيين - pic.twitter.com/qE7GDzZupY
Thu Mar 19 09:58:28 PDT 2015 --  عندي رحله عمل للامارات ما ادري كيف راح استقبل المملكه العربيه السعوديه الي رايحه لمطار الشيح محمد بن راشد ... #دبي #السعودية
Wed Mar 18 18:59:14 PDT 2015 --  ما عندكم الي تتهاوشون معاه قبل لاتنامون فتشغيل المكيف ،اصلاً محرومين ما عندكم
Wed Mar 18 19:00:40 PDT 2015 --  الانتصار للكبار وليسس لصغار
Wed Mar 18 19:01:48 PDT 2015 --  نتمنى لكم يوماً سعيد مع هالفجر الجميل .
Sun Mar 15 15:44:51 PDT 2015 --  قريت يوزره ثلاثه قيقاء بايت pic.twitter.com/CZmwYUScPI
Fri Feb 27 08:16:35 PST 2015 --  ربي يخلي لي أبوي ي ناس
Mon Mar 12 01:32:01 PDT 2012 --  من اللي يذكر هذااا .. pic.twitter.com/kowcHw88
Mon Feb 16 10:58:36 PST 2015 --  شكله ندم على التغريده ..! pic.twitter.com/w768yyofVs
