Thu Aug 27 01:18:43 PDT 2015 --  8 people followed me and 11 people unfollowed me // automatically checked by http://fllwrs.com 
Sat Aug 22 23:29:39 PDT 2015 --  ભાજપા મેગા હેલ્થ સ્કીનીંગ કેમ્પ માં. શ્રી @bhikhubhaidbjp તથા શ્રી. @kcpatelbjp ની પ્રેરક ઉપસ્થિતિ.કર્ણાવતી મહાનગર. pic.twitter.com/uMV8x5wJp5
Sat Aug 22 19:16:28 PDT 2015 --  22 people followed me and 10 people unfollowed me // automatically checked by http://fllwrs.com 
Sat Aug 22 01:22:35 PDT 2015 --  Also launched Chota Udepur district's mobile app 'SETU' that will trace location of any daughter in distress & help rescue her.
Sat Aug 22 01:20:26 PDT 2015 --  On this occasion, launched 'TEJAS' tablet to monitor nutrition level of children; a significant step towards malnutrition-free Chota Udepur.
Sat Aug 22 01:16:59 PDT 2015 --  In the 8th edition of Garib Kalyan Mela, over 6400 beneficiaries from Chote Udepur will be provided means of employment worth Rs 11.33 crore
Sat Aug 22 01:15:53 PDT 2015 --  On 2nd day of 2nd phase of Garib Kalyan Mela, participated in the festival of empowering poor at Pavi Jetpur in tribal district Chota Udepur
Sat Aug 22 06:08:18 PDT 2015 --  Got in Msg Fact about reservation - @chotivalebaba @HarshilBhuria @mansukhmandviya @KapadiyaParesh @nanditathhakur pic.twitter.com/DdNifNVJi7
Fri Aug 21 21:12:12 PDT 2015 --  અમદાવાદ #Breaking કોર્પોરેશનના હેલ્થ વિભાગમાં કામ કરતા SIનું મોત 29 વર્ષના SI નીતિન સોલંકીનું ફરજ પર હાર્ટ એટેકથી મોત
Fri Aug 21 21:25:56 PDT 2015 --  #GaribKalyanMela Today 10.30AM, APMC मैदान,पावी जेतपुर,जि.छोटाउदेपुर @anandibenpatel @Sanjay_Vis @ParagDr @nanditathhakur @PathanAsmakhan
Fri Aug 21 21:19:38 PDT 2015 --  ગાંધીનગર #breaking 25મી ઓગસ્ટે યોજાનાર પાટીદાર રેલીનો મામલો સરકાર ચર્ચા માટે રેલીના આયોજકોને બોલાવશે પ્રવક્તા નીતિન પટેલનું નિવેદન
Fri Aug 21 11:58:31 PDT 2015 --  जिसके जीवन में कोई महान लक्ष्य नहीं उसका जीवन बिना पतवार की नाव जैसा होता है ईश्वरप्राप्ति का लक्ष्य सर्वोपरि हैं।
Fri Aug 21 11:58:26 PDT 2015 --  If you believe enough in the process SUCCESS will come to you. You just have to be willing to see it through to the END.
Fri Aug 21 08:14:44 PDT 2015 --  एक शहनाई, जिसने हिंदू-मुसलमान से आगे की तान छेड़कर हिंदुस्तान दिखाया. उस्ताद #BismillahKhan को श्रद्धांजलि । pic.twitter.com/A6njTvgZas
Fri Aug 21 08:48:22 PDT 2015 --  I told Balwant he must take vows that are inspired by service & nation building. He also resumed wearing footwear. :) http://nm-4.in/1NzUEoD 
Fri Aug 21 08:48:04 PDT 2015 --  Balwant Kumawat had taken a vow to remain barefoot till I became PM & till he met me. It was good meeting him but I also 'admonished' him.
Fri Aug 21 08:46:07 PDT 2015 --  From trade, HRD, space & ocean economies, India & the Pacific islands can cooperate in several areas. http://nm-4.in/1NqsQE2 
Fri Aug 21 08:45:36 PDT 2015 --  I spoke of many spheres where India will assist the Pacific islands, such as disaster management, scholarships, IT & pharmaceuticals.
Fri Aug 21 08:44:58 PDT 2015 --  During the FIPIC Summit we have made concrete progress & have demonstrated that geography is no barrier to productive partnerships.
Fri Aug 21 08:43:35 PDT 2015 --  FIPIC is 1st regional summit our Govt has hosted in India & that is why this summit will always be special for me. http://nm-4.in/1HZK4Qv 
Thu Aug 20 20:07:05 PDT 2015 --  Kill them with success and bury them with a smile.
Thu Aug 20 20:03:54 PDT 2015 --  जिस तरह माँ- बाप हमारा आशियाना होते है, उसी तरह दादा-दादी और नाना-नानी हमारी विरासत है।। इसलिए इनकी हमेशा देखभाल करनी चाहिए।।
Thu Aug 20 20:07:59 PDT 2015 --  The way is not in the sky. The way is in the heart. ~ the Buddha pic.twitter.com/mMfKMe3ogQ
Thu Aug 20 20:08:02 PDT 2015 --  दुःख में भगवान् को याद करने का 'हक़' उसी को होता है....... जिसने सुख में उनसे 'शूक्रिया' अदा किया होता है...!!!
Thu Aug 20 20:08:22 PDT 2015 --  भारत-प्रशांत द्वीपसमूह सहयोग मंच का दूसरा शिखर सम्मेलन आज से जयपुर में, 14 प्रशांत द्वीपसमूह के राष्ट्रप्रमुख ले रहे हैं हिस्सा
