Fri Aug 28 16:21:13 PDT 2015 --  These geniuses found a way to play Hungry Hungry Hippos IRL and it looks like all the fun http://bzfd.it/1JC8rF7  pic.twitter.com/1Zgh8sxAGe
Fri Aug 28 13:00:01 PDT 2015 --  Take time to connect with nature this weekend: http://amzn.to/1PwNCze  pic.twitter.com/zdpyzH6pAK
Fri Aug 28 13:00:03 PDT 2015 --  This is the one color you should wear to GUARANTEE a second date: http://www.elle.com/life-love/sex-relationships/news/a30101/british-color-study/ … pic.twitter.com/CidOPiSjPG
Fri Aug 28 13:00:12 PDT 2015 --  - How old are you? - Old enough to have a marriage end and not wind up in a mental hospital. http://bit.ly/1KMwgNa  pic.twitter.com/Uw2kdgPdxP
Fri Aug 28 16:07:46 PDT 2015 --  Watching 50 First dates... love it! pic.twitter.com/OUQOikEHDq
Wed Aug 20 21:32:08 PDT 2014 --  I like being alone. I don't like being lonely.
Fri Aug 28 13:10:36 PDT 2015 --  #saysthequeen pic.twitter.com/OuareNlLem
Fri Aug 28 08:11:31 PDT 2015 --  Naw pic.twitter.com/0zxR7cr1Jy
Fri Aug 28 06:12:08 PDT 2015 --  Watch tonite @Gotham #EveryoneHasACobblepot 9/8c @FOXTV @robinlordtaylor Do you have any #Cobblepot in the closet? pic.twitter.com/okeiAU3rLE
Fri Aug 28 11:48:46 PDT 2015 --  https://youtu.be/iKssxSScRV4 
Fri Aug 28 11:48:07 PDT 2015 --  Video: Watching Ninja Turtles http://tmblr.co/ZM2Ibj1t1joGC 
Fri Aug 28 11:36:23 PDT 2015 --  Watching Ninja Turtles.....yep that's right! pic.twitter.com/P5q5VGl84l
Thu Aug 27 19:44:26 PDT 2015 --  Photo: By me… http://tmblr.co/ZM2Ibj1s-2j11 
Thu Aug 27 19:41:36 PDT 2015 --  Photo: By me http://tmblr.co/ZM2Ibj1s-1_4a 
Thu Aug 27 19:40:12 PDT 2015 --  Photo: Give me the night….what I hear when I look at this picture by me http://tmblr.co/ZM2Ibj1s-1cHD 
Thu Aug 27 19:38:07 PDT 2015 --  Photo: Photo by me. Focused http://tmblr.co/ZM2Ibj1s-11yN 
Thu Aug 27 19:33:34 PDT 2015 --  Photo: Another Good shot by me http://tmblr.co/ZM2Ibj1s_-sax 
Thu Aug 27 19:25:57 PDT 2015 --  Photo: Photo I took Downtown Houston http://tmblr.co/ZM2Ibj1s_zsDJ 
Thu Aug 27 19:23:47 PDT 2015 --  Photo: Love y'all http://tmblr.co/ZM2Ibj1s_zIu8 
Thu Aug 27 19:12:40 PDT 2015 --  Photo: Went red. I think I change my hair color when I am going through a life change. http://tmblr.co/ZM2Ibj1s_wROJ 
Thu Aug 27 13:01:54 PDT 2015 --  Photo: do-not-touch-my-food: Chicken Penne Salad with Creamy Parmesan Dressing love it! http://tmblr.co/ZM2Ibj1szU59T 
Tue Aug 25 19:41:37 PDT 2015 --  my ankles look like potatoes! Seriously!
Tue Aug 25 19:28:27 PDT 2015 --  Are you finished lying to yourself and others. Time to clean up what you messed up. #responsibility
Tue Aug 25 19:22:29 PDT 2015 --  What imaginary things are you allowing to get in the way of true love. Don't wake up 25yrs later next to a stranger. #settling not an option
Tue Aug 25 19:19:11 PDT 2015 --  Some one told me that "life is like a box of Chocolates you never know what is in the box." Wasn't Forest Gump the one who said that.
Tue Aug 25 09:30:28 PDT 2015 --  10-year-old uses survival smarts after getting lost in Utah forest for 28 hours: http://abcn.ws/1LxBArB  pic.twitter.com/BLHcLvd4JA
Mon Aug 24 19:06:09 PDT 2015 --  Tell me the truth I can handle it. But do you understand what you are putting out there. Holding you to it. pic.twitter.com/9KiDCo4DgO
Mon Aug 17 07:56:24 PDT 2015 --  Search called off for kids missing after Memorial weekend floods http://bit.ly/1hiNicT  #Texas
Sun Aug 16 18:32:46 PDT 2015 --  "I gave you $10 and he gave you $20. You felt that he was better just because he gave you more when he has $200 and all i had was $10."
Fri Aug 14 14:18:54 PDT 2015 --  @ItCanWait Amen to that! I got rear ended and my car totaled last year thanks to someone texting. #ItCanWait
Thu Aug 13 12:47:27 PDT 2015 --  Don’t be a text-seat driver. Put down your phone while you drive, it's not worth a life. #ItCanWait
Wed Aug 19 07:25:25 PDT 2015 --  Good Morning! #live #love #laugh pic.twitter.com/VRCSpAPkVL
Mon Aug 17 08:08:21 PDT 2015 --  Love her. pic.twitter.com/CTziVUzs0w
Mon Aug 17 08:05:45 PDT 2015 --  #TheView can I get that dress.. Hello! pic.twitter.com/dT9uRpA9GP
Fri Aug 14 21:33:50 PDT 2015 --  Start Nice Stay Nice....we're both pleasant! pic.twitter.com/luManwODGa
Fri Aug 14 19:46:35 PDT 2015 --  Attraction for a real woman goes beyond your looks! Get a personality!
Wed Aug 05 05:37:09 PDT 2015 --  Say it Loud and keep it moving! pic.twitter.com/RksItuDxhf
Wed Aug 05 05:34:11 PDT 2015 --  So true. pic.twitter.com/suQq2X0MiF
Wed Aug 05 05:32:10 PDT 2015 --  Been through some things. Made some mistakes. Time to move on. pic.twitter.com/Bn7qjhhaY2
Wed Aug 05 05:25:46 PDT 2015 --  Good Morning Precious Beautiful people!
Tue Oct 07 10:34:02 PDT 2014 --  #mygospelsoul Mrskuntry Delights...Oh Taste and see' pic.twitter.com/S0CXX8EALq
Fri Jul 24 22:14:59 PDT 2015 --  My Queen pic.twitter.com/ngOjZbqMbo
Fri Jul 31 16:07:52 PDT 2015 --  What do you think? Watching now! pic.twitter.com/alnxgDCpEr
Fri Jul 31 14:26:52 PDT 2015 --  The air went out and we had fans and every thing. AIR Fixed! pic.twitter.com/P3aezrase4
