Thu Aug 27 03:54:08 PDT 2015 --  A Man Dies Inside A Tanker, While Trying To Steal Diesel (Graphic… http://dlvr.it/BzSG7m  via @goldrushnews247 pic.twitter.com/vwDZPV0XiX
Sat Aug 22 06:51:34 PDT 2015 --  A girlfriend right now would be a distraction - Harrysong http://dlvr.it/Bwr84H  via @OshodiTV pic.twitter.com/YLhyX2f6nE
Sat Aug 22 03:20:39 PDT 2015 --  Popular Fisherman buried inside fish casket [PHOTO] http://www.yesnaija.com/popular-fisherman-buried-inside-fish-casket-photo/ … pic.twitter.com/pzNV5ii2Ml
Sun Aug 16 15:01:00 PDT 2015 --  " @Haleemah_xo: Jackie Appiah Dazzles In New Photos https://marapolsa.com/jackie-appiah-dazzles-in-new-photos/ …"
Sun Aug 16 14:13:44 PDT 2015 --  " @PricedPenny: SPIDER GIRL COMING OUT THIS MONTH END. https://instagram.com/p/6dXI04FMDb/ "
Sun Aug 16 14:09:08 PDT 2015 --  Just add me on dis ping and get wot u wnt 2B3C1D4C u ar welcum
Sun Aug 16 06:14:39 PDT 2015 --  7 Reasons Why A Guy Loves Giving His Girl Oral http://sumittrain9031.lolnation.me/4596423-9427250 
Sat Aug 15 03:08:07 PDT 2015 --  " @OUyanne: Meek Mill Ft. Nicki Minaj &amp; Chris Brown - All Eye…: http://youtu.be/ut9ThAbfde0 "
Sat Aug 15 03:07:49 PDT 2015 --  Meek Mill Ft. Nicki Minaj & Chris Brown - All Eyes On You (Official Video) - YouTube http://m.youtube.com/watch?feature=youtu.be&v=ut9ThAbfde0 …
Sat Aug 15 03:07:06 PDT 2015 --  4:07 Nicki Minaj - The Night Is Still YoungNickiMinajAtVEVO47,865,997 views http://m.youtube.com/watch?v=IvN5h9BE444&itct=CAMQpDAYCyITCOTN-qvrqscCFQcGHAodxU8BaTIHcmVsYXRlZEjt6_22wPDU77oB …
Sat Aug 15 03:06:49 PDT 2015 --  4:33 Chris Brown - Right Here (Music Video)Chris Breezy Channel2,611,511 views http://m.youtube.com/watch?v=0tka501BEfg&itct=CBIQpDAYBiITCOTN-qvrqscCFQcGHAodxU8BaTIHcmVsYXRlZEjt6_22wPDU77oB …
Sat Aug 15 03:06:33 PDT 2015 --  5:58 Nicki Minaj - Only ft. Drake, Lil Wayne, Chris BrownNickiMinajAtVEVO127,322,831 views http://m.youtube.com/watch?v=zXtsGAkyeIo&itct=CBUQpDAYBSITCOTN-qvrqscCFQcGHAodxU8BaTIHcmVsYXRlZEjt6_22wPDU77oB …
Sat Aug 15 02:54:01 PDT 2015 --  " @radiantmakeover: @MTNNG i av tried it,it sent back an sms to say its bin updated,and it shows my msg,but my callers never see it, why???"
Sat Aug 15 02:51:17 PDT 2015 --  " @barije_umar: 23 years" @iam_dannex: Longest period you've stayed without sex? #Kajorjo_By_2Aplus_TuperfectzEnt""
Sat Aug 15 02:40:10 PDT 2015 --  " @TheAcademy: Genie, you're free. pic.twitter.com/LduTz5gLmS"
Sat Aug 15 02:39:42 PDT 2015 --  " @officialbskip: A simple retweet could get him home pic.twitter.com/LKhTdSTuYm"
Sat Aug 15 02:27:16 PDT 2015 --  Meet the 22yr old who makes money by eating junk food half-naked for men online http://dlvr.it/BrycxL  @OgbongeNaija pic.twitter.com/i6xjaC2GoL
Sat Aug 15 02:22:52 PDT 2015 --  " @Queen_Floxy: VIDEO: Olamide ( @Olamide_ybnl) – Lagos Boys http://bit.ly/1TCCdiF "
Sat Aug 15 02:14:52 PDT 2015 --  " @Queen_Floxy: SEE What Wizkid Posted Says He Wants To Have S£x With Dej Loaf http://bit.ly/1TCk9KU "
Sat Aug 15 02:13:58 PDT 2015 --  " @Queen_Floxy: [MUST READ] 5 Awesome Ways to Overcome Road Rage http://bit.ly/1gHKqp7 "
Sat Aug 15 02:13:41 PDT 2015 --  " @Queen_Floxy: Nollywood Actor Bruno Iwuoha Hospitalize http://bit.ly/1gHKqpc "
