Fri Aug 28 15:37:33 PDT 2015 --  Do I? Or I don't? (Gaara x reader) Modern love story http://quotev.com/story/6730143 
Fri Aug 28 15:00:24 PDT 2015 --  I love girls that are nice even if they don't know u. It's more rare to find a nice female that doesn't throw shade or think they're better
Fri Aug 28 07:00:10 PDT 2015 --  My Twitter Account is worth $1,653.60 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Fri Aug 28 06:40:10 PDT 2015 --  Why do guys act like girls are so hard to please? Just text us back in a reasonable time, bring us food, and play with our hair. That's it.
Thu Aug 27 07:00:14 PDT 2015 --  My Twitter Account is worth $1,659.84 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Wed Aug 26 19:18:54 PDT 2015 --  I got Grayson on "Who Is Your Yandere?" http://quotev.com/quiz/6764492 
Wed Aug 26 19:11:20 PDT 2015 --  I got You Need A Guy There But Still Are Your Own Person on "Do You Need A Guy ?" http://quotev.com/quiz/6791142 
Wed Aug 26 19:06:44 PDT 2015 --  I got Your madly in love (: on "What's your love quote? <3" http://quotev.com/quiz/498086 
Wed Aug 26 19:02:21 PDT 2015 --  I got Emo on "What Type of Girl are you?" http://quotev.com/quiz/1748046 
Wed Aug 26 07:00:12 PDT 2015 --  My Twitter Account is worth $1,664.52 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Tue Aug 25 07:00:13 PDT 2015 --  My Twitter Account is worth $1,666.08 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Tue Aug 25 05:19:25 PDT 2015 --  Every beat counts http://quotev.com/story/5964547 
Mon Aug 24 18:16:25 PDT 2015 --  I CAN BE: weird silly serious quiet outgoing wild sweet funny kind dramatic sarcastic creative romantic but really, I'm just me.
Mon Aug 24 16:54:28 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Mon Aug 24 07:00:12 PDT 2015 --  My Twitter Account is worth $1,667.64 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Mon Aug 24 05:25:05 PDT 2015 --  you think you’re a better kisser than me??? you think you’re a better cuddler? come over here and prove it punk
Sun Aug 23 18:21:41 PDT 2015 --  A Wish....(Sasuke x Reader) http://quotev.com/story/6721755 
Sat Aug 22 12:00:36 PDT 2015 --  why does cooking take like six hours and eating like three seconds and washing dishes like seven days and seven nights
Sat Aug 22 14:10:01 PDT 2015 --  i think i might be the saddest happy person and the meanest nice person to ever exist
Sat Aug 22 12:45:18 PDT 2015 --  i hate when guys say "you're so beautiful, how are you single?" bc i'm fucking crazy dude, okay?! i'm emotionally unfuckingstable.
Sat Aug 22 10:40:55 PDT 2015 --  You Don't Know How Long http://quotev.com/story/6682977 
Sat Aug 22 09:01:16 PDT 2015 --  yo august slow the fuck down man
Sat Aug 22 07:00:11 PDT 2015 --  My Twitter Account is worth $1,658.28 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Fri Aug 21 17:35:12 PDT 2015 --  #bandmeeting lol @JenMajura @Tim_McCord @Troy__McLawhorn @WillFnHunt pic.twitter.com/oZtvqWpt88
Thu Aug 20 13:35:42 PDT 2015 --  Insane Girls that are perverted and cute are my favorite kind of girl ^3^
Wed Aug 12 09:16:06 PDT 2015 --  Girls be posting "on the phone with babe" Then why are you trying to message me for?? Some guys need to check their girls
Mon Aug 17 09:39:34 PDT 2015 --  I've always been one to stick up for the underdog. For everyone wants to be accepted, you never know what they are going through at home.
Fri Aug 21 09:17:26 PDT 2015 --  I have a gf, I don't personal message other girls
