Thu Aug 27 05:03:13 PDT 2015 --  "Steh auf, du musst zur Schule!!" pic.twitter.com/m3a47XdMIU
Mon Aug 17 12:48:04 PDT 2015 --  Lol pic.twitter.com/zdExSdHPjQ
Sat Jul 25 02:03:54 PDT 2015 --  @dominic_hunger War ja nicht meine, nur die von einem WDR-Handy. Aber nice try
Sat Jul 25 01:50:57 PDT 2015 --  "Einmal Schnellbus-Zuschlag zum Studententicket, bitte!" - "Bist du über 15?" - Dein Ernst, Busfahrer? #foreveryoung
Fri Jul 24 02:33:03 PDT 2015 --  Habe eben mein YouTube-Konto bestätigen müssen. Darf nun auf UFONETV auch Videos hochladen, die länger als 15 Minuten sind! YouTube, AYKM?!
Fri Jul 24 00:28:18 PDT 2015 --  Neee, Autogrammkarten für den VideoDay hab ich nicht. Aber ich kann auf 'nem Diddlblatt unterschreiben. Von denen hab ich genug
Thu Jul 23 11:59:00 PDT 2015 --  Ich hab da mal ne Frage... Was haltet ihr davon wenn ich auch dieses Jahr wieder eine Back to School Reihe mache?
Tue Jul 21 07:19:27 PDT 2015 --  Haben eure Eltern WhatsApp? https://youtu.be/dWBckpaZjkg 
Mon Jul 20 13:13:56 PDT 2015 --  Vielen Dank für 125k auf YouTube!
Mon Jul 20 06:25:56 PDT 2015 --  BITTE LESEN - Ich brauche eure Hilfe! pic.twitter.com/poEvIU8eHm
Sat Jul 18 02:16:00 PDT 2015 --  Hey, genießt ihr die Ferien/ das Wochenende? Ich hab' bis zum 1. August erst Mal "frei". Voll am entspannen.
Sat Jul 18 02:12:04 PDT 2015 --  pic.twitter.com/F2sLz843BG
Thu Jul 16 23:51:46 PDT 2015 --  Guten morgen
Tue Jul 14 12:10:07 PDT 2015 --  pic.twitter.com/WADSFgbwas
Sun Jun 28 01:06:11 PDT 2015 --  Guten Morgen meine Süßen 🏼 AHH um 11.30 Uhr kann ich euch endlich das Video zeigen an dem ich die… https://instagram.com/p/4dytVHERhi/ 
Sat Jun 27 13:14:34 PDT 2015 --  Happy Birthday, babe. @AndreaRussett
Fri Jun 26 07:22:04 PDT 2015 --  Wir haben es ZUSAMMEN geschafft! Ich bin euch so Dankbar für ALLES! #2MillionBees pic.twitter.com/0n3OSOWd6B
Fri Jun 26 07:20:05 PDT 2015 --  Herzlichen Glückwunsch zu 2 Millionen Abonnenten. Ich bin so stolz auf dich @dagibee . #2MillionBees pic.twitter.com/unCXTTNsEQ
Wed Jun 17 12:19:54 PDT 2015 --  Wenn du unzufrieden mit etwas bist, dann ändere es. Wenn es sich nicht ändern lässt, dann ändere deine Einstellung dazu. :)So einfach ;) :D
