Tue Jun 09 17:11:08 PDT 2015 --  "Mi peor enemigo soy yo" *David, 11 años se acaba de pellizcar el pipi con la cremallera*
Sat Jun 06 13:37:31 PDT 2015 --  - 5 Marcas de cigarrillo. - pic.twitter.com/fNmQireouL
Mon Jun 01 20:56:35 PDT 2015 --  No bebe usted es mas difícil que orinar erecto.
Fri May 29 19:11:43 PDT 2015 --  -Parce,vea a ese indigente cagando - pic.twitter.com/r2NS9tLv7d
Tue May 26 19:12:09 PDT 2015 --  -Nunca pensé que mis hijos llegaran tan lejos. -¡¡COCHINO!! Me cayo en el ojo. -Que orgullo Dios mio, que orgullo.
Mon May 25 14:18:43 PDT 2015 --  -Mi amor, Tus besos me saben a mantequilla <3 -Ashhh otra vez me esta saliendo materia de esa muela.
Mon May 04 17:21:22 PDT 2015 --  -Ma, me dieron un billete falso -¿De quien se lo dejó meter? -De varios ma,pero no me cambie el tema que le estoy contando lo de el billete
Sun Apr 26 12:08:08 PDT 2015 --  -¡Soacha,Mesitas,Girardot súbase todavía hay puesto ! pic.twitter.com/wI8Ah3g9UN
Fri Apr 24 08:10:29 PDT 2015 --  Todo Fue Lindo, Hasta Que Me Hizo Reír Y Se Me Salio Un Moco.
Mon Mar 23 09:23:59 PDT 2015 --  Madurar Es dejar De Sufrir Por Amor Y Empezar A Sufrir Por Plata
Tue Mar 17 19:14:00 PDT 2015 --  —Vine por el anuncio de Diseñador Gráfico. —Lléveselo. —Gracias, ya casi junto el kilo de cartón.
Sun Mar 15 16:46:18 PDT 2015 --  .-Mamá te quiero. .-Yo tambien pero solo como amigos JAJAJA. .-Ya mamá no se ni para que te conté eso. .-JAJAJA.
Sat Jan 17 10:01:03 PST 2015 --  Niños de 12 años, que se creen de 12 años, Por que tienen 12 años, ja, yo a su edad tenia 12 años.
Sat Jan 17 09:04:45 PST 2015 --  Tan lindas que se ven ustedes publicando que están paseando pero en la ubicacion aparece"Enviado desde soacha".
Fri Jan 16 14:05:30 PST 2015 --  -Hola vengo a robar tu corazon -Owwww enserio? -jajajaja que piroba tan ilusa veo el bicho
