Thu Aug 27 17:41:02 PDT 2015 --  Todos los días tienen un minuto en que cierro los ojos y disfruto echándote de menos.
Sat Aug 15 17:00:20 PDT 2015 --  Te extraño, pero prefiero no saber nada de ti.
Fri Aug 14 16:25:35 PDT 2015 --  Verdades que duelen, mentiras que matan y dudas que torturan.
Wed Aug 19 16:52:55 PDT 2015 --  Quizás no lo demuestro, pero si me importas.
Thu Aug 27 16:10:34 PDT 2015 --  El mejor actorSaludos desde Chiapas @JUANDIEGOCOVA1
Mon Jul 06 21:12:42 PDT 2015 --  No voy a stalkear.. No voy a stalkear.. No voy a stalkear.. No voy a stalkear.. 5 minutos después.. pic.twitter.com/8wHLsoODk6
Sun Jun 14 17:57:59 PDT 2015 --  Amo a esas personas que me soportan cuando ni yo mismo me soporto
Wed Jun 17 17:58:23 PDT 2015 --  "Llorar por dentro y sonreír por fuera."
Sun Jun 14 23:44:53 PDT 2015 --  Te entregaría mi alma por tu primer beso, ¿Aún no te has dado cuenta de que te amo?
Sun Jun 21 16:49:35 PDT 2015 --  Si el agua mineral no lleva whisky, no me gusta.
Tue Aug 25 17:53:47 PDT 2015 --  cada dia me gustas mas. para que te engaño yo no soy de esa...millones de besos de besos te dare
Tue Aug 25 13:45:42 PDT 2015 --  #SufriPorLaAmbicionDe Personas que sólo perjudican a mi FamiliaSaludos Desde Chiapas...
Tue Aug 25 09:30:58 PDT 2015 --  Para @XimenaSarinana esto es hacer las cosas #ALaMexicana. Si tú piensas igual, compártenos tu definición. https://amp.twimg.com/v/d13b2aa1-d1ae-488f-bc2c-3694f3deb13e …
Tue Aug 18 17:59:20 PDT 2015 --  Los productos oficiales de AAA ya están en nuestra nueva tienda en línea: https://www.kichink.com/stores/luchalibreaaa … @Kichink pic.twitter.com/M368Usbldi
Thu Aug 20 12:40:34 PDT 2015 --  Adquiere los productos oficiales AAA en: http://www.TheAAAstore.com  @Parka_AAA pic.twitter.com/SeJO6rAGVa
Thu Jul 23 17:41:25 PDT 2015 --  Sinónimos de felicidad: -Comer -Dormir -Alcohol -Dinero -Música -Amigos
Thu Jul 23 20:48:25 PDT 2015 --  Tener un hijo, plantar un árbol y escribir un libro es fácil, lo difícil es criar al hijo, regar el árbol y que alguien lea el libro...
Thu Jul 23 21:36:52 PDT 2015 --  Las mujeres se enamoran de lo que oyen, los hombres de lo que ven, por eso las mujeres se maquillan y los hombres mienten.
Mon Jul 27 12:36:22 PDT 2015 --  Típico: En whatsapp no deja de hablar y cuando se ven en persona no dice ni una palabra, aburrid@!!!!
