Sat Aug 22 13:53:32 PDT 2015 --  Eye of an Eagle󾆐󾆐󾆐 http://fb.me/7pjGv3tMl 
Sun Aug 09 12:33:42 PDT 2015 --  pic.twitter.com/XEltudvWCl
Sun Aug 09 12:04:42 PDT 2015 --  I Twitter for this! https://twitter.com/ArvindKejirwal/status/630444817449783296 …
Sat Aug 08 23:49:14 PDT 2015 --  Hahahaha! Who the fuck started #DegreeDikhaoPMSaab ? I am embarrassed that logo ka IQ itna kam kabse ho gaya!
Tue Jul 21 06:25:43 PDT 2015 --  http://fb.me/1RriMVZK7 
Sat Jun 27 07:18:34 PDT 2015 --  Breaking News on channels: VASUNDHARA HAS RETURNED TO JAIPUR!! What the hell did you expect idiots? That she'll go to Pluto from Delhi?
Sat Jun 27 07:18:12 PDT 2015 --  नौकरी के बाद वही फ़ोटो काम आएगी https://twitter.com/aajtak/status/614799164594122752 …
Fri Jun 26 22:49:01 PDT 2015 --  pic.twitter.com/ntPeI99kTv
Sat Jun 13 07:13:49 PDT 2015 --  Shashi Tharoor with PR team of Congress pic.twitter.com/Yzkt0q3ugd
Thu Jun 11 05:41:28 PDT 2015 --  Always felt there ws something wrong wd MAGGI,having such a feminine name n getting ready in "two minutes" Highly suspicious @JokesDostiEtc
Thu Jun 11 06:50:42 PDT 2015 --  This joke cost a job:"..Sepp Blatter, director of communications and general secretary are all sitting in a car–who is driving? The police.”
Tue Jun 02 09:22:36 PDT 2015 --  This lady thinks Modi has superpowers to influence monsoons. She's the real Modi bhakt https://twitter.com/sagarikaghose/status/605751093184692224 …
Mon May 25 09:15:48 PDT 2015 --  I have decided to name my maid opportunity because she never knocks twice.
Sun May 24 01:19:48 PDT 2015 --  What someone says should not be headlines in newspapers and tv channels
Fri May 22 00:12:51 PDT 2015 --  It’s better to know and be disappointed, than to never know and always wonder.
Thu May 21 23:35:13 PDT 2015 --  Muslim's are not able to eat 'गरीबों का प्रोटीन'. This should come as no surprise in Modi's India #TweetLikeFirstPost pic.twitter.com/hjgRttLz4F
Thu May 21 22:04:12 PDT 2015 --  Green color comes after saffron in Indian flag , this should come as no suprise in Modi's India #TweetLikeFirstPost
Thu May 21 22:14:38 PDT 2015 --  No Hindu is a Muslim in Modi's India #TweetLikeFirstPost
Thu May 21 23:10:05 PDT 2015 --  No script in movies of a Muslim actor Salman Khan, comes as no surprise in Modi's India #TweetLikeFirstPost
Thu May 21 23:03:41 PDT 2015 --  Yusuf Khan was forced to use Hindu Name as film actor.. That should come as NO surprise in Modi's India. #TweetLikeFirstPost
Thu May 21 23:05:06 PDT 2015 --  Muslim Salman Khan's Hindu lawyer could not defend him. This should be a no surprise in Modi's India. https://twitter.com/indiantweeter/status/601628822807580672 …
Thu May 21 23:03:51 PDT 2015 --  https://twitter.com/indiantweeter/status/601628822807580672 …
Thu May 21 02:27:09 PDT 2015 --  Dubsmash is the app version of Shamitabh.
Thu May 21 22:53:28 PDT 2015 --  Yes, publishing news is a big thing but Ordinari Post Tijdender did it first! @coolfunnytshirt https://twitter.com/firstpost/status/601624229843316736 …
Thu May 21 22:46:39 PDT 2015 --  Maggi is going to get banned because it looks like Muslim Sevaiyaa! This should come as no surprise in Modi's India. #TweetlikeFirstPost
Thu May 21 22:39:02 PDT 2015 --  BC, BAIL par SALE hai! Aao, le lo
Thu May 21 22:30:45 PDT 2015 --  News websites like @firstpost are allowed to publish filth without any restrictions. This should come as no surprise in Modi's India.
Thu May 21 22:33:49 PDT 2015 --  My muslim friend didn't get a confirmed Tatkal ticket. This should come as no surprise in Modi's India. #TweetLikeFirstPost
Thu May 21 22:32:43 PDT 2015 --  Muslims ki Yemen se Ghar Wapsi hui. This should come as no surprise in Modi's India. #TweetlikeFirstPost
Thu May 21 22:05:40 PDT 2015 --  A Muslim Yogendra Salim yadav was thrown out of AAM AADMI PARTY? This should come as no surprise in Modi's India. #TweetLikeFirstPost
Thu May 21 21:49:36 PDT 2015 --  No clothes for Muslims in Modi's India #TweetsLikeFirstPost pic.twitter.com/m7YfvytUYr
Thu May 21 22:02:33 PDT 2015 --  Arey O Etihad wale paise na lena, humra comfort important hai aapko! https://twitter.com/EtihadAirways/status/600690256678031360 …
Thu May 21 21:54:22 PDT 2015 --  Ek Muslim aadmi ko biryani kha kar julaab ho gaye, this shouldn't be a surprise in Modi's India #TweetlikeFirstPost @coolfunnytshirt
Thu May 21 21:49:11 PDT 2015 --  @coolfunnytshirt Muslim Mohammad shammi not selected for Bangladesh tour, this shouldn't be a surprise in modi's india #TweetLikeFirstPost
Thu May 21 21:38:22 PDT 2015 --  Yeh Jawaani Hai Deewani is overrated! Why do people still talk about it?
Thu May 21 21:38:18 PDT 2015 --  It's their that time of the year. https://twitter.com/dna/status/601603657541423107 …
Thu May 21 07:56:34 PDT 2015 --  Each of us will have to admit that the void left by R K Laxman has now been more than filled up by Unreal Times.
Thu May 21 21:09:31 PDT 2015 --  Tumhari tatti bhi na nikale , Toh Modi ko hi blame karna! https://twitter.com/firstpost/status/601599511778099200 …
Thu May 21 01:21:32 PDT 2015 --  *instagram* *xyz accepted your follow request, now you can see how beautiful & rich they are*
Thu May 21 03:11:42 PDT 2015 --  RG - Ek baar MAINE apne aap ko TV par dekhaa Crowd - Haan, Animal Planet par *taaliyan* @coolfunnytshirt pic.twitter.com/rn6V5UHB8o
