Thu Aug 27 09:05:12 PDT 2015 --  I need a phone with 500% battery life
Sun Aug 23 15:46:03 PDT 2015 --  Hiiiiiiiiiiiii
Mon Aug 24 07:19:37 PDT 2015 --  Thats actually the coolest thing ever. Guys seriously without those two I probably would have never posted covers in the first place
Mon Aug 24 07:20:50 PDT 2015 --  Bagi Tuhan tak ada yang mustahilllll
Mon Aug 24 07:17:21 PDT 2015 --  Yesus ajaib!
Mon Aug 24 04:19:56 PDT 2015 --  Pas lagi sakit selain butuh obat, ternyata butuh kasih sayang juga.
Mon Aug 24 04:51:41 PDT 2015 --  Yang disana mikirin gak ya?
Sat Aug 22 07:05:13 PDT 2015 --  This is the saddest/sweetest thing I have ever read pic.twitter.com/1yGPv7pxfs
Sat Aug 22 07:26:16 PDT 2015 --  Kebohongan yang paling umum dilakukan orang adalah dengan mengatakan 'saya baik-baik saja'. [MindClockWork]
Sat Aug 22 07:40:44 PDT 2015 --  Losing your phone is like losing your life.
Sat Aug 22 07:48:28 PDT 2015 --  Goooooodmornjng St. Louis! Excited to see some of you guys today
Sat Aug 22 08:17:02 PDT 2015 --  You can teach your ferret to blow his nose into a cloth handkerchief. That actually comes quite naturally.
Sat Aug 22 08:47:16 PDT 2015 --  According to one survey, only 18% of parents allow their children to use technology at the dinner table.
Sat Aug 22 09:53:28 PDT 2015 --  Fun fact : you're always more beautiful with a smile
Thu Aug 20 11:17:06 PDT 2015 --  According to a Pew survey, by 2050, just 13% of people in the world will say they are religiously unaffiliated.
Thu Aug 20 11:23:28 PDT 2015 --  Never be around people who make you anything less than happy.
Thu Aug 20 11:12:17 PDT 2015 --  You'll be mine
Wed Aug 19 19:45:26 PDT 2015 --  Goodnight :)
Thu Aug 20 11:05:57 PDT 2015 --  COMING TO LONDON Sept 15th for a show @o2sbe + Tweet #GetShawnToYourCountry to help choose where else I go !!! pic.twitter.com/Lxxnx0rZkj
Wed Aug 19 19:01:20 PDT 2015 --  I just wanna talk to you
Wed Aug 19 22:46:16 PDT 2015 --  ba doom ba doom. Tissss
Thu Aug 20 08:29:47 PDT 2015 --  my new vine later today
Thu Aug 20 01:17:36 PDT 2015 --  Okay, I'm actually going to bed now... Hopefully.
Thu Aug 20 01:32:54 PDT 2015 --  Looking like a ghost but goodnight everyone pic.twitter.com/GauYK5DTfy
Wed Aug 19 23:55:35 PDT 2015 --  Late night jams pic.twitter.com/Oko8qpZiLq
Thu Aug 20 10:48:17 PDT 2015 --  I need a new avi and header..
Thu Aug 20 10:42:35 PDT 2015 --  I can't stop sneezing but it feels so good ahh
Thu Aug 20 11:02:00 PDT 2015 --  Facebook users are seen as more attractive if their Facebook friends are seen as attractive.
Thu Aug 20 09:30:56 PDT 2015 --  I should probably start fixing my sleep schedule because summer is almost over.. And I'm still waking up at like night time ahhaahah
Thu Aug 20 09:28:46 PDT 2015 --  Good afternoon/morning
Wed Aug 19 21:35:26 PDT 2015 --  When people want something that you have they will use you for it. You gotta teach yourself how to catch the fake people early.
Wed Aug 19 19:29:40 PDT 2015 --  it's only work if you rather be doing something else
Wed Aug 19 19:59:41 PDT 2015 --  My phones so messed up if it dies it won't turn back on for like 10 hours. So annoying
Wed Aug 19 19:08:19 PDT 2015 --  My girlfriend just took my to my first ever pedicure. Now I see why girls love this shit so much. Changed my life forever.
Thu Aug 20 07:59:39 PDT 2015 --  Lay with me at the beach? :)
Thu Aug 20 06:19:42 PDT 2015 --  Hello Cozumel :) who lives in Mexico? @RoyalCaribbean #royalsummer
Wed Aug 19 21:29:56 PDT 2015 --  #umamiburger🏼 pic.twitter.com/Rgxp0xaxlT
Thu Aug 20 11:00:02 PDT 2015 --  Orang yang hatinya bersih dari niat menistai sesama dan alam, adalah orang yang sudah kaya di hadapan Tuhan.
Thu Aug 20 11:01:14 PDT 2015 --  I think i not perfect to be the best person for my family
Thu Aug 20 10:59:59 PDT 2015 --  Miane
Thu Aug 20 10:43:07 PDT 2015 --  Don't cry because it's over. Smile because it happened.
Thu Aug 20 10:45:49 PDT 2015 --  Lets cuddle
Thu Aug 20 09:38:44 PDT 2015 --  Girls think too much, boys don't think at all.
Thu Aug 20 09:58:28 PDT 2015 --  Hedeh ngoni itu
Wed Aug 19 16:34:45 PDT 2015 --  Who thinks I should do a follooooow spree??
Wed Aug 19 16:47:12 PDT 2015 --  good vs. evil pic.twitter.com/0FLwVZZAvH
Wed Aug 19 16:36:05 PDT 2015 --  RT for a follow!! pic.twitter.com/5ZpywGk3Mr
Wed Aug 19 07:45:16 PDT 2015 --  Haha lawa ee
Wed Aug 19 07:30:04 PDT 2015 --  Social media has helped the world become more transparent. Do you agree? #Quoteoftheday pic.twitter.com/j7ptpGHZKr
Wed Aug 19 07:24:51 PDT 2015 --  Omg, what happen to my sisterrr-_-
