Sat Aug 29 10:41:17 PDT 2015 --  That accent though. Lol. http://www.youtube.com/watch?v=fW1dUnBhwL8&sns=tw … via @youtube
Thu Aug 27 11:32:56 PDT 2015 --  It's time to go home from vacation when your credit card has been used so much it stops scanning properly. #firstworldproblems
Thu Aug 27 08:46:35 PDT 2015 --  Now it's time to say goodbye... @ Disneyland https://instagram.com/p/65HGB9SyigG5SxmneoiZCX3mpLscPEUpLvCbI0/ …
Wed Aug 26 12:26:03 PDT 2015 --  Read a magazine and then you're in Baltimore.
Tue Aug 25 22:21:45 PDT 2015 --  Bedazzled and bemused. @ Sleeping Beauty Castle https://instagram.com/p/61ayxOyymG33CHL5Xax4r0FTm_c7cSYd9TeXQ0/ …
Tue Aug 25 16:00:59 PDT 2015 --  "My pull out is nice."
Tue Aug 25 15:48:54 PDT 2015 --  "I don't know if there's a thing called the chocolate sweats, but if there is, I've got them." - Matt
Tue Aug 25 09:36:09 PDT 2015 --  And what did you eat for breakfast today? @ New Orleans Square https://instagram.com/p/60DLQvyymQL9WMKy7KK5Ijy7inVBomgu0H-0k0/ …
Mon Aug 24 22:48:06 PDT 2015 --  Joey Fatone To One Direction: “Everything Is About To Be Terrible” | Above Average http://aboveaverage.com/joey-fatone-to-one-direction-everything-is-about-to-be-terrible/#.VdwBflqlvNp.twitter … via @aboveaverage
Sat Aug 22 11:57:40 PDT 2015 --  I have an unfortunately low tolerance for kids who ask questions just to be difficult. #airportobservance #NOthatsnotyourbag #thatoneeither
Sat Aug 22 11:42:53 PDT 2015 --  There's something about being in the same state as the Kardashian/Jenner clan that's making me uneasy.
Sat Aug 22 07:45:10 PDT 2015 --  My heart undeniably skipped a beat when I spied a @DunkinDonuts @ the Houston airport, and then they didn't take my hard earned #DDPerks. :(
Sat Aug 22 04:23:26 PDT 2015 --  Works for me! https://twitter.com/Factsionary/status/634981582286266368 …
Sat Aug 22 04:23:01 PDT 2015 --  I just cannot keep up with what I do and do not have to take off at airports. #beltnobelt #binnobin
Fri Aug 21 06:32:19 PDT 2015 --  My beautiful mocha coconut is back at @starbucks!!! #tropicalgoodness https://instagram.com/p/6pa9Sayyrta4ZdFXMNnsDV7LhKBGnQKLo3op00/ …
Fri Aug 21 06:06:32 PDT 2015 --  Give it to the 9 year old next to me to order the most complicated drink I've ever heard of at @Starbucks.
Thu Aug 20 18:20:00 PDT 2015 --  "Drunk people, children and leggings ALWAYS tell the truth."
Thu Aug 20 16:54:05 PDT 2015 --  Sometimes you just gotta hang out with the dog in the bathroom. #shedoesntdostorms #livinginthewrongstate
Thu Aug 20 16:37:18 PDT 2015 --  Sometimes all you need is a billion dollars. #noneedtosugarcoatit
