Sun Aug 23 20:28:53 PDT 2015 --  Wow. Found this looking through old pics. #RIP18 pic.twitter.com/l6vKO5NNI2
Mon Aug 24 18:08:01 PDT 2015 --  Get well Jordy, get well. #PrayersUp #GoPackGo pic.twitter.com/BbQnjMGSEK
Sun Aug 23 15:18:21 PDT 2015 --  Being devastated over Jordy Nelson's injury
Sun Aug 23 16:06:55 PDT 2015 --  Preseason football is so stupid @NFL
Wed Aug 19 15:27:37 PDT 2015 --  @Jamie_Jones21 just glad to be doing it right by your side Jamie
Sat Aug 15 17:01:33 PDT 2015 --  Just got stopped in traffic because of a local rodeo. I'm definitely back in Arkansas
Thu Aug 13 11:20:09 PDT 2015 --  Ohhhh the sweetest swing. #LeftHandersDay pic.twitter.com/cJlRnbuzGp
Thu Aug 13 08:43:19 PDT 2015 --  Almost time to be back in Batesville with the guys @rjenks_2483 @BWidders23 @MJLayrock @loganbailey12
Wed Aug 12 21:15:57 PDT 2015 --  Night hockey, double the danger double the fun with @david_mallow @Jamie_Jones21
Tue Aug 11 17:26:18 PDT 2015 --  My main goal in life is to be able to help out all the people that have helped me.
Sun Aug 09 20:55:57 PDT 2015 --  Can't believe @codyfaulkner303 has a Twitter. Now you just need to work on finding a profile pic
Sun Aug 09 13:01:10 PDT 2015 --  There's no practice like a #Packers #FamilyNight practice. WATCH: http://pack.rs/3i0mq  pic.twitter.com/a8Z0d4RS6P
Thu Aug 06 14:39:43 PDT 2015 --  Hey @Jamie_Jones21 nice draft last night.. pic.twitter.com/odTcTdHLt4
Tue Aug 04 10:52:26 PDT 2015 --  Congrats to former running back De'Anthony Curtis on being named the RB coach at Lyon College! Great man & will be super coach for Scots!
Tue Aug 04 08:07:15 PDT 2015 --  It's that time of year! @david_mallow pic.twitter.com/lb5iajjz6X
Sun Aug 02 14:41:26 PDT 2015 --  About 175,000 attended this series, Brandon Moss. Welcome. #stlcards
Sun Aug 02 14:43:50 PDT 2015 --  Brandon Moss has more walkoff hits than Tulo since the trade deadline..Mo wins again
Sat Aug 01 02:25:35 PDT 2015 --  RIP Roddy Piper aka Da' Maniac. We love ya. pic.twitter.com/LdkF4N4rsF
Thu Jul 30 20:10:30 PDT 2015 --  Going to all 3 games this weekend against the Rockies and of course I miss the best one
Thu Jul 30 18:07:36 PDT 2015 --  He's back!!!!
Thu Jul 30 11:06:22 PDT 2015 --  Caseys breakfast pizza for lunch
Wed Jul 29 06:52:19 PDT 2015 --  JALC board votes to end funding for athlete housing http://thesouthern.com/news/local/communities/carterville/article_088ace99-7cb4-5eba-affc-41d3662b1631.html …
Tue Jul 28 13:15:00 PDT 2015 --  workout. shoot. sleep. netflix. repeat.
Mon Jul 27 07:28:45 PDT 2015 --  Work hard. Dream big.
Sun Jul 26 14:23:55 PDT 2015 --  Albert Pujols has become 4th player in MLB history with 500+ HR, 100+ SB and a .300+ career average, joining Ruth, Aaron and Mays.
Sun Jul 26 11:00:46 PDT 2015 --  Sunny days wouldn't be special if it wasn't for rain, joy wouldn't feel so good if it wasn't for pain.
Fri Jul 24 14:04:44 PDT 2015 --  Im beyond excited to be a Cardinal. Such a great organization with an amazing history. It's going to be an honor to wear Cardinal red!
Wed Jul 22 09:11:04 PDT 2015 --  College hoops making a video game comeback? http://www.sportingnews.com/ncaa-basketball/story/2015-07-22/nba-2k16-video-game-colleges-steph-curry-anthony-davis-reviews … pic.twitter.com/ME4aD6t3Ws
Wed Jul 22 09:55:43 PDT 2015 --  What @david_mallow looks like everyday on his way to the gym pic.twitter.com/xd33TujfSd
Sat Jul 18 17:22:15 PDT 2015 --  That. Was. Special. #FavreHOF pic.twitter.com/RozwYBJY9O
Fri Jul 17 10:23:19 PDT 2015 --  Your 2015-16 Duke Blue Devil's basketball roster. #DukeNation #LetsGetIt pic.twitter.com/F4pgrQEqg7
Fri Jul 17 17:12:51 PDT 2015 --  Need to find something to do this weekend.
Wed Jul 15 12:11:15 PDT 2015 --  Dez Bryant is making less than Reggie Jackson.
Tue Jul 14 12:21:47 PDT 2015 --  Big dreams have small beginnings
Mon Jul 13 19:16:45 PDT 2015 --  Why will @PujolsFive always be one of my favorites? Moments like this. You da man Albert! pic.twitter.com/MP3AWuzqbE
Sun Jul 12 10:07:58 PDT 2015 --  Coach K is outta his mind on the recruitment trail right now ...best in the game
Fri Jul 10 06:35:18 PDT 2015 --  #votetsunami
Wed Jul 08 20:04:55 PDT 2015 --  Peralta!!!!
Wed Jul 08 19:11:20 PDT 2015 --  Big hit by Montero but this strike zone is terrible
Wed Jul 08 12:17:42 PDT 2015 --  There we go pic.twitter.com/EvR9KN75LR
Tue Jul 07 16:29:34 PDT 2015 --  #TacoTuesday
Mon Jul 06 21:08:26 PDT 2015 --  John Lackey (7 IP, 0 ER, 6 K's) and the @Cardinals move to 54-28 after shutting out the Cubs, 6-0. pic.twitter.com/UetC81P2s9
Sat Jul 04 09:27:57 PDT 2015 --  The Cardinals will be taking the field in these uniforms today. pic.twitter.com/dMeLj7J6Yf
Sat Jul 04 07:02:04 PDT 2015 --  Happy #4thOfJuly from @LyonAthletics! Have fun, be safe, and God Bless America! pic.twitter.com/W1Fqx3BpfN
Tue Jun 30 18:45:21 PDT 2015 --  Grichuk has three fewer homers than the greatest player of all time, Kris Bryant, in 100 less ABs.Same age. #stlcards pic.twitter.com/lzmQavjQBn
Mon Jun 29 19:01:04 PDT 2015 --  I'm gonna miss watching my 4 favorite scrubs play basketball next year. @rjenks_2483 @loganbailey12 @Jamie_Jones21 @BWidders23
Mon Jun 29 14:07:58 PDT 2015 --  Strange But True: In 12 years with Heat, Dwyane Wade has NEVER been highest-paid player on team. (via @ESPNStatsInfo) pic.twitter.com/977BPpH7HM
Fri Jun 26 22:16:17 PDT 2015 --  “ @Things4WhitePpl: Taking pictures they’ll later regret pic.twitter.com/HBlZZevnsn” @cagehitter54
Thu Jun 25 17:57:42 PDT 2015 --  Shoutout to my dude @Jamie_Jones21 for getting drafted 4th overall by the @nyknicks tonight! pic.twitter.com/y8xNqTVxJ4
Thu Jun 25 17:49:33 PDT 2015 --  pic.twitter.com/Ct0XXe7Ljp
Thu Jun 25 17:43:46 PDT 2015 --  I take back everything I said about trying for the 8th playoff spot over getting a top-10 pick. Winslow is a stud. Miami does it again.
