Sat Aug 29 11:00:12 PDT 2015 --  Le lézard le plus badass ! #badass pic.twitter.com/ipdelM0Q2h
Mon May 25 14:57:58 PDT 2015 --  Faites gaffe svp l'énervé pas plus, déjà son français il est vénère la pic.twitter.com/dhTqhBQs8H
Sat Aug 29 10:30:16 PDT 2015 --  Leonardo Dicaprio and Kate Winslet, then and now. pic.twitter.com/TL4oEkHzrK
Sat Aug 29 08:11:09 PDT 2015 --  J-3 :,) pic.twitter.com/lNrFXjhv0g
Fri Aug 28 00:45:25 PDT 2015 --  Jcrois les personnes qui font l'plus pitié c'est les Directionners y'a des meufs elles sont prêtes à tuer leurs mères pour un cc de Louis
Fri Aug 28 12:30:14 PDT 2015 --  Un petit chat diabolique. #diable #chat pic.twitter.com/zaIchdDswP
Sat Jul 18 10:31:21 PDT 2015 --  Les bisous dans le cou <3 pic.twitter.com/4lVKb9IdAD
Fri Aug 28 04:55:54 PDT 2015 --  Bien vu l'ami pic.twitter.com/ZIavl3Y67p
Fri Aug 28 04:53:27 PDT 2015 --  #LT Il ose...
Fri Aug 28 04:44:41 PDT 2015 --  Dur... pic.twitter.com/IyvnJkNk34
Sun Aug 16 09:42:28 PDT 2015 --  j'suis ptdr pic.twitter.com/62us65PEy1
Fri Aug 28 04:48:09 PDT 2015 --  Ah... l'enfoiré , il me laisse en plan pour la rentrée
Thu Aug 27 08:30:39 PDT 2015 --  #RT NOUVELLE VIDÉO! https://youtu.be/OLVXmxtP9EU  GTA 5 ONLINE - LE DELIRE ULTIME 11! pic.twitter.com/RN3zZHUHi9
Mon Aug 24 02:21:18 PDT 2015 --  Il n'y a rien de plus simple que de suivre ce chemin pour atteindre vos objectifs. pic.twitter.com/KACzbQy2zX
Sat Jul 18 08:24:11 PDT 2015 --  Mdr c'est trop con pic.twitter.com/zxCKt3Qvwc
Sat Aug 22 12:30:20 PDT 2015 --  Quand tu danses avec tes potes en public https://vine.co/v/eDUtUpP35Aj 
Wed Aug 26 06:01:20 PDT 2015 --  Raise them right http://9gag.com/gag/avLQBdd?ref=tp … pic.twitter.com/nAbUokoyjR
Tue Aug 25 03:49:35 PDT 2015 --  À J-7 faut commencer les prières pr avoir : -bonne classe -bons profs -bon emploi du temps #Rentrée2015
Sun Aug 16 10:20:31 PDT 2015 --  La rentrée de mes potes: le 14/09, le 21/09 ou le 1/10 Ma rentrée le 1/09 ... ma vie ne m'aime pas #rentree2015
Sat Aug 15 15:10:57 PDT 2015 --  #CivilWar getting terribly closer... pic.twitter.com/mvz4V2nUDM
Sat Aug 15 14:21:09 PDT 2015 --  J'ai pas les mots.. pic.twitter.com/q81CMJvGAC
Sat Aug 15 16:00:17 PDT 2015 --  when the teacher says "pair up" but no one likes you pic.twitter.com/F7k1mNqmjU
Sun Aug 09 07:15:01 PDT 2015 --  Bn laden #retirezmoiphotoshop pic.twitter.com/MbEnPQft7s
Sat Aug 15 15:37:09 PDT 2015 --  Allez @MarvelFR on veut le trailer de #CivilWar svp
Tue Mar 31 23:52:22 PDT 2015 --  On l'a trouvé !!! pic.twitter.com/h99sfprtoH
Sat Aug 15 11:38:56 PDT 2015 --  "Je déteste le mot homophobie. Ce n'est pas une phobie, vous n'avez pas peur, vous êtes seulement des connards." #AbatLesHomosexuels
