Sat Aug 29 10:54:01 PDT 2015 --  — Oye, me gustas mucho. — UY NOOOOOO, PERO QUÉ ES ESA VIOLENCIA.
Sat Aug 29 11:12:58 PDT 2015 --  — Má ¿Me das plata? — Ya le di la vida. — ¿ACASO YO PEDÍ NACER? — OIGAN A ESTE GROSERO. — YO VINE AL MUNDO PORQUE USTEDES ESTABAN ARRECHOS.
Sat Aug 29 11:39:06 PDT 2015 --  Que pereza esas peladas que siempre quieren llamar la atención, son como todas fastidiositas.
Sat Aug 29 10:13:18 PDT 2015 --  "Una mujer dolida es mas peligrosa que el diablo mismo" - Camilita, 16 años, el novio se equivoco de hueco y le machaco la mierda.
Sat Aug 29 10:07:06 PDT 2015 --  Ese momento en el cual todas las palabras se resumen en un beso.
Sat Aug 29 09:50:18 PDT 2015 --  Nació muerto -Fue rechazado 22 veces -Sufrió Bullying -Y ahora es la mejor persona del mundo HAPPY BIRTHDAY LIAM pic.twitter.com/JV9ZhE3eq7
Sat Aug 29 07:47:45 PDT 2015 --  Por esos profesores que creen que nos reímos con ellos, y en realidad nos reímos de ellos.
Fri Aug 28 12:40:54 PDT 2015 --  —¿Estás bien? —Podría estar mejor.
Sat Aug 29 08:05:51 PDT 2015 --  Cosas que he aprendido en el colegio: Enviar Whatsapp's sin mirar Dormir sin ser descubierto El trabajo en equipo en los exámenes.
Sat Aug 29 08:23:21 PDT 2015 --  Queen. pic.twitter.com/ElFpyG33kt
Sat Aug 29 01:35:27 PDT 2015 --  Cuando te miras al espejo y desearías ser tu.
Sat Aug 29 06:31:28 PDT 2015 --  Cuando te vuelves frío las personas empiezan a valorar quien eras antes.
Sat Aug 29 08:02:50 PDT 2015 --  Buenos buenos buenisiiiiimos días :)
Fri Aug 28 10:50:39 PDT 2015 --  Como cuando te encuentras a @nikoarrieta en el baño de la escuela. pic.twitter.com/1oKKSqXrBN
Fri Aug 28 13:25:30 PDT 2015 --  $_$ pic.twitter.com/BoHs0Nbpj6
Thu Aug 27 15:41:03 PDT 2015 --  . @NayeLambis fanfics perturbadores sobre mi
Thu Aug 27 15:22:34 PDT 2015 --  pic.twitter.com/JNa3hWcCsE
Thu Aug 27 14:41:16 PDT 2015 --  Me perreo a tu abuela porque Yolo
Wed Aug 26 20:10:04 PDT 2015 --  El dm del día pic.twitter.com/UgYV1jH9SN
