Fri Aug 28 21:19:13 PDT 2015 --  These Chorizo, jalapeño, cheese, some other shit etc. Lol Beans my lady made >>>>>>>>
Thu Aug 27 05:28:27 PDT 2015 --  If you ain't dedicated, your body won't look dedicated!! #GymTime #KillBeforeWork #SwollSoon
Tue Aug 25 18:45:07 PDT 2015 --  Cant stop watching this lmao http://vine.co/v/OD0JnhHTrEO 
Tue Aug 25 18:08:14 PDT 2015 --  FUCK!!!
Sun Aug 23 17:28:10 PDT 2015 --  . @RandyGregory_4 with the SACK! He now has a sack in both preseason games! #DALvsSF
Sun Aug 23 17:30:58 PDT 2015 --  I really like Bishop and Coleman. Both seem to be active players at DT. Forced Kap right into Gregory’s hands.
Sun Aug 23 12:03:04 PDT 2015 --  If college teams don't need preseason games, NFL starters shouldn't, either.
Thu Aug 20 22:02:03 PDT 2015 --  The media should show more of @DezBryant father/son action pic.twitter.com/V87xXFgN0e
Wed Aug 12 14:13:22 PDT 2015 --  Rex Ryan has no chill. Buffalo claims Enemkpali off waivers after Geno punch - http://foxs.pt/1HHqZSW  pic.twitter.com/DHYXuYRJ7L
Tue Aug 11 17:00:58 PDT 2015 --  Thinkin' about giving one of these away too... Just trying to spread the love! #CudFam pic.twitter.com/HKV0ft43UU
Mon Aug 10 18:48:07 PDT 2015 --  bruh what is a cat pic.twitter.com/2shM5Uh7e7
Mon Aug 10 15:40:06 PDT 2015 --  @dallascowboys We readddddddddddddddddy.
Mon Aug 10 15:34:52 PDT 2015 --  . @NFL pic.twitter.com/6Q2gt2cjpK
Mon Aug 10 15:23:45 PDT 2015 --  The 2015 regular season kicks off one month from today. #Kickoff2015 pic.twitter.com/A4PqMV1XVS
Sun Aug 09 19:48:05 PDT 2015 --  THE LEAGUE AND MARSHAWN LYNCH HAVE NO CHILL BRUH pic.twitter.com/mJCNIllJ9n
Sun Aug 09 09:24:03 PDT 2015 --  I'll just give it away... RT for a chance to win!!! #CudFam pic.twitter.com/DXkIES8Xfx
Wed Jun 05 18:17:42 PDT 2013 --  8 pieces, 4ft x 3ft and I haven't had it up since I moved! Hmmm, maybe it's time to pass it on....... #CudFam pic.twitter.com/fDGIE4bNyP
Sun Aug 09 15:00:08 PDT 2015 --  2 hours to Football. You ready? #PITvsMIN #BackToFootball pic.twitter.com/P0ORW5zwzF
Sun Aug 09 16:00:10 PDT 2015 --  Football is finally back!! I'm so fuckin pumped for our season. @dallascowboys #WeDemBoyz
Sat Aug 08 09:08:53 PDT 2015 --  Happy birthday to my little cousin! Lol @Justin92_ Hope you rage today bro. ILY!!!
Fri Jul 31 15:25:52 PDT 2015 --  When you get juked out of your shoes by Tony Romo... https://vine.co/v/O5gZIHuzhDV 
Fri Jul 31 22:31:30 PDT 2015 --  https://m.soundcloud.com/cudderland 
Fri Jul 31 21:59:15 PDT 2015 --  My 1st single "CONFUSED" from my upcoming album SPEEDIN BULLET TO HEAVEN is comin anyyyy minute. Stay tunedddddddd
Fri Jul 31 16:16:33 PDT 2015 --  I'm so sorry I left you for so long, I forgot how good you make me feel. I'll be there everyday with my muscle need. Me speaking to the gym.
Thu Jul 30 07:06:06 PDT 2015 --  lmao facts pic.twitter.com/zv9FazSd8P
Thu Jul 30 20:50:36 PDT 2015 --  This is one of the worst beefs in music history. Two soft as dudes. Bring back E and Dre type shit!
Sun Jul 26 09:01:44 PDT 2015 --  Crazy... pic.twitter.com/cnSOeiGBbU
Mon Jul 20 20:51:01 PDT 2015 --  Dear Genitals, thanks for not bleeding every month. You're the best. Sincerely, every man.
Mon Jul 20 19:43:59 PDT 2015 --  I swear Texas Roadhouse has the coldest beer all time!!! @texasroadhouse
Sun Jul 19 20:35:02 PDT 2015 --  This deserves endless retweets pic.twitter.com/BXKIdPLLoa
Sat Jul 18 14:22:37 PDT 2015 --  #USA Goallllllll. Killin today!
Fri Jul 17 17:30:31 PDT 2015 --  Well dam pic.twitter.com/gHDqh8EtFJ
Thu Jul 16 05:30:09 PDT 2015 --  RT THIS WITHIN FIVE MINUTES FOR GOOD ASS LUCK pic.twitter.com/emUzrGAcXw
Wed Jul 15 19:30:15 PDT 2015 --  "why don't you hangout with _______ anymore?" pic.twitter.com/RpV6nYb0Uv
Wed Jul 15 12:30:08 PDT 2015 --  In 5 seasons with the Cowboys, Dez Bryant has caught 381 passes for 5,424 yards & 56 TDs. pic.twitter.com/eISyKJoEIx
Sat Jul 11 11:00:07 PDT 2015 --  Suspension reduced to 4 games... What's next for Greg Hardy? @Rand_Getlin has the latest: http://bit.ly/1Ts7OoZ  pic.twitter.com/lEdFHfBnYL
Mon Jul 06 12:31:04 PDT 2015 --  BE WARNED "DONT SKIP LEG DAY" #GymWankers pic.twitter.com/LbHLLmtKf2
Wed Jul 01 20:05:48 PDT 2015 --  This movie is gonna be crazy https://amp.twimg.com/v/f905fc2e-7b32-4978-b83a-0db2ae86578c …
Wed Jul 01 14:20:09 PDT 2015 --  Which WR should be ranked higher on the #NFLTop100? RT for Dez Bryant FAVE for Julio Jones pic.twitter.com/M88ZmAG22C
Sun Jun 28 10:00:08 PDT 2015 --  2 MONTHS - 11 SUNDAYS - 77 DAYS - 1848 HOURS - 110,880 MINUTES - 6,652,800 SECONDS.
Sat Jun 27 15:57:15 PDT 2015 --  Massive info on the album next week. Faces will melt soon. Thank you for your patience. You will all be rewarded with magical musical candy!
Sat Jun 27 10:57:04 PDT 2015 --  LMAO pic.twitter.com/0a4XRON7EL
Fri Jun 26 18:02:15 PDT 2015 --  Go with your gut man pic.twitter.com/NKWNYbI7Vg
Fri Jun 26 10:42:02 PDT 2015 --  Wow $12 for a damn sandwich pic.twitter.com/Yr3XVN7QvA
Fri Jun 26 07:07:24 PDT 2015 --  I can't believe how fuckin amazing leg day is. Haha.
Thu Jun 25 17:43:08 PDT 2015 --  With the 10th pick in the 2015 #NBADraft, the @miamiheat select @iamjustise! pic.twitter.com/SFjV7iFbzM
Thu Jun 25 17:44:03 PDT 2015 --  Winslow to Miami: If DWade stays and can stay healthy, Heat can make Cavs sweat next season.
Sun Jun 21 11:00:07 PDT 2015 --  Follow us and retweet this with your shoe size to enter to win an AJ 11 "Gamma," winner announced 6/22 at 12 p.m. CST pic.twitter.com/38pHCkSj1z
Sat Jun 20 11:00:07 PDT 2015 --  If you wanna win a pair of Air Jordan 11 "Gamma Blue," Follow us and retweet this with your shoe size to enter. pic.twitter.com/7SkHBM7KZo
Fri Jun 19 17:02:49 PDT 2015 --  Most Rec TDs Since 2011: Dez Bryant: 50 Jimmy Graham: 46 Rob Gronkowski: 44 Jordy Nelson: 43 Calvin Johnson: 41
Fri Jun 19 20:47:13 PDT 2015 --  Realest dude alive pic.twitter.com/jCEqAXsx3X
Thu Jun 18 11:12:11 PDT 2015 --  females take another L pic.twitter.com/iJLkvDUyVz
Wed Jun 17 16:57:08 PDT 2015 --  War Pigs!!!!!!!!
Wed Jun 17 16:10:26 PDT 2015 --  From sweatin inside, outside to sweatin in the gym! #AZLife #HeatWave
Wed Jun 17 14:09:11 PDT 2015 --  lmaoo pic.twitter.com/VssX2Rh1vE
Wed Jun 17 14:21:36 PDT 2015 --  Kid Cudi is a legend.
Sun Jun 14 18:57:17 PDT 2015 --  Lebron be like https://vine.co/v/eevt9Jg35LK 
Tue Jun 16 21:01:09 PDT 2015 --  Regardless of who you rooted for, gotta respect Lebron and what he did this playoffs! #respect
Tue Jun 16 21:19:57 PDT 2015 --  Seems like wherever LeBron goes, he just can't get enough help.
Tue Jun 16 19:52:29 PDT 2015 --  Dellevadova has been a DISASTER, in case anyone out there is wondering, @RealSkipBayless
Tue Jun 16 19:14:03 PDT 2015 --  How the fuck you miss 2 free throws? Possibly game changing free throws, then foul? That's how you don't get a ring!!!
Tue Jun 16 18:35:10 PDT 2015 --  Cleveland Fans again tonight if Lebron loses pic.twitter.com/aoh170aZZB
Tue Jun 16 08:44:27 PDT 2015 --  Copies of my original all new Ant-Man novel for @Marvel have arrived, and look incredibly awesome!! pic.twitter.com/uYXNze9GgX
Sun Jun 14 19:48:45 PDT 2015 --  LeBron is twice the player as Curry, taking nothing from him, curry just has the team. I still got Cavs in 7 now!
Sun Jun 14 19:21:22 PDT 2015 --  LeBron James now has multiple triple-doubles in two different #NBAFinals. pic.twitter.com/Dk7qMAJFLt
