Sun Aug 16 00:36:58 PDT 2015 --  1 de cada 3 profesores es cliente VIP de Desigual.
Mon Jun 29 00:25:27 PDT 2015 --  Si en los paquetes de tabaco en vez de "Fumar mata" y fotos de pulmones pusiesen "estás ayudando al gobierno con 2,30€" se acababa el fumar.
Sat Aug 15 09:25:30 PDT 2015 --  Las pestañas de los anuncios de rimmel cada vez son más largas. Ya me veo el próximo anuncio: limpia tu casa en un abrir y cerrar de ojos.
Sat Aug 15 10:02:48 PDT 2015 --  Un hombre lobo, ¿va al medico o al veterinario?
Wed Aug 20 14:31:42 PDT 2014 --  Así de claro pic.twitter.com/oGzsfrOUhN
Thu Aug 06 14:26:41 PDT 2015 --  A final d'estiu tinc millor saque que Nadal en el tenis gràcies a les espardenyaes que pegue per les nits pa matar els mosquits.
Wed Aug 12 03:31:55 PDT 2015 --  Castellà: Abuela, échale bastante pollo a la paella y conejo y costillitas. Qué esté bien cargadita de verdura. Valencià: TIRA-LI CONDUMIO!
Sat Aug 15 07:38:17 PDT 2015 --  I els que diuen: "pues jo amb mitja horeta de siesta vaig bé", ¿No són per partir-li bat de beisbol a l'esquena?
Sun Aug 02 05:32:42 PDT 2015 --  Trobar una empresa que t'agafe el currículum VS Aparcar a Cullera a l'Agost. Round 1. ¡FIGHT!
Mon Aug 03 09:40:18 PDT 2015 --  M'acaba d'arribar la carta de La llum del mes de juliol vaig a obrir-la, si no torne recordeu-me com un tio humil i simpàtic.
Mon Aug 03 03:51:43 PDT 2015 --  ●Que te cante el sobaco. ●Pasar-te el Shazam per el sobaco. ●Que t'isga la discografía sansera del Alejandro Sanz.
Sat Jun 20 07:52:51 PDT 2015 --  Menudo concurso el de longitud chicos!!! #Cheboksary2015 #LongjumpM
Thu May 28 10:54:06 PDT 2015 --  MINIMA MUNDIAL de @carlosml99 en el 2000 obstaculos con 5:56 sobrandole 5 segunditos... Y corriendo solo. 🏾 pic.twitter.com/qmx249QPlK
Thu Oct 30 10:14:03 PDT 2014 --  La belleza natural de Noruega.. pic.twitter.com/IrG3srDIV9
Fri Dec 12 06:15:09 PST 2014 --  -Mamá cierra la puerta al salir. +Vale. pic.twitter.com/JNqC5XrBYS
Tue Oct 14 13:29:47 PDT 2014 --  Compra un viejo autobús, remplaza los asientos por camas y hazte el viaje de tu vida con tus mejores amigos. pic.twitter.com/WwwLj8GnPO
Sat Oct 04 12:51:15 PDT 2014 --  En casita después de la fantastica tarde de carrera popular con @GuillemTapia y #josep felicidades @GuillemTapia pic.twitter.com/bmgKOQY7zG
Sat Jun 28 04:11:15 PDT 2014 --  Açò si, però quant vages a pisar alça la tapa. pic.twitter.com/Z0YKUvsMdf
Sat Jun 28 04:22:48 PDT 2014 --  ¿Desde quant els gosos saben escriure? pic.twitter.com/R82Muwx7LZ
Sat Jun 07 14:54:10 PDT 2014 --  -HIJO PONTE A ESTUDIAR QUE NO HAS HECHO NADA EN TODA LA TARDE. -PERO SI ACABAS DE LLEGAR A CASA. pic.twitter.com/qdZi0wwLLY
Fri Jun 27 05:34:39 PDT 2014 --  Cuando decía que la FIFA era una secta vosotros no me creíais. pic.twitter.com/WtMjRyF9vV
Mon Jun 23 06:29:53 PDT 2014 --  "Millor demanar perdó que permís."
Tue Jun 17 08:39:12 PDT 2014 --  #RideAndSeek
Wed Jun 11 07:31:59 PDT 2014 --  La gente está muy mal... JAJAJAJAJAJAJA http://vine.co/v/h6XFjexK1rV 
Tue Jun 10 12:20:24 PDT 2014 --  Ya me has demostrado quién eres realmente. Y por mí, ya puedes largarte.
Mon Apr 14 09:48:33 PDT 2014 --  Tengo envidia de quien te abraza; porque en ese momento esa persona tiene toda mi vida en sus brazos.
Wed Jun 04 14:49:56 PDT 2014 --  Yo que tú.... no saltaba. pic.twitter.com/2vMQyApojB
Thu Jun 05 06:25:33 PDT 2014 --  Selfie del futuro. pic.twitter.com/VO5bK649XG
Thu Jun 05 11:48:30 PDT 2014 --  WIN pic.twitter.com/4KllztQvYF
Mon Jun 09 06:57:59 PDT 2014 --  –Tengo hambre. –¿De qué? –De tus labios, para besarte como si no hubiese mañana. –Ayyy ¿En serio? –No, pásame esas galletas.
Mon Apr 21 05:07:54 PDT 2014 --  una intensa lucha en el barrio pic.twitter.com/pfzblKG0ct
Thu Jun 05 09:40:29 PDT 2014 --  -¿Cómo te ha ido el examen? -Ha sido coser y cantar. -¿Sabes coser? -No. -¿Y cantar? -Tampoco. -Vale, entiendo.
Fri May 30 11:27:04 PDT 2014 --  Por favor... pic.twitter.com/AZ5IrRgSZF
Mon Jun 02 09:39:13 PDT 2014 --  Hoy vi... pic.twitter.com/Bnatxb3WW0
Mon Jun 02 21:46:17 PDT 2014 --  En persona... pic.twitter.com/qoinTAmpfG
