Sat Aug 15 15:55:50 PDT 2015 --  https://www.youtube.com/watch?v=DIlXl03BNoQ … OK, nächstemal in Nähe, für ich dich rum Boss
Wed Feb 18 05:05:04 PST 2015 --  Es gibt zwei Arten von Männern: Die, die ich mag und die, die mich mögen.
Tue Aug 04 15:53:20 PDT 2015 --  Sommer 30Grad Und ich bin Erkältet
Sun May 31 22:49:50 PDT 2015 --  Bist du bereit Follower zu verlieren twitterst du richtig!
Mon Aug 03 04:42:55 PDT 2015 --  Den richtigen Partner zu finden ist wie ein Sechser im Lotto. Man sollte danach aber aufhören, Lotto zu spielen.
Sat Aug 01 02:23:06 PDT 2015 --  Dieses Posting wurde auf FB 17 000 mal geteilt ! Offener Brief an Til Schweiger Einfach mal lesen ! pic.twitter.com/E9hTgxrXxP
Sun Aug 02 12:55:43 PDT 2015 --  pic.twitter.com/GzZfuems2z
Sun Aug 02 12:54:46 PDT 2015 --  pic.twitter.com/re8lQAvn6Y
Wed Jul 29 14:14:42 PDT 2015 --  Müde Kaputt Gute Nacht
Sun Jul 26 16:17:47 PDT 2015 --  pic.twitter.com/8B27HcI7TP
Sun Jul 26 13:08:39 PDT 2015 --  pic.twitter.com/A3L9Vj4mOy
Fri Jul 17 11:37:04 PDT 2015 --  Das Motto des Jahres... pic.twitter.com/qaFLTkzGmk
Sat Jul 25 15:01:46 PDT 2015 --  pic.twitter.com/dIeqNtTzTv
Sat Jul 25 15:01:22 PDT 2015 --  pic.twitter.com/TU5EisDyGq
Sat Jul 25 15:00:21 PDT 2015 --  pic.twitter.com/UdUfybNLKx
Sat Jul 25 14:59:59 PDT 2015 --  pic.twitter.com/LkVtupgYEo
Fri Jul 24 13:47:58 PDT 2015 --  pic.twitter.com/gZnxW7AfWH
Fri Jul 24 13:44:46 PDT 2015 --  pic.twitter.com/kl5VAOXmkw
Fri Jul 24 13:40:58 PDT 2015 --  pic.twitter.com/Leg8760opA
Fri Jul 24 12:48:56 PDT 2015 --  Gut das hier keiner meine Rechtschreibfehler/ Tppfehler merkt. :)
Fri Jul 24 12:39:15 PDT 2015 --  Nie nach unten schauen pic.twitter.com/jMa3BVuuGd
Fri Jul 24 12:38:33 PDT 2015 --  pic.twitter.com/ld1ue1A0f1
