Fri Aug 28 15:41:43 PDT 2015 --  Motif Band - Tuhan Jagakan Dia with lirik https://youtu.be/o8NGPOgLrL8  via @YouTube
Fri Aug 28 03:59:13 PDT 2015 --  Papinka - Luka Hatiku - Official Lyric Video https://youtu.be/KfoZMN_EUWg  via @YouTube
Mon Aug 24 16:09:48 PDT 2015 --  hari selasa buat gue hari yg menyebalkan
Sat Aug 22 19:49:20 PDT 2015 --  SELAMAT HUT RI KE 70 THN
Tue Aug 18 02:29:09 PDT 2015 --  ya allah lindungi sahabatku tersayang tercinta wahyu meganata
Sun Aug 16 00:39:07 PDT 2015 --  demgan mengucapkan bismillahhirohmanirohim mari sambut dirgahayu ri ke 70 tahun semoga bagsaku tanah airku menjadi tambah usia
Fri Aug 14 04:27:58 PDT 2015 --  tuhan jagalah sobatku tercinta
Fri Aug 14 02:51:33 PDT 2015 --  yank kpan kita jadian
Thu Aug 13 14:42:40 PDT 2015 --  pic.twitter.com/mhRyaLWdjc
Thu Aug 13 06:43:00 PDT 2015 --  tidur dulu besuk kembali berakifitas kembali
Thu Aug 13 06:42:15 PDT 2015 --  pic.twitter.com/HKzo7zfkw4
Thu Aug 13 00:12:36 PDT 2015 --  pic.twitter.com/SlRcLfWXmH
Thu Aug 13 00:05:55 PDT 2015 --  like this instagram saya ya
Thu Aug 13 00:02:32 PDT 2015 --  subbahanaulloh sungguh indah kekuasaanmu ya allah pic.twitter.com/wPAvwXZqjk
Thu Aug 13 00:00:08 PDT 2015 --  aku hari ini kok galau to mikirin temanku wahyu yg hari ini sakit teman teman mohon doanya ya semoga temanku wahyu cepat sembuh ya
Wed Aug 12 23:54:33 PDT 2015 --  ya allah sembuhkan teman hamba wahyu meganata semoga bisa bercanda lagi amiin
Wed Aug 12 23:52:34 PDT 2015 --  tanda cinta untukmu sayang pic.twitter.com/XEIueVLRgO
Wed Aug 12 23:51:32 PDT 2015 --  mendadak narsis di depan cermin pic.twitter.com/oav8TZd3GA
Wed Aug 12 23:43:42 PDT 2015 --  hallo bagaimana kabarnya hari ini sehat
