Fri Aug 28 23:53:46 PDT 2015 --  Top 10 Ways to Improve Your Communication Skills http://lifehacker.com/top-10-ways-to-improve-your-communication-skills-1590488550 …
Fri Aug 28 23:46:20 PDT 2015 --  vodafone 4G LTE services to be launched by December 2015, to expand 3G footprint @VodafoneIN http://dhunt.in/x19w 
Fri Aug 28 23:43:57 PDT 2015 --  Top 5 Missing Features in Microsoft #Windows10 http://dhunt.in/x6w3 
Fri Aug 28 21:16:59 PDT 2015 --  Smiling is always easier than explaining why you're sad... #Lifefacts
Fri Aug 28 20:58:07 PDT 2015 --  Grab your phone and capture every moment because great moment won't wait for you... #mobilephotography
Fri Aug 28 12:04:27 PDT 2015 --  #vaathiyaru #superstar #thala #str @iam_str https://instagram.com/p/68ChmexLEo/ 
Fri Aug 28 11:54:23 PDT 2015 --  #prayer #best #painkiller #Islamicviews https://instagram.com/p/68BYMIxLCe/ 
Fri Aug 28 03:36:30 PDT 2015 --  Toughest situation and most toughest part of my life I have ever seen,, lets see what my fate is... Allah is greatest
Thu Aug 27 01:50:38 PDT 2015 --  Met the Legend #Goundamani Sir Long time dream..One hour wit him was hilarious pic.twitter.com/tQruHUg8Uq
Mon Aug 24 21:39:35 PDT 2015 --  One & only Politician who never knows to hide his feelings anywhere at any situation. There Remains best. #HBDCaptain
Mon Aug 24 21:27:58 PDT 2015 --  #Legend of #Comdiean #Goundamani is Back My All time #Favorite #Real #ComedySuperstar https://twitter.com/my_tweeps/status/636010038654468096 …
Wed Aug 19 03:39:17 PDT 2015 --  Real #Love Starts when the #Couples Realises that If you agree, RT
Tue Aug 18 01:57:18 PDT 2015 --  Important Announcement #IOB @my_tweeps @Hamimrocks @AnasahamedB @irfanmajeed91 @AmeerImran01 @jaffersheik pic.twitter.com/9VwDKlPS8h
Mon Aug 17 23:15:41 PDT 2015 --  Welcome, #AndroidMarshmallow https://twitter.com/Android/status/633329252352438273 …
Mon Aug 17 08:45:02 PDT 2015 --  Guess who’s excited for the arrival of Android M? (More excitement coming soon: http://youtube.com/natandlo  #natandlo) pic.twitter.com/7oQOR6WIDp
Mon Aug 17 06:02:18 PDT 2015 --  #Thala - This single word promoted many films #Truefact https://twitter.com/igtamil/status/633234934199554048 …
Sun Aug 16 07:40:18 PDT 2015 --  سبحان الله SubhanAllah الحمد لله Alhamdulillah لا اله الا الله La ilaha illalah الله اكبر Allahu Akbar
Sun Aug 16 05:40:04 PDT 2015 --  The most beautiful part about praying is that Allah can feel your pain while at the same time fix it.
Sat Aug 15 22:33:00 PDT 2015 --  It’s now possible to build apps for the Universal Windows Platform with @VisualStudio 2015! Learn more: http://spr.ly/6016BGTt4 
Fri Aug 14 19:32:03 PDT 2015 --  Wishing all my Fellow Indians, a very #HappyIndependenceDay May this day bring Unity, Progress, Happiness & Prosperity to all
Thu Aug 13 17:10:57 PDT 2015 --  Ameen https://twitter.com/Alhamdhulillaah/status/631704278655221760 …
Thu Aug 13 04:05:24 PDT 2015 --  Start your day with Bismillah, and end your day with Alhamdulillah.
Thu Aug 13 11:59:55 PDT 2015 --  Prophet Mohammad ﷺ said: "He who sends blessings on me once, Allah sends him blessings ten times". [Muslim, Abu Dawud, & Tirmidhi]
Thu Aug 13 09:12:45 PDT 2015 --  All the best for @arya_offl and @iam_str #VSOP #Vaalu #success
Wed Aug 12 17:05:03 PDT 2015 --  I'm waiting for getting #Windows10 Upgrade Notification... https://twitter.com/my_tweeps/status/631538523850452992 …
Mon Aug 10 12:33:40 PDT 2015 --  #experiences pic.twitter.com/AYCYFzaaiT
Wed Aug 12 02:02:56 PDT 2015 --  #Retweet #IslamicViews pic.twitter.com/3UHGM0MdUW
Fri Aug 07 05:23:59 PDT 2015 --  Capture on @sonyxperia #Z1Compact #Backgrounddefocus Mode Captured By @iam_ashik pic.twitter.com/r1m3B33nAa
Thu Aug 06 23:31:05 PDT 2015 --  Well said https://twitter.com/iam_str/status/629339974228398081 …
Thu Aug 06 21:30:02 PDT 2015 --  #JummaMubarak To all the Muslims Remember me in your prayers Have a nice day
Thu Aug 06 11:33:40 PDT 2015 --  Life is too hard at times :) Some lesson behind for sure!
Thu Aug 06 09:41:54 PDT 2015 --  I'm watching Eng bowl out Aus for 60 in 18.3 overs http://www.hotstar.com/#!/eng-bowl-out-aus-for-60-in-18-3-overs-2001438257-p … via @hotstartweets
Thu Aug 06 07:33:03 PDT 2015 --  For the first time in Ashes history Extras (14) is the top scorer.. #Ashes2015 pic.twitter.com/IeMZZDMX31
Wed Aug 05 05:27:32 PDT 2015 --  #Yatchan music is making waves. @thisisysr made a strong comeback. Melodious "Innum Enna Azhagu" sung by #Yuvan best. pic.twitter.com/fpAo6b2K9d
Wed Aug 05 05:22:55 PDT 2015 --  Well said bro :) https://twitter.com/refyihere/status/628778656677036032 …
Tue Aug 04 05:22:38 PDT 2015 --  Be happy with the little that you have. There are people with nothing that still manage to smile :)
Tue Aug 04 05:21:15 PDT 2015 --  Ameen https://twitter.com/DrBilalPhilips/status/625986749152538624 …
Tue Aug 04 05:19:37 PDT 2015 --  We must never forget that every door that closes is a redirection to something that is better for us :)
Tue Aug 04 05:18:48 PDT 2015 --  Never trust your tongue when your heart is bitter.
Tue Aug 04 05:09:37 PDT 2015 --  Sometimes it takes the worst pain to bring about the best change. #AshikQuotes
Mon Aug 03 19:40:53 PDT 2015 --  Lol https://twitter.com/my_tweeps/status/628309955335057408 …
Mon Aug 03 08:33:56 PDT 2015 --  Asusal #Yuvan music rocking... https://twitter.com/thisisysr/status/628076405268451328 …
Mon Aug 03 08:30:38 PDT 2015 --  Alhamdulillah after a long time heavy rain in hometown
Sun Aug 02 21:32:51 PDT 2015 --  23 Years Of Hard Work ! Never Bent In front of Any 1 ! Faced many Failures & Tasted Many Victories #23YearsOfAJITHISM
Sun Aug 02 13:02:35 PDT 2015 --  Windows 10 upgrade email scam could result in hackers taking over your PC http://phon.es/1i8br  pic.twitter.com/TEiQHk4Mz8
Sat Aug 01 11:31:19 PDT 2015 --  Always Love your Friends from heart, Not from your need ... Happy friendship day :)
Mon Jul 27 08:46:45 PDT 2015 --  Former President and India's 'Missile Man' Dr. APJ Abdul Kalam passes away " Inna lillaahi wa inna ilayhi Raaji'oon "
Sun Jul 26 18:46:16 PDT 2015 --  Spread more love than hate. #SpreadLove
Fri Jul 24 22:14:05 PDT 2015 --  மாற்றத்தை வெளியில் தேடாமல் உங்களுக்குள் தேடினால் தாழ்வு மனப்பான்மையை எளிதில் போக்கி விடலாம்..!!
Fri Jul 24 11:11:33 PDT 2015 --  We should know how to respect others so that we may get it back without asking. #RefyiQuotes
Fri Jul 24 06:47:27 PDT 2015 --  I don’t have time to hate people,who hate me.because, I’m too busy in loving people who love me. #SpreadLove
Wed Jul 22 11:59:20 PDT 2015 --  Don’t change for someone to like you, be yourself and the right people will love you. #AshikQuotes
Wed Jul 22 11:44:05 PDT 2015 --  Try to learn something about everything and everything about something. #AshikQuotes
Wed Jul 22 11:41:26 PDT 2015 --  Honesty is very expensive gift. Do not expect it from cheap people. #AshikQuotes
Wed Jul 22 11:29:41 PDT 2015 --  Success is never achieved by the size of our brain but it is always achieved by the quality of our thoughts. #AshikQuotes
Wed Jul 22 11:21:38 PDT 2015 --  Do not betray the one who betrays you. #IslamicViews
Wed Jul 22 11:20:41 PDT 2015 --  Love for other people what you love for yourself #IslamicViews
Tue Jul 21 20:23:13 PDT 2015 --  Inception: Exchange Server Interview Questions & Answers http://inceptionforall.blogspot.com/2015/07/exchange-server-interview-questions.html?spref=tw …
Tue Jul 21 10:03:56 PDT 2015 --  @iam_ashik wahoo excited to see the Ashik with the #Windows10 Badge
