Thu Jul 16 08:15:03 PDT 2015 --  ㅤ ㅤㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ I LOVE GOD ㅤ ㅤ ㅤㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤㅤRETWEET IF YOU DO!
Tue Aug 18 14:59:47 PDT 2015 --  Babcock university now wants music students to pay almost 1million naira per session. Are they getting Grammy awards each after graduating?
Fri Aug 14 03:17:04 PDT 2015 --  It's the day we've all been waiting for .......... FRIDAY
Fri Aug 14 00:23:08 PDT 2015 --  RT if You're African and Proud #FUTATriStars15_VideoShoot
Thu Aug 13 09:19:28 PDT 2015 --  You've not tasted Jollof Rice + Icing? O_O mhen! People are missing
Thu Aug 13 09:03:41 PDT 2015 --  Be BOLD and daring when you confront your GIANTS knowing that you have heaven’s backing. #GiantKiller
Sun Aug 09 02:19:29 PDT 2015 --  RT if you see your class 2012 2013 2014 2015 2016 2017
Wed May 13 05:35:00 PDT 2015 --  Half naked girls are hot,while well dressed girls are beautiful...Hell is hot,while heaven is beautiful...the choice is yours...
Thu Aug 13 08:09:09 PDT 2015 --  Thank God for Yoruba mindss ohh!!
Thu Aug 13 08:06:50 PDT 2015 --  Ma lo fo ju oh!!!!( don't get blind ohh) pic.twitter.com/ozyUrcYw1G
Thu Aug 13 07:58:43 PDT 2015 --  Lemme tell u a very sad story, there was a guy working in the Samsung company,so one day as he ate his apple,HIS BOSS FIRED HIM. SMH
Thu Aug 13 07:56:53 PDT 2015 --  That annoying moment wen they slap u and they tell u not to cry
Thu Aug 13 07:56:04 PDT 2015 --  Me:*just got slapped* Senior:next time don't look me in the eye wen I'm talking to u Me:
Thu Aug 13 07:40:09 PDT 2015 --  Some people enh smh pic.twitter.com/oCUCRuUGZ7
Thu Aug 13 05:58:17 PDT 2015 --  To all my haters look below pic.twitter.com/GUiW9PqDt6
Thu Aug 13 05:54:59 PDT 2015 --  I'm really bored and I want to have at list 32k tweets before I stop tweeting
Thu Aug 13 05:53:07 PDT 2015 --  Tomorrow's FRIDAYYYYYYY!!!!!!
Wed Aug 12 12:49:09 PDT 2015 --  LMAOOOOOOOOOOOOOOOOOOOOOOOOOOO https://twitter.com/SpeakComedy/status/631552494947074048 …
Tue Aug 11 13:49:51 PDT 2015 --  Who badder? RT for Beyoncé Fav for Kim K pic.twitter.com/7HtzOwi3iW
Tue Aug 11 05:55:28 PDT 2015 --  This photo. Only the earpiece is original " @misjayyy: Lol.. They will fire me lass lass pic.twitter.com/0G2trcXcGE"
Sun May 31 07:25:44 PDT 2015 --  F R I E N D S C O M E A N D G O, B U T J E S U S C O M E S T O S T A Y. #RT
Sat May 09 03:07:03 PDT 2015 --  Our parents wont bury us IJN... RT And Claim It
Thu Jun 04 12:50:15 PDT 2015 --  RT if you need this in your life rn pic.twitter.com/XZYLVjZpad
Sun Jun 28 04:08:11 PDT 2015 --  I bought Meat-Pie in Ibadan and discovered it had only Ponmo inside. Ibadan people, why??
Sat Jul 11 01:29:37 PDT 2015 --  If Nickelodeon was Calabar.... Nickelodiong
Tue Jul 14 03:53:51 PDT 2015 --  The way Nigerian parents pronounce "Whats app" Wazzap Whatszap Wasssap Whassapu Whatsapping Waxxap
Tue Jul 28 10:11:00 PDT 2015 --  When you know God gat you ... RT pic.twitter.com/84rI7H3lbf
Tue Jul 28 10:40:45 PDT 2015 --  Me: My fav view My Crush: Wish i could be here with my crush Me: Who is your Crush? My Crush: Korede Bel... Me: pic.twitter.com/AAl7pmegSX
