Thu Aug 13 16:52:19 PDT 2015 --  ): ughhhhhhhh
Thu Aug 13 16:52:13 PDT 2015 --  Just got my nails done and dude did my glitter so bad pic.twitter.com/8pBqPST4dS
Thu Aug 13 16:22:19 PDT 2015 --  I love you jumex pic.twitter.com/PauQGS5AdC
Wed Aug 05 12:18:24 PDT 2015 --  Chewie! https://twitter.com/theanimalvines/status/627913333639753728 …
Wed Aug 05 12:17:55 PDT 2015 --  
Tue Aug 04 23:00:13 PDT 2015 --  Jupiter, Venus, the Moon, and Los Angeles. Gorgeous. pic.twitter.com/wDXW9qA6WS
Mon Aug 03 15:18:26 PDT 2015 --  how are you going to eat the fruits and spit out the pomegranate seeds? Separate it? Why mix it in the first place.. https://twitter.com/fitdaiiy/status/628326135974248448 …
Fri Jul 31 21:01:12 PDT 2015 --  Sometimes guilt is so strong that you cannot outlive it
Thu Jul 30 22:12:38 PDT 2015 --  #blessed #Lammas #Lughnasadh #Lugh #Danu It's a poke berry plant by the way ;) #pokeweed pic.twitter.com/2X14JHX85W
Thu Jul 30 22:08:54 PDT 2015 --  Pokeberry #magick #herbs really it's a weed. Can't wait to make ink when these are ripe! pic.twitter.com/H1dqmUWS1K
Thu Jul 30 22:07:18 PDT 2015 --  Nature art is the most https://twitter.com/funny_truth/status/572901806889574400 …
Tue Jul 28 09:56:16 PDT 2015 --  Photo: swagbabii333: #eattinggood #getlikeme #fresherthenyou #bossy #trapqueen So I’m a chocolate covered... http://tmblr.co/Z3pbkx1qgaPuh 
Mon Jul 27 20:02:10 PDT 2015 --  Just because you made bad chicken doesn't mean you can't take care of your family. It's gonna be ok
Tue Jul 21 08:19:06 PDT 2015 --  I just saved on Huggies® Wipes. Click the link so you can too! https://secureimg.revtrax.com/RevTrax/rd/25c7c427-8192-453c-8fc7-d36eca753929 …
Sun Jul 19 18:55:17 PDT 2015 --  Her name is jalea like juh-lee-uh :/
Wed Jul 15 21:39:44 PDT 2015 --  I love this stuff! The bombshell butter is amazing https://twitter.com/prunable/status/585227582620172288 …
Wed Jul 15 21:35:25 PDT 2015 --  Well it tastes like I licked lotion - and the lotion is good for me oops
Mon Jul 13 20:52:31 PDT 2015 --  Also Abelardos for life.
Mon Jul 13 20:51:59 PDT 2015 --  It bothers me when I see ppl walkin in skinny jeans, a hoodie, sneakers and a hat. Theres a heat index of 114 degrees wtf is wrong with you
