Sat Aug 29 01:22:58 PDT 2015 --  Is it really Friday if you don't have a couple drinks?
Thu Aug 27 06:49:51 PDT 2015 --  #ThrowbackThursday to the most savage block in NBA History #ShannonBrown https://vine.co/v/ejnlUlHq0dT 
Wed Aug 26 21:56:03 PDT 2015 --  I have serious respect for those full time students with a full time job! One week at the shit latch, and I need a couple hunnid beers
Wed Aug 26 10:41:31 PDT 2015 --  This is why white people act black pic.twitter.com/zFa5Vgai8I
Sun Aug 23 17:24:16 PDT 2015 --  The worst emotion is regret...
Sat Aug 22 21:56:30 PDT 2015 --  I might have went 1-1 in my basketball tourney today but I know I drank more beer tonight then the team I lost to so that's a win right?
Sat Aug 22 08:08:00 PDT 2015 --  CDA shootout today! We bout to get buckets Show starts at 10am!
Thu Aug 20 23:15:23 PDT 2015 --  When you can't fall asleep because your addicted to SOA, but you have to work in 3 hours! looks like I'll be taking a nap in a dryer today
Thu Aug 20 19:17:35 PDT 2015 --  If you're my beer pong partner we are running tables...No ifs, ands, or buts
Thu Aug 20 20:07:10 PDT 2015 --  Process these words of wisdom! To survive Kick like a mule and fart like a Grizzly Bear- by some drunk guy who stopped at the SM hoops
Wed Aug 19 16:19:42 PDT 2015 --  When your inept commish held your draft too early and you drafted Kelvin Benjamin https://vine.co/v/Mz5xE33Y2MJ 
Wed Aug 19 08:19:02 PDT 2015 --  If Jordan made condoms, I bet guys would wear them more.
Mon Aug 17 21:40:12 PDT 2015 --  Couldn't think of anything better to do today so I decided I would work at the mill for 16 hours... What a terrible idea that was
Mon Aug 17 06:37:58 PDT 2015 --  I know it's going to be an aweful week when I start Monday off waking up early, and pouring a bowl of cereal.... But NO milk in the fridge
Sat Aug 15 22:46:34 PDT 2015 --  Sometimes it's really hard to stay strong...
Sat Aug 15 14:17:57 PDT 2015 --  The Suns have a 1 outta 10,000 chance of winning the finals this year... So there's a chance Phoenix is bringing the home
Fri Aug 14 20:15:05 PDT 2015 --  I take beer pong very seriously
Fri Aug 14 18:20:55 PDT 2015 --  I THOUGHT THIS VIDEO WAS JUST GOING TO BE WHITE GIRLS DANCING WTFFFFFF pic.twitter.com/4SAyOFKdAu
Tue Aug 11 16:05:08 PDT 2015 --  The gym is my girlfriend, failure is my ex. I'm married to the game and engaged to success.
