Thu Aug 27 16:36:32 PDT 2015 --  Really miss being a kid when I didn't care about anything
Thu Aug 27 08:16:13 PDT 2015 --  Happy happy birthday @kelly_baker97!! I miss you and love you! Have an amazing day
Sun Aug 23 19:25:03 PDT 2015 --  Can't imagine this summer without you two in it, I'm truly blessed @LeahThompson02 @Katie_M_Greene pic.twitter.com/dpo9fPQy44
Sun Aug 23 19:16:05 PDT 2015 --  Stress level: princess Mia driving the stang pic.twitter.com/EA41AEomLj
Fri Aug 21 10:43:45 PDT 2015 --  Happy birthday @kristen_ervin!! I hope your day is as fabulous as you are, I love you don't hate me pic.twitter.com/xKBKsExXyH
Thu Aug 20 19:30:17 PDT 2015 --  Happy birthday @MaryGeorge00!! I hope it's great, love ya girly
Tue Aug 18 20:34:54 PDT 2015 --  I CANT EVEN https://vine.co/v/ei3aBMWMTzj 
Thu Aug 13 16:10:49 PDT 2015 --  Girls who are excited about football season ain't weird. They're a rare gift from God. Those girls get bigger diamonds. Merica.
Sat Aug 08 10:02:40 PDT 2015 --  Dowdy-Ficklen Stadium - East Carolina University: Greenville, North Carolina (via @kfern_ ) pic.twitter.com/kjWk24qLv3
Mon Aug 03 06:32:49 PDT 2015 --  Happy birthday @Gletch4!! I hope it's great, love you
Wed Jul 29 04:33:04 PDT 2015 --  "But I say unto you, love your enemies, and pray for those who persecute you" Matthew 5:44
Thu Jul 23 19:06:52 PDT 2015 --  Happy birthday @icginn14!! I hope it's been a good one, love ya
Sun Jul 19 14:39:08 PDT 2015 --  YES https://twitter.com/club_stilllife/status/622072130281295873 …
Mon Jul 13 18:27:54 PDT 2015 --  If you're not obsessed with Friends we aren't friends
Sun Jul 12 13:38:54 PDT 2015 --  ptl https://twitter.com/cloydrivers/status/619937169726119937 …
Sat Jul 04 18:00:48 PDT 2015 --  4th of July goals since 2006 pic.twitter.com/2zIiv7jwLK
Fri Jul 03 20:15:00 PDT 2015 --  Happy birthday gorgeous! I hope your day has been great @makenziesasnett
Fri Jul 03 10:13:26 PDT 2015 --  Yesterday was much needed @Katie_M_Greene @kristen_ervin pic.twitter.com/FvuWak7vMZ
Mon Jun 22 03:54:03 PDT 2015 --  Ready to see Bae tonight pic.twitter.com/3WHwB3f57s
Sun Jun 21 19:43:38 PDT 2015 --  HFD to the best of them all. Even though we annoy each other constantly, I wouldn't have it any other way, ily pic.twitter.com/idjHBjx6zU
Sun Jun 21 18:20:02 PDT 2015 --  Congratulations to the Rawlings Prospects 15's for winning the 15U IMPACT World Series! pic.twitter.com/emm6spbwmo
Wed Jun 17 15:32:59 PDT 2015 --  You make loving you easy, you make loving you all I wanna do
Fri Jun 12 18:25:06 PDT 2015 --  What do u watch on Netflix after you've watched oth, gossip girl, tvd, and friends?¿?
Fri Jun 05 11:43:00 PDT 2015 --  Happy birthday @RileySasser! I hope it's great
Mon Jun 01 05:24:16 PDT 2015 --  Happy birthday @jlynch_42!! I hope your day is great, I love ya
Sat Aug 09 18:40:39 PDT 2014 --  pic.twitter.com/l7LNlRlVzd
Fri May 29 08:55:53 PDT 2015 --  Happy birthday @acsmith2585!! I love you and I hope your day is fabulous like you
Thu May 21 18:18:13 PDT 2015 --  So proud of you and all of your accomplishments. I'm gonna miss you so much next year @lukejackson21 pic.twitter.com/MUkVaSeDce
Tue May 19 05:24:50 PDT 2015 --  When it's game day af #letseat #etg #n4ye pic.twitter.com/xX7XPqZoNk
Sun May 10 16:57:09 PDT 2015 --  When bae thinks she's funny pic.twitter.com/DYOBDAlpZc
Sun May 10 13:04:26 PDT 2015 --  Happy Mother's Day to my beautiful mommy! I love you so much, and I don't know where I'd be without you pic.twitter.com/rT6TK7cvdj
Fri May 01 06:25:23 PDT 2015 --  The only thing that has gotten me through this hectic week is the fact that prom is tomorrow
Tue Apr 14 20:05:36 PDT 2015 --  when girls watch sad movies pic.twitter.com/p8JdP02ACb
Tue Apr 28 06:32:56 PDT 2015 --  When your dad is immature pic.twitter.com/nqh1wlblsZ
Mon Apr 27 17:31:11 PDT 2015 --  one person unfollowed me // automatically checked by http://fllwrs.com 
Mon Apr 27 17:26:44 PDT 2015 --  Just bc prom is right around the corner and I don't know what I'd do without you pic.twitter.com/eam9Zxok2t
Sat Apr 25 19:06:16 PDT 2015 --  Is it impossible to have fun without drinking?
Wed Apr 22 13:48:16 PDT 2015 --  Slow as the Mississippi, strong as a fifth of whiskey, steady as a Tom Petty track, I wanna love, wanna love you like that
Sat Feb 21 12:10:15 PST 2015 --  She ran like Frozone from the incredibles pic.twitter.com/zLT1JOFPeg
Tue Apr 14 20:06:18 PDT 2015 --  Shoutout to da bae on his first homerun this seasonI love you and I'm so proud of you @lukejackson21
Mon Apr 13 20:57:45 PDT 2015 --  ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ pic.twitter.com/1JS2YuqK1i
Sun Apr 12 12:10:55 PDT 2015 --  Dad: Brandon, I know what you don't have Brandon: What? Dad: Deez nuts @pappotter5
Sat Apr 11 20:34:09 PDT 2015 --  HBD @LukeTaylor2123 & @JakeTayor_7!! Hope it's been great
Fri Apr 10 17:39:26 PDT 2015 --  When bae doesn't want to watch Friends with you @lukejackson21 !!!! pic.twitter.com/UOXLUwXIhz
Fri Apr 10 12:49:47 PDT 2015 --  Happy birthday beautiful I hope it's great!! @maysay_croom
Tue Mar 31 05:25:13 PDT 2015 --  Happy birthday mommy! I hope your day is great and I can never thank you enough for everything you do for me. I love you @jarman_becky
Thu Mar 26 15:28:11 PDT 2015 --  Forever in debt to @icginn14 for introducing me to this dime piece @_itsRyles pic.twitter.com/8VoE1ZFOsg
Fri Mar 13 05:58:44 PDT 2015 --  Happy birthday @_itsRyles Love ya! pic.twitter.com/jbyF3fW6e0
Thu Mar 12 16:28:25 PDT 2015 --  Happy bday Sue!! Here's an embarrassing pic of us, thx for always making volleyball enjoyable ily @ImSueee pic.twitter.com/FHb9DzJ4Oy
Wed Mar 11 17:30:50 PDT 2015 --  Hey @lukejackson21
Wed Mar 11 06:33:13 PDT 2015 --  Happy birthday @kamrynwoodward!! I love yew and hope your day is great
Mon Mar 02 18:57:22 PST 2015 --  Kristen spitting bars @kristen_ervin pic.twitter.com/f3UzYPRDHJ
Mon Mar 02 14:15:16 PST 2015 --  A great workout and the tanning bed makes for a good day
Tue Feb 24 20:15:40 PST 2015 --  “ @UrbanCraziness: the pioneers used to ride these babies for miles pic.twitter.com/qtQvmLiXB8” @_itsRyles
Mon Feb 23 14:42:45 PST 2015 --  “ @lcpsnc: Two-hour day for LCPS Tuesday, Feb. 24, due to a forecast calling for chance of snow.” !!!!!
Mon Feb 23 07:39:19 PST 2015 --  one person followed me // automatically checked by http://fllwrs.com 
Fri Feb 20 12:02:52 PST 2015 --  Oh my.. @ImSueee @Katie_M_Greene @MeganLanier2 @hayy_itsAlly http://timehop.com/c/ftp:152607024796423:608214602595381:6852904:5720f … pic.twitter.com/4GmUu89k5B
Thu Feb 19 19:16:55 PST 2015 --  Vampire Diaries keeps getting me into my feelings
Fri Feb 13 09:29:04 PST 2015 --  Happy birthday pretty girl!! I hope your day is nothing but amazing, love u @whitletchworth
Thu Feb 12 16:54:12 PST 2015 --  Kinston's revitalization on Caswell Street: Kinston's working to make its downtown a destination for people wh... http://on.wnct.com/19drtHA 
Tue Feb 10 11:32:49 PST 2015 --  Wishing a happy birthday to this pretty girl!! I'm so thankful for you and our friendship, love you babe pic.twitter.com/xO0hqaqX0j
Tue Feb 10 07:34:07 PST 2015 --  HAPPY SASSY 17 to one of my best friends since day 1Here's an embarrassing tb to our bieber phase Ilysm pic.twitter.com/kOiI5Eo7JF
Mon Feb 09 18:07:23 PST 2015 --  Happy birthday sexi!! I hope your day has been awesome @alissamorgan
Thu Feb 05 18:56:37 PST 2015 --  “ @PrideofKinston: Big things for downtown Kinston! We can't wait to see what's next! pic.twitter.com/mAZFmdx6Lg”
Thu Feb 05 11:23:05 PST 2015 --  Happy birthday babe I hope your day has been gr8!! @Krista_Whitley
Fri Jan 30 18:33:33 PST 2015 --  S/O 2 the students at North Lenoir 4 showing me love & giving great reactions tonight. KHS won big & @B_Ingram13 did what he does #HoopState
Thu Jan 29 08:50:23 PST 2015 --  Love Thursdays bc Vampire Diaries!!!
Sat Jan 24 13:33:49 PST 2015 --  Dunk of the year #LUSOARDUNK https://vine.co/v/OTuTjOqPjtz 
Sat Jan 24 08:31:33 PST 2015 --  2 people followed me // automatically checked by http://fllwrs.com 
Fri Jan 23 20:25:25 PST 2015 --  “ @BWGotheem: Relationship goals.. pic.twitter.com/R6bpu1OLol” us in the future @lukejackson21
Thu Jan 22 12:38:59 PST 2015 --  Happy birthday @KaylaLeanneMoor!! I hope you've had a good day, love you
Thu Jan 22 10:56:59 PST 2015 --  When you catch a whiff of the person in front of you @kristen_ervin pic.twitter.com/d7bD1gvGfD
Mon Jan 19 06:01:17 PST 2015 --  Happy 50th birthday to my bestest friend!!@GJarmanPir8 Have an awesome day!! Love you!! pic.twitter.com/7ENOGX4F9U
Fri Jan 16 12:40:46 PST 2015 --  “@CommonWhiteGrls: "why don't you brush your hair?" http://vine.co/v/Ojz2qKWAub3 ” @_itsRyles our life
