Sat Aug 29 12:41:44 PDT 2015 --  Day 4 conquered!!! http://www.mapmyrun.com/workout/1143988099 …
Fri Aug 28 22:19:51 PDT 2015 --  As I have reverted the @Dodgers and @SFGiants wins and losses are almost mirrored this month!!! WTF!!!
Fri Aug 28 21:54:05 PDT 2015 --  I am blessed to be a loyal @Dodgers fan and to hear Vin Scully's iconic "It's time for dodger baseball!" Again in 2016 is truly remarkable!
Fri Aug 28 18:45:55 PDT 2015 --  I walked 2.09 mi with @MapMyRun. #walk #walking http://www.mapmyrun.com/workout/1142462013 …
Mon Aug 24 07:59:48 PDT 2015 --  Here’s #NBA2K16 worldwide premiere of #WINNING Pre-Order http://2kgam.es/PreOrderNBA2K16 . Spread the word! https://amp.twimg.com/v/cb720197-68c3-4a08-a1b8-e5c4bb95c5bf …
Thu Aug 27 11:23:15 PDT 2015 --  Day 2 in the books!!! http://www.mapmyrun.com/workout/1140892443 …
Wed Aug 26 14:23:45 PDT 2015 --  I just joined the @BMWUSA X1 Ultimate Fitness Xperience Challenge on @MapMyFitness. Join me! #X1 http://www.mapmyfitness.com/challenges/BMW/#/challenge …
Wed Aug 26 14:22:37 PDT 2015 --  I just accepted the Grape-Nuts Summer Summit Challenge on MapMyFitness. Are you in?
Wed Aug 26 14:20:59 PDT 2015 --  Day 1 of many http://www.mapmyrun.com/workout/1139481319 …
Tue Aug 25 11:45:34 PDT 2015 --  NBA has fined Clippers $250k for league violations while trying to re-sign DeAndre Jordan. http://es.pn/1JWJt9Z 
Mon Aug 24 17:44:41 PDT 2015 --  That's so Metta. The #Lakers are reportedly considering bringing back World Peace. http://tw.nbcsports.com/jBG  pic.twitter.com/nSPAXUoGpj
Sat Aug 22 12:45:34 PDT 2015 --  Who wants to bet Greinke pitches a no-no today?!? #payback #Revenge #CYYOUNGWORTHY
Fri Aug 21 22:42:13 PDT 2015 --  Idk who did what but all the people who believe breaking rules is fine because other people do it too is a shitty way to think.
Fri Aug 21 19:53:48 PDT 2015 --  We did get No-Hit.. But he did use pine tar pic.twitter.com/8C8NezzdWG
Fri Aug 21 20:53:25 PDT 2015 --  If you're getting a code for one of those pizzas unfollow me
Fri Aug 21 20:08:33 PDT 2015 --  As much as @DodgersNation likes its job, tweeting a no-hitter has to hurt a little! #toughgame
Fri Aug 21 19:58:10 PDT 2015 --  There's a lot of comparisons to the 2015 @Dodgers to the 1988 club but I'm not buying it... Or am I? Greinke=Hershiser got no-hit both years
Fri Aug 21 19:46:36 PDT 2015 --  I repeat... @Dodgers are the hardest team to be a convincing first place team!!! #whatisgoingon #youplaytowinthegame
Thu Aug 20 20:27:49 PDT 2015 --  Who agrees @ToyStory4Movie should be pg-13 cause let's be honest about 75% of the audience will be 13+.
Thu Aug 20 20:13:08 PDT 2015 --  Someone needs to create a business where investigators try to find the best match close to your area.
Wed Aug 19 00:19:03 PDT 2015 --  If @twitter was a physical place it would look similar to @LasVegas cause it never stops and there's an extent of obnoxious people.
Tue Aug 18 22:56:49 PDT 2015 --  Why the @Dodgers won't win another World Series!!! pic.twitter.com/36sdfSEZNe
Tue Aug 18 10:19:34 PDT 2015 --  I just realized the future of @twitter could be that it could actually read what we are thinking!!! #mindblown #mindreader
Mon Aug 17 16:03:01 PDT 2015 --  Shoutout to the first person who said vacuums suck. You the real pun legend. #legend #vacuumpun #therealest pic.twitter.com/eZyobAS5kP
Mon Aug 17 15:19:45 PDT 2015 --  Does anyone take the time to trip balls over the fact smart phones hold a lot more power than @NASA equipment on the moon 46 years ago!!!
Mon Aug 17 00:34:04 PDT 2015 --  Just wanted everyone to recognize me without a beard, cause its a'comin!!! #growingitout… https://instagram.com/p/6eexzPqm4D/ 
Sun Aug 16 21:13:21 PDT 2015 --  Does anyone else imagine @APPLEOFFIClAL making their key decisions off of a magic 8 ball?!? #magic8ball #askagainlater
Sun Aug 16 18:49:39 PDT 2015 --  #winning #suckstobeyou #coolerthantheotherside #oregon #hotLA pic.twitter.com/7Tq6p7pf6D
Sun Aug 16 16:39:33 PDT 2015 --  Not sure whose more in sync with each other synchronized swimmers or the @Dodgers and the @SFGiants wins and losses this month. #uncanny
Sat Aug 15 17:13:14 PDT 2015 --  i thought 2015 was going to be my year but clearly that ship has sailed
Sat Aug 15 13:41:05 PDT 2015 --  That moment when you've watched two @Mariners games... one was a no-hitter and the other they gave up 26 hits!!! #wtf #twilightzone
Sat Aug 15 13:21:56 PDT 2015 --  Can we stop calling salsa salsa and call it by its true name... Mexican soup. #mexicansoup #mexico #yummy
Sat Aug 15 11:19:29 PDT 2015 --  Why do cows get sick of mooing? Cause they listen to too much moosic. #jokes #dropmic
Sat Aug 15 10:31:05 PDT 2015 --  In the office football pool, I didn’t have the Jets QB being punched out by a teammate until Week 2.
Fri Aug 14 19:15:20 PDT 2015 --  my childhood has been resurrected pic.twitter.com/03wN3J7Rp2
Fri Aug 14 23:09:11 PDT 2015 --  I wanna be able to read books for fun but its so boring sitting and reading
Fri Aug 14 22:44:11 PDT 2015 --  Has anyone questioned why people work at retirement homes. I mean they are foreshadowing the shit out of their future!!! #foreshadow #why
Fri Aug 14 15:04:15 PDT 2015 --  Note to self: never tell anyone that you @netflix and chilled by yourself.
Fri Aug 14 11:00:59 PDT 2015 --  I wanna a girl like a heart needs blood, something that keeps me pumping for love. #openheart #love
Thu Aug 13 23:21:07 PDT 2015 --  I honestly feel like I'm never good enough for anyone, just in general.
Thu Aug 13 23:59:03 PDT 2015 --  I'm ready for the day to explain to my kids what wires, electric plugs, and cords were. #future
Thu Aug 13 09:09:53 PDT 2015 --  One of these days I wanna be the director in my dream just so I can boss people around and tell them to do random shit. #JUSTDOIT
Thu Aug 13 00:38:23 PDT 2015 --  I'm ready to go in the middle of Oregon and hold up a banner that says "if you can read this you're not that high." #weedcountry
Thu Aug 13 00:31:08 PDT 2015 --  I wonder if there's a band named music cause who doesn't like seeing the world burn #watchitburn
Wed Aug 12 14:30:09 PDT 2015 --  We're 30 minutes from the #NBAschedule release! Tune in as we'll be joined by @aldridge_12, @deandrejordan6, Charles Barkley and more!
