Fri Aug 28 05:50:00 PDT 2015 --  “where did all your money go?“ i’m either wearing it, or i ate it.
Wed Aug 26 13:50:05 PDT 2015 --  don't hit me up when you finally realize that no one else got you like i do
Mon Aug 10 10:27:29 PDT 2015 --  How senior girls are about to be on the first day of school pic.twitter.com/OtTOHwYm7e
Fri Aug 07 13:40:01 PDT 2015 --  People nowadays pic.twitter.com/PGh6wPbbIG
Sat Aug 01 04:34:36 PDT 2015 --  pic.twitter.com/c5D3tE1ZqK
Thu Jul 30 20:33:42 PDT 2015 --  "you loved her so much you fell in love with yourself" pic.twitter.com/zQ2wF5wfcJ
Mon Aug 03 08:30:42 PDT 2015 --  Instead of "have a nice day," I think I'll start saying "have the day you deserve." Ya know, let karma sort that shit out
Mon Aug 03 04:54:16 PDT 2015 --  I NEED THIS IN MY LIFE pic.twitter.com/RyWVVuFhHm
Sun Aug 02 19:08:41 PDT 2015 --  #GrowingUpAGirl "Your bra strap is showing" "Those shorts are too short" "You're wearing too much makeup" pic.twitter.com/61GfnrF1nK
Sun Aug 02 19:41:06 PDT 2015 --  When people have a snapchat story over 100 seconds pic.twitter.com/8rbLZxFeFv
Wed Feb 18 22:30:07 PST 2015 --  How true is this! pic.twitter.com/ibZeHTD8VI
Sat Aug 01 15:00:24 PDT 2015 --  Make this go viral pic.twitter.com/JNmCbsH7NN
Fri Jul 31 23:40:02 PDT 2015 --  advice to girls: most boys r dumb. so stay cute & pay attention in class bc all u need is that diploma & those degrees, boys grow up l8r
Thu Jul 30 15:17:12 PDT 2015 --  When you find the perfect snuggling position pic.twitter.com/Rpu517EhzU
Fri Jul 31 18:52:06 PDT 2015 --  Say what you feel. It's not being rude, it's called being real.
Fri Jul 31 18:53:57 PDT 2015 --  me: mom can I go out? my mom: pic.twitter.com/8XFUdMYUCF
Fri Jul 24 17:45:00 PDT 2015 --  Ever said "I'm done" and went right back?
Sun Jul 12 17:15:01 PDT 2015 --  A real boyfriend knows his girl like the back of his hand. He knows when she’s mad, sad, aggravated, happy, hurt…because that’s his girl.
Sat Apr 04 07:09:05 PDT 2015 --  ISIS Explained... pic.twitter.com/fja4TG7tIe
Sun Jul 12 15:02:34 PDT 2015 --  Don't call a girl crazy for a getting jealous, you should be fucking flattered that she cares that much about your dumb ass.
Sat Jul 04 15:15:04 PDT 2015 --  We are... pic.twitter.com/uAWzRLSbzv
