Wed Aug 26 19:13:30 PDT 2015 --  Don't forget, tomorrow is National National Day Day
Tue Aug 25 18:04:53 PDT 2015 --  Watched Snakes on a Plane after Fear the Walking Dead, kept expecting the dead passengers to come back as zombies.
Thu Aug 20 12:13:14 PDT 2015 --  And here's the tiniest ladybug I've ever seen. pic.twitter.com/bIxVQFX3kU
Wed Aug 19 17:12:27 PDT 2015 --  Seems one bird left a self- portrait. pic.twitter.com/kSBeNk5uoZ
Fri Aug 14 03:13:44 PDT 2015 --  That's a good enough reason for me. pic.twitter.com/j0Mhh9Md8e
Thu Aug 13 01:20:03 PDT 2015 --  #Lewis pic.twitter.com/CuobGHkG6Z
Mon Aug 10 01:58:46 PDT 2015 --  New Pair of Pants Needed http://chzb.gr/1W6DRgo  pic.twitter.com/PltQ1Meu5N
Thu Aug 06 07:16:29 PDT 2015 --  Catching up on my burger blog with the Virgil Burger @FatBottomBrews https://crowsburgersandbrews.wordpress.com 
Wed Aug 05 14:51:27 PDT 2015 --  Now there's a dentist I'd go to. #RIPCecil pic.twitter.com/mI4UbZz8II
Mon Jul 13 10:35:57 PDT 2015 --  Just once I'd like to walk down the street without seeing a bunch of good looking and ambitious 20-somethings filming an offbeat web series.
Fri Jul 31 04:39:09 PDT 2015 --  Not a single f**k given. pic.twitter.com/6eNfsDfsEt
Wed Jul 22 05:21:24 PDT 2015 --  Russian road rage surprise. pic.twitter.com/2Vc0fzEatr
Sat Jul 18 23:22:13 PDT 2015 --  Metal Works on @1059therock answers the question, "Were there any great 80's metal bands that I missed out on?" The answer is NO.
Thu Jul 16 18:33:04 PDT 2015 --  #legend https://twitter.com/_youhadonejob/status/621650265670877184 …
Wed Jul 15 09:52:10 PDT 2015 --  Here you go, @MaryRajotte https://twitter.com/_youhadonejob/status/621292181354074112 …
Mon Jul 13 04:02:47 PDT 2015 --  Bird Trolls GoPro Owner, Causes Panic. pic.twitter.com/YqjRxrmR62
Fri Jul 10 23:48:35 PDT 2015 --  My baby monitor just produced a paranormal horror movie http://www.theverge.com/2015/7/10/8930539/my-baby-monitor-just-produced-a-paranormal-horror-movie?utm_campaign=theverge&utm_content=article&utm_medium=social&utm_source=twitter# … via @verge
Thu Jul 09 09:38:06 PDT 2015 --  Canned chicken on Ritz crackers with grape soda for lunch? Don't mind if I do. #homealone
Sun Jul 05 18:48:30 PDT 2015 --  Maybe one day the U.S. Women's Team will stop being such buttheads and teach the men how to soccer. #USWNT
Sat Jul 04 12:52:22 PDT 2015 --  DID YOU KNOW: It takes more muscles to frown than it does to hurtle passively through a cold universe that has no known end or intention?
Fri Jul 03 11:54:55 PDT 2015 --  We should just stop warning people and let natural selection take it's course. pic.twitter.com/hnqPnGGsjA
Wed Jul 01 07:10:50 PDT 2015 --  The apocalypse will be gold-plated. You know, classy. #Trump2016
Mon Jun 29 17:34:38 PDT 2015 --  To all the terrorists bent on destroying America: you can stop now. We'll take it from here. Vote Trump 2016! #Trump2016
Wed Jun 24 06:04:42 PDT 2015 --  I guess that answered that question. pic.twitter.com/nIroPRXxyS
Fri Jun 19 21:40:47 PDT 2015 --  New burger blog is up here https://crowsburgersandbrews.wordpress.com 
Thu Jun 18 10:39:42 PDT 2015 --  How to write good. pic.twitter.com/iMnL7387NJ
