Wed Aug 26 19:08:07 PDT 2015 --  Men say feminists are oversensitive and then feel threatened by women gaining rights
Wed Aug 26 13:01:25 PDT 2015 --  Maryland is First to Ban Broad Class of Discriminatory Profiling in Law Enforcement http://ow.ly/RpZcF  pic.twitter.com/kaGtXwGdFG
Wed Aug 26 09:38:54 PDT 2015 --  That awkward moment when your professor lets you out a full half hour early because literally no one did the reading
Mon Aug 24 19:45:15 PDT 2015 --  College Still Looking For Absolute Saddest Place On Campus To Hold Transfer Student Orientation http://onion.com/1U9VmZr 
Mon Aug 24 18:12:21 PDT 2015 --  sexualize clits not tits you fucking nitwits
Mon Aug 24 15:16:23 PDT 2015 --  FIRST DAY OF CLASS AND IVE ALREADY BEEN STALKED GREAT
Sun Aug 23 18:18:07 PDT 2015 --  Update: president Hurley mentioned me in his speech to the freshman class tonight
Sun Aug 23 17:34:30 PDT 2015 --  "As you exit the building, you will follow the bagpipes. This is the first time you will follow the bagpipes, but it is not the last time."
Sun Aug 23 06:57:09 PDT 2015 --  The literal president of UMW walks up to me and goes "so let me guess: you're a theatre major"
Thu Aug 20 04:00:10 PDT 2015 --  I've already resigned myself to doing my makeup in the car bc its too early
Wed Aug 19 20:51:43 PDT 2015 --  If you're unsure, go ahead & assume I'll miss you. Statistically speaking I probably won't, but you knowing that will benefit neither of us
Mon Aug 17 07:45:25 PDT 2015 --  If you ask me about my future plans, I can assure you my only real future plans in that moment involve terminating the conversation
Fri Aug 14 19:01:45 PDT 2015 --  Biden Offers Government Post To Elvira, Mistress Of The Dark http://onion.com/1MsFQbY  pic.twitter.com/i1HK2WZn9x
Fri Aug 14 11:03:50 PDT 2015 --  I wonder if tourists know how easy they are to spot on the metro
Wed Aug 12 19:13:07 PDT 2015 --  Me: "yeah I was never baptized" My Uncle: "well then I guess you're going to hell" Me: "I mean yeah but that's not why"
Wed Aug 12 15:01:29 PDT 2015 --  What was the first recorded use of "political correctness gone mad"? Women's suffrage? The Emancipation Proclamation? The Magna Carta?
Tue Aug 11 22:58:37 PDT 2015 --  Apparently @BrOlivia_ and @steponmemoore have dissenting opinions on snapchat stories pic.twitter.com/2HlvWNZ5NK
Tue Aug 11 14:15:53 PDT 2015 --  People who believe in reverse racism are experiencing the same phenomenon as cheaters who always think everyone else is cheating
Tue Aug 11 10:50:45 PDT 2015 --  Apparently my OBGYN office is in Narnia because it's impossible to find
Mon Aug 10 11:58:22 PDT 2015 --  I just bought my textbooks for this semester and now my wallet hurts
Sun Aug 09 09:30:39 PDT 2015 --  “ @KimKardashian: Pieces are the best! My dad, brother and boyfriend are pieces... Best sign for boys!”@BrOlivia_
Sat Aug 08 14:29:55 PDT 2015 --  Sometimes I'll read an article for no reason other than the fact that the accompanying picture is from Gilmore Girls
Thu Aug 06 21:32:01 PDT 2015 --  Summary of the #GOPDebate : "Mr Trump, ur platform contradicts everything u've said in the past 30 yrs" "bc I'm rich and manipulate people!"
Thu Aug 06 19:48:11 PDT 2015 --  HOW could we forget about God?
Thu Aug 06 14:05:47 PDT 2015 --  The book list for English class has finally been posted and I have to read Gatsby AGAIN
Wed Aug 05 13:35:15 PDT 2015 --  The only school supply I need for this year tbh https://instagram.com/p/6A-o_5xp0-/ 
Wed Aug 05 10:19:47 PDT 2015 --  Going through old family pictures like "that child could be one of three people, honestly it doesn't really matter which"
Tue Aug 04 13:15:08 PDT 2015 --  Retweet if this is you! pic.twitter.com/SaywSVnHuD
Mon Aug 03 14:24:07 PDT 2015 --  Just randomly discovered Jelly Belly donated to anti-trans-students campaign in 2013. Know any good alternatives for my jelly bean cravings?
Thu Jul 30 20:10:07 PDT 2015 --  Today I asked a 14 year old boy on the metro how much he paid for his vineyard vines ball cap. He got off at the next stop.
Wed Jul 29 15:56:32 PDT 2015 --  @ me : pls stop being paranoid that you're wasting free samples
Wed Jul 29 13:18:57 PDT 2015 --  The takeaway is that @NewPolitics "West End Kids" video is the emo "Bad Blood"
Wed Jul 29 10:09:30 PDT 2015 --  Eminem Terrified As Daughter Begins Dating Man Raised On His Music http://onion.com/1MxPbyW  pic.twitter.com/ohmXuRZ6hl
Mon Jul 27 07:41:05 PDT 2015 --  Rockville's statue of a Confederate soldier was spray painted with "Black Lives Matter" http://dcist.com/2015/07/black_lives_matter_spray_painted_on.php … pic.twitter.com/LUe9xYD7un
Sat Jul 25 08:45:17 PDT 2015 --  It feels bizarre to be done with work for the summer
Thu Jul 23 15:46:43 PDT 2015 --  Looks like Gordo is still in love with me lmao pic.twitter.com/Nn31l6Tr7d
Thu Jul 23 19:59:21 PDT 2015 --  ppl act like rehab is rock bottom but if ur that bad you've probably been bad for awhile; seeking help proves ur ready&willing to get better
Tue Jul 21 17:31:10 PDT 2015 --  Spencer is psychic and the Nats are winning
Tue Jul 21 14:32:12 PDT 2015 --  Never name drop. It's uncouth & not classy. Paul McCartney taught me that. Kanye agreed
Tue Jul 21 07:54:43 PDT 2015 --  I can't believe I'm STILL having to delete people on fb for disrespecting Caitlym Jenner
Mon Jul 20 21:54:58 PDT 2015 --  My sincere apologies to everyone who's foot I accidentally jumped on tonight but THAT WAS A DAMN GOOD CONCERT @BrOlivia_ @woehrlwind
Mon Jul 20 07:42:35 PDT 2015 --  I'm officially going on the record saying I don't like the snapchat update
Mon Jul 20 07:24:59 PDT 2015 --  Exactly 1 month until I'm out of here
Thu Jul 16 11:32:59 PDT 2015 --  Oh Mylanta, it's really happening! pic.twitter.com/mD7qayaE44
Thu Jul 16 16:22:29 PDT 2015 --  Eliza Taylor is so pretty I can't function
Wed Jul 15 16:11:11 PDT 2015 --  The fact that Nick Jonas is relevant again is proof that good things come to those who wait
Wed Jul 15 12:19:37 PDT 2015 --  What is it with straight white boys and the color orange????
Mon Jul 13 21:52:55 PDT 2015 --  The metro ride home after @taylorswift13 's #1989TourDC is something alright pic.twitter.com/nDxEkkvX4N
Mon Jul 13 19:57:54 PDT 2015 --  COMING HERE WAS SUCH A GOOD DECISION #1989TourDC
Mon Jul 13 12:33:30 PDT 2015 --  *buys tswift tickets 6 hours before the concert*
Sun Jul 12 10:15:14 PDT 2015 --  When you spend all morning trying to figure out why your head's been hurting, and then realizing it's because you haven't had coffe yet
Sun Jul 12 07:50:15 PDT 2015 --  Should I get $170 tswift tickets for Monday night?? @taylorswift13 idk what to doooo
Fri Jul 10 17:59:07 PDT 2015 --  they're the Hannahs, doing Hannah things; swing dancing in Rio like they have wings
Fri Jul 10 12:34:10 PDT 2015 --  Way Off Broadway: where the staff give up and play the games themselves while the kids watch
Fri Jul 10 07:44:39 PDT 2015 --  “ @ClickHole: 7 Signs You Were A Theater Kid http://www.clickhole.com/r/2689tsd  pic.twitter.com/Wi2qwUCSU8”
Thu Jul 09 05:51:40 PDT 2015 --  When a friend's friend leaves a party & texts the host that she loves everything about your aesthetic, you know you're living your best life
Wed Jul 08 08:01:12 PDT 2015 --  “ @ClickHole: Find Out What Aubrey Plaza, Jim Parsons, And Bryce Harper Have To Say http://www.clickhole.com/r/2733tsd  pic.twitter.com/AmMiuqwRJH” @Swirli8
Mon Jul 06 07:12:33 PDT 2015 --  4 ON STAT AND 5 ON LIT GO ME
Sun Jul 05 17:54:57 PDT 2015 --  The U.S. Women just got paid 4x *LESS* to win the World Cup than the U.S. Men did to lose in the Round of 16. #USAvsJPN #WorldCupFinal
