Sat Aug 15 04:12:01 PDT 2015 --  #Aries #ZodiacPeople - Aries women have a fiery temper.
Fri Aug 14 15:05:25 PDT 2015 --  TES Cheerleaders doing a great job at Tiger Night!!!! pic.twitter.com/za2lcjjsTE
Mon Jul 27 16:34:51 PDT 2015 --  A Back-to-School Motto For All Educators: Plan hard. Teach hard. Reteach even harder. Change lives. #eduality
Wed Jul 22 18:36:44 PDT 2015 --  RT if you CAN'T WAIT for #Empire season 2! http://fox.tv/1g6VQ62  #FreeLucious #Empire pic.twitter.com/Oc83szW4qP
Wed Aug 20 08:36:29 PDT 2014 --  Brother and sister love, im sure there is nothing like it, yeah they fight, yeah they argue, but in… http://instagram.com/p/r7OOkBS1AR/ 
Wed Aug 20 05:23:59 PDT 2014 --  Jowon a BEAST allday everyday!!!!!!! http://instagram.com/p/r64Ioey1NQ/ 
Fri Aug 15 06:25:03 PDT 2014 --  My boi!!!!!!! http://instagram.com/p/ruHNiUS1Fl/ 
Fri Aug 15 06:17:36 PDT 2014 --  Jowon and Jaylah, Being silly this morning!!!!!! http://instagram.com/p/ruGW3pS1EM/ 
Fri Aug 15 06:11:47 PDT 2014 --  De'Jaylah says its friday, lets get it!!!!!!! http://instagram.com/p/ruFsWDy1DX/ 
Wed Aug 13 10:43:45 PDT 2014 --  Southside Middle School: Highlights - #Southside now on Twitter http://goo.gl/xN0PwI 
Wed Aug 13 06:46:14 PDT 2014 --  Just posted a photo http://instagram.com/p/rpAC4hS1C9/ 
Wed Aug 13 06:43:51 PDT 2014 --  Just posted a photo http://instagram.com/p/ro_xgcy1Cb/ 
Wed Aug 13 06:40:33 PDT 2014 --  My 5th grader!!!!! Im so proud of you, your going to have a great day and year just like your sister,… http://instagram.com/p/ro_ZWRS1Bz/ 
Wed Aug 13 06:31:39 PDT 2014 --  Our kindergardener!!!!! Finally the time has come for some others to share in our joy!!!!!!… http://instagram.com/p/ro-YJzS1Aa/ 
Tue Aug 12 09:55:09 PDT 2014 --  Click on View Summary to see my results of Find Story behind your Birth Date App at http://funappsworld.com/fb/deantremccurty-dobstorys.php …
Sun Jul 13 18:11:26 PDT 2014 --  Celebrating her bday still!!!!!! My nigga!!!!!!! http://instagram.com/p/qaZ0WLS1Ks/ 
Sat Jul 12 02:12:33 PDT 2014 --  Me, slick blizz, and lawonda longmile celebrating her bday!!!!!!!! http://instagram.com/p/qWHSbky1Md/ 
Fri Jun 06 13:14:01 PDT 2014 --  Forgiveness is about your own well being, it fixes your heart. #SpreadLove http://instagram.com/p/o6mXocpl36/ 
Sat May 31 18:13:31 PDT 2014 --  Myrtle Beach, S.C. http://pic-collage.com/_daRfnhdK  pic.twitter.com/2eGwUUsVCz
Sat May 31 17:56:03 PDT 2014 --  Jowon getting off the slide!!!!! http://instagram.com/p/orp39fy1Av/ 
Sat May 31 11:04:50 PDT 2014 --  Getting ready to go do some shopping!!!!!! http://instagram.com/p/oq60HTy1KZ/ 
Sat May 31 07:58:34 PDT 2014 --  Woke up to this view this morning!!!!! Myrtle Beach, S.C.!!!!! http://instagram.com/p/oqlf31S1Pa/ 
Fri Apr 25 20:52:42 PDT 2014 --  This has been a trying year for my son and I as far as school goes, and he has worked hard throughout,… http://instagram.com/p/nPReXbS1FK/ 
Mon Apr 14 17:28:51 PDT 2014 --  I'm using CallApp - Social Dialer & Caller-ID that identifies a billion unknown callers world-wide. Try it for free! https://play.google.com/store/apps/details?id=com.callapp.contacts&referrer=utm_source%3Dtwitter%26utm_medium%3Duserpost%26utm_campaign%3Dnone …
Thu Feb 20 18:54:39 PST 2014 --  This has been by far the hardest thing that I have ever had to go through yet in my 31 yrs on this… http://instagram.com/p/kqX9N-y1I8/ 
Mon Jan 20 15:18:50 PST 2014 --  Ashlyn Nevaeh sleep with her new blanket that her TT Dee got made!!!!!! http://instagram.com/p/jaKnUcS1GU/ 
Wed Jan 15 18:33:15 PST 2014 --  Proud mommy!!!!!! http://instagram.com/p/jNo49oy1B4/ 
Wed Jan 15 18:01:56 PST 2014 --  Me and Ashlynn Nevaeh!!!!!! http://instagram.com/p/jNlTlUy1NL/ 
Wed Dec 25 14:14:47 PST 2013 --  Merry Christmas everyone!!!!! http://instagram.com/p/iXGglyy1Hd/ 
Mon Dec 23 07:39:59 PST 2013 --  Happy, Happy 10th bday to my great son Bobby Jowon McCurty Jr. I love you!!!!!! http://instagram.com/p/iRPoBAy1Gr/ 
