Sat Aug 22 04:34:23 PDT 2015 --  【どう？】こちらがＫカップの爆○を持つセクシー女優です！！ http://meme-mag.net/post-81907/  pic.twitter.com/EO6rwKHTGG
Thu Aug 20 04:21:30 PDT 2015 --  柏のメディカルスタッフが輪湖の治療をしている場面 そこに現れたのは松本山雅のメディカルスタッフ 敵味方関係なく1人の選手を治療するシーンはJリーグが世界に誇る素晴らしい光景 #jleague #yamaga #reysol pic.twitter.com/dVsUqZWxrh
Tue Aug 18 05:21:03 PDT 2015 --  ノンスタ面白すぎるｗｗｗ ネタだけど井上のハートマジで強いと思うわｗｗｗ pic.twitter.com/ktIwCuQmBT
Wed Aug 19 04:15:22 PDT 2015 --  こんな先生いたらヤバいｗｗｗｗｗ pic.twitter.com/hzuM01WeTD
Wed Aug 19 03:48:10 PDT 2015 --  【動画紹介】 本田のフリーキック https://vine.co/v/OKWEF9r5zn5 
Sun Aug 16 03:49:58 PDT 2015 --  清宮半端ないけど大迫も半端なかった pic.twitter.com/pboaWEkLg5
Sun Aug 16 20:21:42 PDT 2015 --  Meth and red man tonight pic.twitter.com/77SVBlL5pX
Sun Aug 16 03:37:16 PDT 2015 --  高山に勝ちめっちゃアピールする槙野w #urawareds pic.twitter.com/Jdan7B8Agh
Fri Jul 24 10:08:26 PDT 2015 --  Gym pic.twitter.com/3Xy1JyavkX
Fri Aug 14 01:57:10 PDT 2015 --  あの、誰ですか外人さんに間違った日本語を教えたのは pic.twitter.com/7kLaMgY8iC
Sun Aug 09 04:11:43 PDT 2015 --  インハイ2連覇しました！ 小さい頃からの夢だった全国制覇を 果たせたことはほんとに嬉しい この優勝は家族や東の仲間、 応援してくださった方々のおかげです 本当に感謝しかないです 東に来てよかった。 pic.twitter.com/zXmfWhsTkX
Sun Aug 09 03:34:36 PDT 2015 --  東福岡高校インターハイ連覇おめでとうございます！ 後輩たちの頑張りはもちろん、周りの皆様の支えの結果だと思います。 後輩たちに負けないように僕も頑張らないと。
Sun Aug 09 02:29:29 PDT 2015 --  去年と今年 本当におめでとうございます pic.twitter.com/lJlA21ufwg
Wed Aug 05 07:00:16 PDT 2015 --  県ユース１年女子200m注目選手 三村萌 夙川 25"65 -1.5 奥野璃音 滝川第二 25"88 +0.8 小東ゆい 小野 26"40 -2.0 光山枝里 滝川第二 26"41 +0.8 川井麻由 明石城西 26"80 -2.0 安藤七海 明石西 27"27 -2.0
Tue Aug 04 19:03:10 PDT 2015 --  東すんごいボレーきた（笑） pic.twitter.com/VQWCNroK9b
Sun Aug 02 19:49:48 PDT 2015 --  たつきがボールボーイしてる笑 pic.twitter.com/uxFzWclN3S
Fri Jul 24 07:03:51 PDT 2015 --  友達に絶対人前でやるなと言われたモノマネ 女性は絶対にみないでくださいね、引かれるんで。 pic.twitter.com/V3MXZyM2UZ
Fri Jul 24 05:16:41 PDT 2015 --  インテルの練習にて、シャキリの驚愕プレーを、普段見ることのできない角度から！ pic.twitter.com/v1OvkUA8Rj
Thu Jul 23 04:22:08 PDT 2015 --  スター選手のそっくりさん笑 pic.twitter.com/nO1YeExmer
