Fri Aug 28 09:37:57 PDT 2015 --  Do you need some help? This could be you! #textme 2896681533 #askme pic.twitter.com/jJTFCNAyH4
Thu Aug 27 04:04:02 PDT 2015 --  #askme #gethealthy #getwealthy #textme 2896681533 pic.twitter.com/2zvTvd4WoH
Wed Aug 26 03:39:39 PDT 2015 --  Amazing products!!! Let's get started together! #itworks #getresults #loyalcustomers #gethealthy Text 2896681533 pic.twitter.com/Bij5uAXQIJ
Tue Aug 25 04:02:57 PDT 2015 --  Do you want results? I am looking for product testers at my discounted price! PM me or text 2896681533 for details! pic.twitter.com/D3ZHwydSs0
Sun Aug 23 16:43:32 PDT 2015 --  PM me or text "interested" 2896681533 #gethealthy #getwealthy #youcandoit pic.twitter.com/xNNBJ8cFcO
Sat Aug 22 11:10:11 PDT 2015 --  I am looking for product testers at my discounted price! Text 2896681533 for details! #loveyourself #gethealthy pic.twitter.com/hfyAlDxYu7
Thu Aug 20 15:12:00 PDT 2015 --  Just ask me how!!! Message or text "interested" 2896681533 #beyourownboss #jointhefamily pic.twitter.com/DfVBGQ7wi3
Tue Aug 18 07:32:19 PDT 2015 --  Ask me how, with all the products available I know I have the right one for you! #itworks #loveyourself pic.twitter.com/5SIic9vJe9
Sat Aug 15 10:50:17 PDT 2015 --  Almost done filling them all out! #gethealthy #get wealthy pic.twitter.com/xuLNrpziP4
Sat Aug 15 09:20:29 PDT 2015 --  #itworks #icanhelpyou
Fri Aug 14 11:15:42 PDT 2015 --  Here begins my new journey! Who wants to come along for the ride? I can help you get healthy and/or wealthy! pic.twitter.com/yGu93w6q2Y
Mon Aug 10 15:28:42 PDT 2015 --  Let me help you take the first step towards the next best thing in your life! #itworks #crazywrapthing pic.twitter.com/AQA61FHNge
Sun Aug 09 07:35:33 PDT 2015 --  Dealing with stress, I can help! pic.twitter.com/C9HL9UMGmy
Wed Aug 05 18:33:18 PDT 2015 --  Do you want these results? Ask me how! pic.twitter.com/C4oIRLYHyO
Tue Aug 04 03:02:52 PDT 2015 --  pic.twitter.com/fBfAHMyURk
Tue Aug 04 03:02:38 PDT 2015 --  Ask me how to get these results! pic.twitter.com/JAMiHGJxeU
Mon Aug 03 08:56:29 PDT 2015 --  Check it out! http://natashabaskerville.myitworks.com/ 
