Thu Oct 02 11:30:01 PDT 2014 --  Abrazar a alguien especial puede reducir el estrés al instante.
Wed Aug 12 17:59:52 PDT 2015 --  Si ves a una mujer manejando y de repente se prenden los limpiaparabrisas, ten cuidado, esa pendeja va a dar vuelta. Estoy en el hospital.
Sun Aug 16 22:54:52 PDT 2015 --  Favorito porque cumple el gordish.
Wed Jul 29 19:15:01 PDT 2015 --  Amar a alguien no garantiza nada, pero lo cambia todo.
Wed Jul 01 03:55:36 PDT 2015 --  Cannot take how cute is this!! pic.twitter.com/M1tTtYssJF
Mon Aug 25 16:53:32 PDT 2014 --  —Oye, tu novia se cayó al río. —Búsquenla río arriba. —Pero el río va hacia abajo. —Háganme caso, esa pendeja le lleva la contraria a todo.
Fri Aug 14 15:19:08 PDT 2015 --  @AdrianGz04 @Ricardoo_Arjona jaja sí, la verdad sí porque se contagia
Sat Aug 08 17:23:17 PDT 2015 --  Y al final, la única persona que no lo abandona a uno es la Mamá.
Thu Jun 04 18:07:04 PDT 2015 --  Einstein: La teoría es cuando se sabe todo y nada funciona. La práctica es cuando todo funciona y nadie sabe por qué.
Sat Jun 06 15:22:03 PDT 2015 --  "Al principio todos los pensamientos pertenecen al amor. Después, todo el amor pertenece a los pensamientos". Albert Einstein.
Sat Jun 06 03:18:05 PDT 2015 --  Algunas personas imaginan tan claramente la sensación de las cosquillas, que empiezan a reír incluso antes de ser tocados.
Fri Jun 05 17:57:04 PDT 2015 --  — ¡Cállate! — Cállame — pic.twitter.com/LHsuiVSqoF
Mon Oct 27 15:45:03 PDT 2014 --  La torre Eiffel desde una perspectiva diferente… pic.twitter.com/WoRKuZWMzj
Mon Oct 27 11:44:09 PDT 2014 --  El lago más espectacular del mundo se encuentra en Canadá. pic.twitter.com/82knJPE1l0
Tue Jun 09 16:05:30 PDT 2015 --  —Hola, estoy buscando el libro "Las mujeres que nunca la hacen de pedo". —Al final del pasillo, en la sección de ciencia ficción.
Wed Aug 12 16:35:02 PDT 2015 --  No soy una persona perfecta. Cometo errores, por eso aprecio a los que se quedan conmigo después de saber como soy.
Thu Aug 06 21:32:28 PDT 2015 --  Todas las mujeres antes de hacerla de pedo. pic.twitter.com/Zrtm8aC9NM
Tue Aug 11 14:35:01 PDT 2015 --  Hablar con alguien por Whatsapp. Ir a dormir. Despertar al día siguiente. Ver que su última conexión es cuando habló contigo. Ser feliz.
Thu Aug 06 20:31:12 PDT 2015 --  Desde ahora,tu nombre ha cambiado, el Señor no te ve como fracasado/a o pecador/a a partir de hoy eres llamado/a bienaventurado/a
Wed Jul 15 03:10:45 PDT 2015 --  "YA HAS LLEGADO, QUÉ EMOCIÓN, DÓNDE ESTABAS, TE HE EXTRAÑADO, POR QUÉ HAS TARDADO TANTO, TE QUIERO... DÉJAME DARTE UN BESO!!”. —Tu perro.
Sat Feb 07 06:00:44 PST 2015 --  -Agente ¿qué pasa si le llamo gilipollas? -30.000€ de multa -¿Y si llamo a un gilipollas "agente"? -Nada, aunque sería raro -Gracias, agente
Mon Dec 15 20:05:25 PST 2014 --  El verdadero secreto de la vida está en saber sacarle lo positivo a lo negativo.
Sun Jul 26 09:40:45 PDT 2015 --  Con ella hasta ser triste me hacia feliz.
Tue Mar 17 18:23:57 PDT 2015 --  Todo caballero sabe que el amor de su vida siempre serán dos mujeres: Una le dio la vida y la otra le dio sentido.
Sun Jun 21 12:51:02 PDT 2015 --  No tuvimos un final feliz, pero... ¡qué historia!
Thu Apr 30 09:33:03 PDT 2015 --  Un amigo es un hermano que elegimos.
Mon Jul 27 20:00:03 PDT 2015 --  "Continuo" es un adjetivo; "continuó" es pasado y "continúo" es presente.
Tue Jun 30 21:12:02 PDT 2015 --  No hay nada más bonito que amanecer junto a ti.
Sun Jul 26 18:33:24 PDT 2015 --  #Crack #Respect #DonaldTrumpMeLaPela pic.twitter.com/ATwEcMPOHH
Sun Jul 26 18:52:37 PDT 2015 --  Entra México a un bar, pide un agua de Jamaica en bolsita y se lo dan en copa.
Sun Jul 26 18:53:56 PDT 2015 --  Las etapas de México en la Copa Oro. pic.twitter.com/5zwLmVbJAa
Sun Jul 26 18:58:03 PDT 2015 --  MÉXICO CAMPEÓN DE LA COPA ORO, ¡MUCHAS GRACIAS CONCACAF!
Sun Jul 26 18:58:43 PDT 2015 --  Estoy listo para dirigir al Real Madrid -El Piojo Herrera
Sun Jul 26 17:10:16 PDT 2015 --  — Agent 007, Bond, James Bond. — Agent 404, Found, Not Found.
Sun Jul 26 17:10:02 PDT 2015 --  "Nunca te rindas. Grandes cosas llevan su tiempo."
Tue Jun 30 03:41:10 PDT 2015 --  Fallecen 3 elefantes y otros 45 resultan heridos al romperse la telaraña sobre la que se balanceaban.
Sun Jul 26 14:10:01 PDT 2015 --  Tres cosas que quiero: Verte, abrazarte y besarte.
Sat Mar 01 19:52:54 PST 2014 --  NOVIOS: —Te quiero. —Yo más. AMIGOS: —Te quiero. —Yo también. HERMANOS: —Te quiero. —Que quieres?
Sun Jul 26 13:32:52 PDT 2015 --  Shorts: listos. Tenis: listos. Playera deportiva: lista. Ahora sí, a correr por las carnitas porque se acaban.
Mon Oct 27 17:45:02 PDT 2014 --  Cascada Havasu, Gran Canñon, Arizona. pic.twitter.com/DGj1qIgM21
Sun Jul 26 13:30:08 PDT 2015 --  Palabras con «pt» en las que se puede suprimir la «p»: «setiembre» (septiembre), «sétimo» (séptimo) y «sétima» (séptima). Todas válidas
Sun Jul 26 13:28:01 PDT 2015 --  —¿Bailas? —No, tengo novio. —Te pregunte que si bailas, no tu situación sentimental. —Ok, vuelve a preguntar. —¿Bailas? —No, eres feo.
Sun Jun 07 17:11:02 PDT 2015 --  "Ser amigos es interpretar miradas, entender silencios, perdonar errores, guardar secretos, prevenir caídas y secar lágrimas."
Sun Jun 07 20:12:04 PDT 2015 --  "Tu sigues siendo en lo primero que pienso cuando me dicen pide un deseo."
Thu May 28 11:02:24 PDT 2015 --  Nada tan rico como el perfume de una mujer en la piel de un hombre.
Thu Jun 18 06:10:07 PDT 2015 --  ''¿Papá? Papá vamos, tienes que levantarte. Papá, tenemos que volver a casa.'' pic.twitter.com/v5JQL10yuv
Sat Jun 27 10:40:55 PDT 2015 --  El amor es ciego, y eso lo supe cuando mi corazón se cegó por ti.
Sat Jul 25 23:40:07 PDT 2015 --  His will wasn't my choice
Sat Jul 25 23:37:47 PDT 2015 --  Did it 'cause that was making me thinking about go back and drop I've done here.
Sat Jul 25 23:20:43 PDT 2015 --  She's so cute!
Mon Sep 22 10:08:28 PDT 2014 --  No es fácil despedirme de ti si también quiero que te quedes.
Sun May 10 16:41:48 PDT 2015 --  Volvamos a ser extraños. Y volvamos a encontrarnos.
Mon Jun 15 18:43:26 PDT 2015 --  Extraño lo que un día fuimos.
Sat Jul 25 21:28:02 PDT 2015 --  —¿Y que vas a hacer mañana con tu novio? —Iré a ver una película con él. —¿Si? ¿Y en que cine? —No, en su casa. — pic.twitter.com/OX2noVy5sG
Sat Jul 25 21:25:02 PDT 2015 --  Un "te echo de menos" a tiempo puede cambiar muchas cosas.
Sat Jul 25 18:00:05 PDT 2015 --  Te extraño como si fueras algo mío.
Thu Jul 23 17:59:12 PDT 2015 --  Ser feliz no es tener una vida perfecta; ser feliz es reconocer que la vida vale la pena, a pesar de las dificultades.
Tue Nov 11 15:00:15 PST 2014 --  "Jamás olvidaré el día que te conocí." pic.twitter.com/SH1SuAusfn
Fri Jun 19 20:46:45 PDT 2015 --  OFICIAL: México si paso a cuartos Pero a los cuartos del Hotel a recoger sus cosas.
Fri Jun 19 20:35:10 PDT 2015 --  La inteligencia te hace ganar una pelea y la sabiduría te hace nunca tenerla.
Fri Jun 19 23:00:59 PDT 2015 --  Una de las principales enfermedades del hombre es su inquieta curiosidad por conocer lo que no puede llegar a saber.
Sat Jun 20 07:55:20 PDT 2015 --  Al sonarte los dedos, lo que escuchas no es el crujido de los huesos sino burbujas de gas nitrógeno.
Sat Jun 13 14:57:26 PDT 2015 --  Missing someone is the worst thing that has ever existed :/
Sat Jun 13 13:00:04 PDT 2015 --  Las personas frías tienen los sentimientos más reales.
Sat Jun 13 14:20:50 PDT 2015 --  La Paz que tu sientes no significa la ausencia de problemas sino la presencia de DIOS
Sat Jun 13 14:10:32 PDT 2015 --  Cuando tus amigos sienten que comes. https://vine.co/v/eeAm2iYvMgF 
Sat Jun 13 14:30:37 PDT 2015 --  En abril de 2015 se llevó a cabo el primer vuelo directo Milán-Mérida http://ow.ly/Ogxpe  #ItaliaEnMéxico pic.twitter.com/Pa2KhLrCVB
Fri May 22 18:59:26 PDT 2015 --  pic.twitter.com/eu3bYZSzom
Fri Jan 23 20:49:24 PST 2015 --  A los calvos se les peina a sapes...
Sun Mar 01 15:24:17 PST 2015 --  Ella se hizo este Tattoo en honor al número de casa en donde se conocieron sus abuelos. pic.twitter.com/LS6dG1aOJb
Tue Feb 17 21:37:01 PST 2015 --  Si tu eres hijo de Dios, basta ya de decir que no puedes, porque Filipenses 4:13 dice que "Todo lo podemos en Cristo que nos fortalece".
Wed Dec 10 20:02:04 PST 2014 --  —Amor, ¿Me prestas tu teléfono? —Sí, pero primero dame un abrazo. —¿Por? —Porque te voy a extrañar mucho.
Fri Dec 26 18:04:32 PST 2014 --  " @Poetuin: Un "te amo" se queda corto cuando se trata de ti." @khaniag_ exactly
Wed Dec 24 14:58:35 PST 2014 --  Terminé con dolor de cabeza pero ya compré todo lo que necesitaba.
Wed Dec 24 14:43:33 PST 2014 --  " @RomanticsGifs: pic.twitter.com/ao2vrZ6TAI" @khaniag_ todos los dias asi mi amor :(
Wed Dec 24 13:52:54 PST 2014 --  " @PiensameAmor: Hay sonrisas que sólo tú y yo compartimos. pic.twitter.com/9i6MbXhFHA" @khaniag_
Tue Dec 23 12:10:31 PST 2014 --  " @MegaAsombroso: Nada como alguien que te quiera hasta cuando estás insoportable." @khaniag_ :((
Mon Dec 22 09:33:39 PST 2014 --  " @AmorGifs: Compartir todo contigo. pic.twitter.com/1vSoq6ach8" @khaniag_ exactly :(
Mon Dec 01 16:21:12 PST 2014 --  -Yo antes era un tipo vanidoso e insoportable... *Y ahora ya no??? -No. Ahora ya soy perfecto .
Fri Dec 05 09:25:49 PST 2014 --  The "but" doesn't exist in a affirmative sentence. The "but" is a way to say "I don't believe in that God says."
Wed Dec 03 10:45:20 PST 2014 --  'cause love comes slow and it goes so fast...
Sat Nov 22 22:58:30 PST 2014 --  Lo amo demasiadoooo
Sat Nov 22 23:04:48 PST 2014 --  Me casé por teléfono
Sat Nov 22 23:05:43 PST 2014 --  Nunca en la vida alguien me había hecho tan feliz
Sat Nov 22 23:06:09 PST 2014 --  
Sat Nov 22 23:09:29 PST 2014 --  Nuestra relación es demasiado perfecta
Sat Nov 22 22:54:23 PST 2014 --  @AdrianGz04 Jaja y todo es tan bonito y taaan perfecto... Te amo mi vida
Sat Nov 22 19:11:44 PST 2014 --  Sigue haciendolo por favor. pic.twitter.com/2RXukwuRfy
Sat Nov 22 20:18:49 PST 2014 --  Recordar como eramos ni novia y yo cuando nos comenzabamos a conocer y decir, "jamas pense que llegariamos a amarnos tanto como ahora"
