Fri Aug 28 23:46:26 PDT 2015 --  I gained 8619 . for a limited time. Signup Now! http://mcaf.ee/j8og3z#KeymonTerrylimbani_kaushikVishalBhesaniy/kayledrLynda_NadeauchrisrealntrueArmyBailona/http/bG3s8 …
Fri Aug 28 21:10:35 PDT 2015 --  ..GAIN NEW .. === >>> (http://mcaf.ee/jnw34u?session=prettyneisha29&u=http%3A%2F%2Fmcaf.ee%2Fm6gvr%23ccxc485d1f2dfdfdfdfg&pin=Jawzuhh&sig=nEAj7biM5Ve%2BWGfzwWFluou0uNI%3D&s=tip-read-more&big=917751440821434 …) <<< ===
Fri Aug 28 19:01:15 PDT 2015 --  Serious discussion. Idaan sa coffee. @ Starbucks Philippines https://instagram.com/p/68yOnUhDGV/ 
Fri Aug 28 18:56:25 PDT 2015 --  Happy chikahan hanggang 1:30am. #latepost #starbucks #coffeejelly #blueberry #blueberrycake #yummy… https://instagram.com/p/68xrJ9BDFj/ 
Fri Aug 28 18:30:37 PDT 2015 --  Melona lover finally. #korean #koreanfood #samgyupsal #yuganne2 #yummy #reunited #teamtokwa… https://instagram.com/p/68ut_xBDA2/ 
Fri Aug 28 18:29:10 PDT 2015 --  Nars na kami pong nanay goes to korean. #korean #koreanfood #samgyupsal #yuganne2 #yummy… https://instagram.com/p/68ujcxhDAl/ 
Fri Aug 28 18:24:48 PDT 2015 --  Sakit batok food. #korean #koreanfood #samgyupsal #yuganne2 #yummy #reunited #teamtokwa… https://instagram.com/p/68uDdRBDPo/ 
Fri Aug 28 18:22:39 PDT 2015 --  Let's go korean. #korean #koreanfood #samgyupsal #yuganne2 #yummy #reunited #teamtokwa… https://instagram.com/p/68tzu-hDPR/ 
Fri Aug 28 11:45:16 PDT 2015 --  GAIN 28486 === >>> (http://mcaf.ee/jnw34u?session=prettyneisha29&u=http%3A%2F%2Fmcaf.ee%2Fm6gvr%23ccxc485d1f2dfdfdfdfg&pin=Jawzuhh&sig=nEAj7biM5Ve%2BWGfzwWFluou0uNI%3D&s=tip-read-more&big=284861440787516 …) <<< ===
Fri Aug 28 03:52:34 PDT 2015 --  I gained 3583 . for a limited time. Signup Now! http://mcaf.ee/j8og3z#KeymonTerrylimbani_kaushikVishalBhesaniy/kayledrLynda_NadeauchrisrealntrueArmyBailona/http/bG3s8 …
Fri Aug 28 02:24:43 PDT 2015 --  ..GAIN NEW .. === >>> (http://mcaf.ee/jnw34u?session=prettyneisha29&u=http%3A%2F%2Fmcaf.ee%2Fm6gvr%23ccxc485d1f2dfdfdfdfg&pin=Jawzuhh&sig=nEAj7biM5Ve%2BWGfzwWFluou0uNI%3D&s=tip-read-more&big=278711440753883 …) <<< ===
Thu Aug 27 17:04:42 PDT 2015 --  ..GAIN NEW .. === >>> (http://mcaf.ee/jnw34u?session=prettyneisha29&u=http%3A%2F%2Fmcaf.ee%2Fm6gvr%23ccxc485d1f2dfdfdfdfg&pin=Jawzuhh&sig=nEAj7biM5Ve%2BWGfzwWFluou0uNI%3D&s=tip-read-more&big=452551440720282 …) <<< ===
Thu Aug 27 15:23:19 PDT 2015 --  I gained 4169 . for a limited time. Signup Now! http://mcaf.ee/j8og3z#KeymonTerrylimbani_kaushikVishalBhesaniy/kayledrLynda_NadeauchrisrealntrueArmyBailona/http/bG3s8 …
Mon Aug 17 03:17:43 PDT 2015 --  Let's watch One More Chance part 2. Sa october daw ito lalabas. @katketket manalangjenny … https://instagram.com/p/6ew5sPhDC6/ 
Sun Aug 16 05:50:51 PDT 2015 --  Allergies. Urgggghh
Sun Aug 16 03:33:27 PDT 2015 --  Hayyy bakit napaka init. Rainy season ba talaga?
Mon Aug 10 10:15:51 PDT 2015 --  I'm really in the mood for Disneyworld
Sat Aug 15 06:50:20 PDT 2015 --  #ALDUB https://twitter.com/mainedcm/status/632443262737870848 …
Sat Aug 15 02:20:09 PDT 2015 --  Tweet tweet!
