Fri Aug 28 10:48:45 PDT 2015 --  Mmm. Birthday cupcakes! Key Lime and Boston Cream... pic.twitter.com/gw64kYOJfQ
Wed Aug 26 20:37:54 PDT 2015 --  I am awesome! I just finished 5 minutes of Full Body Stretch with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Wed Aug 26 20:29:55 PDT 2015 --  I finished a 27 minute @FitStar Session https://app.fitstar.com/sessions/55de7ccc0229b062ec4ff4df?token=U1EUousUKx4kpDCB67e1 … pic.twitter.com/uk04StNGP5
Wed Aug 26 19:54:43 PDT 2015 --  I am awesome! I just finished the 7 Minute Workout with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Wed Aug 26 19:40:36 PDT 2015 --  Just finished week 4 day 2 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Tue Aug 25 14:30:12 PDT 2015 --  Typhoon Lagoon is the place to be for tropical fun in the sun. pic.twitter.com/TaNT4EmqNY
Tue Aug 25 08:51:33 PDT 2015 --  Yum!!!! pic.twitter.com/dFcDYB4TUL
Sun Aug 23 19:44:50 PDT 2015 --  I earned the Namaste badge on @FitStar! https://app.fitstar.com/users/55b6de137b85dd7c870073ff/achievements/55da84c13a6e857b688ce40c … pic.twitter.com/uyzf29ZJHV
Sun Aug 23 19:07:19 PDT 2015 --  Just finished week 4 day 1 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Fri Aug 21 17:05:34 PDT 2015 --  One of the most important keys to Success is having the discipline to do what you know you should do, even when you dont feel like doing it.
Fri Aug 21 20:05:38 PDT 2015 --  Better than nothing! 5 minutes of Yoga Sun Salutation with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Fri Aug 21 19:58:00 PDT 2015 --  I am awesome! I just finished 10 minutes of Rump Roaster with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Fri Aug 21 19:32:22 PDT 2015 --  Just finished week 3 day 3 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Thu Aug 20 17:53:04 PDT 2015 --  If you want something you've never had, you must do something you've never done.
Thu Aug 20 19:23:25 PDT 2015 --  I am awesome! I just finished 15 minutes of Core Strength with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Thu Aug 20 18:51:35 PDT 2015 --  Just finished week 3 day 3 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Wed Aug 19 19:14:39 PDT 2015 --  Just finished week 3 day 2 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Wed Aug 19 02:01:00 PDT 2015 --  Stop yourself back. It's bad enough you have people who don't believe in you. Don't be one of those people.
Wed Aug 19 02:37:03 PDT 2015 --  It only one step between you and greatness: the first step.
Tue Aug 18 19:42:51 PDT 2015 --  I finished a 19 minute @FitStar Session and burned 77 calories with 40s of Seated Twist https://app.fitstar.com/sessions/55b6de1520715247fb05421d?token=upjG554yramTqFcB6KKH … pic.twitter.com/9VF2Ir9V44
Tue Aug 18 19:11:51 PDT 2015 --  Just finished week 3 day 1 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Tue Aug 18 15:06:08 PDT 2015 --  Fitness is like marriage. You can't cheat and expect it to work.
Tue Aug 18 05:59:26 PDT 2015 --  You can have RESULTS or excuses NOT BOTH.
Mon Aug 17 20:01:37 PDT 2015 --  The difference between try and triumph is a little UMPH.
Mon Aug 17 19:02:58 PDT 2015 --  I am awesome! I just finished 10 minutes of Yoga Sun Salutation with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Mon Aug 17 18:50:45 PDT 2015 --  I am awesome! I just finished 15 minutes of Upper Body with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Mon Aug 17 12:38:39 PDT 2015 --  Just finished week 2 day 3 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Sun Aug 16 19:03:52 PDT 2015 --  Don't worry about how slow you're going. If you're moving forward, that's progress.
Sun Aug 16 19:21:08 PDT 2015 --  I am awesome! I just finished Yoga for Runners with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Sun Aug 16 19:09:37 PDT 2015 --  I am awesome! I just finished Lower Body with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Sun Aug 16 18:56:03 PDT 2015 --  Download the #Sworkit app for guided strength, yoga, pilates and stretching workouts at http://sworkit.com  http://sworkit.com 
Sun Aug 16 10:30:56 PDT 2015 --  Your chance to win ends in less than 3 hours! https://twitter.com/orlandoinformer/status/632281622709202944 …
Sun Aug 16 08:02:04 PDT 2015 --  Just finished week 2 day 2 of #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Fri Aug 14 20:35:40 PDT 2015 --  I am awesome! I just finished Yoga Sun Salutation with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Fri Aug 14 20:28:18 PDT 2015 --  I am awesome! I just finished 15 minutes of Core Strength with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Fri Aug 14 06:46:26 PDT 2015 --  #Beadweaving Free #Tutorial for Lazy Susan Bracelets via @marysartjewelry http://bit.ly/175j4kn 
Thu Aug 13 20:50:25 PDT 2015 --  Just finished #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Wed Aug 12 19:19:56 PDT 2015 --  I am awesome! I just finished Yoga for Runners with Sworkit Pro #NoGymNoExcuse http://sworkit.com 
Wed Aug 12 19:01:50 PDT 2015 --  Just finished #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Fri Aug 07 06:40:05 PDT 2015 --  Can't wait to go back! https://twitter.com/universalorl/status/629621766831390720 …
Thu Aug 06 20:13:42 PDT 2015 --  Krinos Taste of Danforth Trip to Greece -July 30-August 17 http://woobox.com/378by4/fnnx3u 
Thu Aug 06 19:58:40 PDT 2015 --  Veg on the Beach with me! Visit http://www.vegonthebeach.com  to enter for a chance to win a beach vacation!
Tue Jul 28 18:45:15 PDT 2015 --  Two in a row!! Just finished #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Mon Jul 27 18:37:40 PDT 2015 --  It's on!! Zombie Run in October!!! Just finished #C25K with @c25kfree! @zenlabsfitness! #everymomentcounts #run #running #health #fitness
Wed Jun 03 13:21:39 PDT 2015 --  Guardians of the Galaxy sequel takes major step forward says director: http://bit.ly/1ANlA07  #Marvel pic.twitter.com/0cPuVaSogm
Thu May 21 10:06:11 PDT 2015 --  Happy 16th birthday, @strickslife13 Have a spectacular day!!
Fri May 08 08:42:01 PDT 2015 --  TGIF???? pic.twitter.com/MzyJx38SbD
Thu May 07 19:48:12 PDT 2015 --  If anyone has Cheestrings PIN codes they aren't using, I would love to have them.
Thu May 07 19:16:21 PDT 2015 --  The perfect Universal Orlando shot! Is it time to go back yet? pic.twitter.com/vZbGYOacs9
Thu May 07 05:12:02 PDT 2015 --  Aaaahhhhh!! https://twitter.com/orlandoinformer/status/596279015578705920 …
