Fri Aug 28 12:07:06 PDT 2015 --  Amar Baby ta amr motoi Stupid !! r ettogula...hmm i trust..karon eita ami !!!
Wed Aug 26 11:21:24 PDT 2015 --  http://youtube.com  http://fb.me/40e88SNQv 
Tue Aug 25 04:03:48 PDT 2015 --  WooHoo....... #xoxo Girls :) :) If i had yu, I have to alwz do my stupid things w7 yu ;) ;) !!! aaha! den Yu... http://fb.me/45nK5IYv2 
Sun Jul 26 11:32:37 PDT 2015 --  How many sms do you send a day? — 50 http://ask.fm/a/cajcn8ba 
Sun Jul 05 08:53:46 PDT 2015 --  I've napped... Fuck it.. It's Sunday night and I'll go out if I fucking want to.....damn It yay
Sat Jun 13 23:01:21 PDT 2015 --  The Best back bench nd best teammate history Of world. #Ronaldinhoo He iz the main reason why i support... http://fb.me/4IYWSv4Vx 
Thu Jun 11 01:52:17 PDT 2015 --  My stupid bro.....ক্লাস 4 এ পরে... এখনি চুলে স্পাইক করে। আর মামি আমাকে ব্লেইম করে। আমার কাছ থেকে নাকি শিখতেছে?!... http://fb.me/7iOWR6jL2 
Tue Jun 09 06:35:59 PDT 2015 --  I'm pissed off. I'm pissed dat amazing people r suicidal. I'm pissed dat kids get cancer. I'm pissed dat poor... http://fb.me/2kxAvpblS 
Sun May 24 06:33:45 PDT 2015 --  Dat's 0ur Rules http://fb.me/3vmgiLRYt 
Tue May 19 07:25:08 PDT 2015 --  Latest খবর লবিন ভাইয়া কে এই মাত্র পুলিশে ধইরা নিয়া গেছে।
Sun May 17 23:05:01 PDT 2015 --  আমরা একটু বেশিই ষ্টুপিড............ http://fb.me/3e75Bphue 
Sat May 16 06:01:54 PDT 2015 --  I dont have a huge house, a brand new car or lots of money. Wt i do have is an amazing family, friends and... http://fb.me/1LszU3zht 
Fri May 15 23:44:01 PDT 2015 --  Las Vegas, Nevada -এ আমার ভালো একটা ফ্রেন্ড আছে #Melisa ও আমাকে খুব লাইক করে। ও ওর নিজের স্ট্রিপ ভিডিও আমার কাছে... http://fb.me/25RNpYN0c 
Wed May 13 02:50:31 PDT 2015 --  Happy Birthday Sunny Leon didi. Tmi amr favourite actress. Tmr jonno amdr koto omritto ros hani hoise tar kuno... http://fb.me/31KVOGlVz 
Tue May 12 09:49:15 PDT 2015 --  I've been living with a shadow overhead, I've been sleeping with a cloud above my bed, I've been lonely for so... http://fb.me/7frtAw2Hw 
Sun May 10 03:15:58 PDT 2015 --  পার্টে যদি আর্ট না থাকে দেন সেটা হয়ে যায় গুণ্ডামি।আর এই গুণ্ডামিটা বাঙালী জাতির হেডাগিরির একটি বড় অংশ দখল করে... http://fb.me/49BbtJttK 
Sat May 09 02:03:27 PDT 2015 --  I've to kick off dis idiot shit. Uh sucking my brain.. I don't know how people can fake an entire relationship..I... http://fb.me/4FlY4MAkg 
Thu May 07 02:26:52 PDT 2015 --  I’m sneaking,staying,afraid.It’s seems someone is after me.Bloody fucking earth let me down I wanna kick you.I’ll... http://fb.me/3KW3kzCPn 
Tue May 05 09:57:21 PDT 2015 --  My lips start to shake and tears build up quickly and fall fast. I'm bent over or crouched and not make any noise... http://fb.me/3FnR5U7Ld 
Mon May 04 02:26:00 PDT 2015 --  আহ আমার বাসার পাশেই ভেলুয়ার দীঘি ।। অনেকদিন পর আবার ইচ্ছা মত সাঁতরাইলাম ।। এমনিতেই আমার গায়ে জ্বর ... তার উপর... http://fb.me/1EAkGQpEq 
Sat May 02 08:16:42 PDT 2015 --  God sucks lot.. Does it make sense? Its a public place. Who da hell r u?Is it a style showing people dat u r a... http://fb.me/6Az8kvSGP 
Tue Apr 28 09:31:05 PDT 2015 --  God Dammit whts fucking wrong with u people, *Da Boy u called lame. He has to work every night to support his... http://fb.me/7ZgB9AEmN 
