Fri Aug 28 13:00:09 PDT 2015 --  50 shades of dark circles under my eyes
Tue Aug 25 16:37:02 PDT 2015 --  At this point I don't even care. I'm just going with the flow. Whatever happens, happens.
Tue Aug 25 18:30:07 PDT 2015 --  if we’re dating you can have your freedom, you’re not my prisoner. just stay loyal & be honest. that’s all i ask.
Sun Aug 23 10:10:06 PDT 2015 --  i hate when guys say "you're so beautiful, how are you single?" bc i'm fucking crazy dude, okay?! i'm emotionally unfuckingstable.
Wed Aug 19 21:05:27 PDT 2015 --  How hard is that? pic.twitter.com/zGTPMT0xMZ
Fri Aug 14 20:15:08 PDT 2015 --  yes pic.twitter.com/rqbZ30MSF8
Thu Aug 20 16:30:07 PDT 2015 --  Being able to rub your eyes bc you're not wearing make up is one of the best feelings
Wed Aug 19 15:25:05 PDT 2015 --  If you ignore me, I'll ignore you. If you don't put in the effort, why should I?
Wed Aug 19 18:39:31 PDT 2015 --  I don't want feelings I want new clothes
Wed Aug 19 10:00:16 PDT 2015 --  guys: "I need a girl with a fat ass, large boobs, tiny waist, big lips, long hair, etc." girls: "Tall guys are the best." guys: "NOT FAIR"
Wed Aug 19 10:25:15 PDT 2015 --  if you're a bitch to me i will clearly be a bigger bitch back to u
Sat Aug 15 08:19:02 PDT 2015 --  Flirting with whats mine? You must want to die.
Sat Aug 15 10:00:16 PDT 2015 --  Honestly pic.twitter.com/EtPiT8NlCL
Mon Aug 17 14:26:18 PDT 2015 --  ur stupid if u think a drunk hookup each weekend is better than a girl who would do anything for u & actually gives a shit about u
Sat Aug 15 18:16:08 PDT 2015 --  She was scared as hell to want you, but there she was, wanting you.
Tue Aug 18 03:30:22 PDT 2015 --  I appreciate it when I smile at another girl and she smiles back because it's like wow not all girls are spawns of satan
Tue Aug 18 06:24:02 PDT 2015 --  People that text you twice just to keep the conversation going are my kind of people
Tue Aug 18 07:20:02 PDT 2015 --  do you ever just want to punch yourself in the face for liking someone too much
Tue Aug 18 05:50:37 PDT 2015 --  i pray my daughter never lays in bed late at night crying over a low life boy & wondering what she did so wrong
Mon Aug 17 18:30:04 PDT 2015 --  @ bae pic.twitter.com/3elOLZbqzP
Mon Aug 17 09:05:42 PDT 2015 --  Never judge pic.twitter.com/1EvZwdMRun
Mon Aug 17 09:30:56 PDT 2015 --  Things don't.... pic.twitter.com/SrOdyt0iuQ
Sat Aug 15 17:07:10 PDT 2015 --  pic.twitter.com/WFT4Wpsd9k
Sun Aug 16 06:05:00 PDT 2015 --  It's so funny seeing girls randomly tweet "lol" because girl I feel you. What did you just see? What he do?
Sun Aug 16 06:09:07 PDT 2015 --  “i dont like short hair on girls” yeah well i dont like short dicks on guys but here u are
Sun Aug 16 06:14:00 PDT 2015 --  if you're my boyfriend then there is absolutely no need to get jealous because i'm probably obsessed with you
Sun Aug 16 06:26:04 PDT 2015 --  Being referred to as “my girl” makes me melt
Fri Aug 14 12:05:22 PDT 2015 --  Treat your girl right, or sit back and watch someone else do it for you.
Sat Aug 15 12:16:08 PDT 2015 --  we have sex in my head so much.
Thu Aug 13 11:30:07 PDT 2015 --  Mentally, the worst feeling is feeling unwanted by the one person you want the most...
Thu Aug 13 03:30:37 PDT 2015 --  After being disappointed so many times, psychologically you begin to lose hope in everything!
Wed Aug 12 17:00:06 PDT 2015 --  if i try to talk to you and you seem uninterested i will never try to talk to you again ever
Wed Aug 12 17:30:25 PDT 2015 --  Cell phone radiation causes insomnia. Using your phone before bed can prevent you from getting sleep.
Wed Aug 12 18:16:01 PDT 2015 --  u ignore my text message i ignore ur death
Wed Aug 12 18:32:28 PDT 2015 --  self reminder: you're still young and you're not supposed to have your whole life figured out yet. don't stress. everything will work out.
Wed Aug 12 18:38:03 PDT 2015 --  my face is a 4 my personality is a 6 so basically i'm a 10
Wed Aug 12 18:36:00 PDT 2015 --  hate when i lose something and my parents says "well i guess u didnt care about it enough" like youve lost me in a grocery store before so
Thu Aug 06 19:40:42 PDT 2015 --  This is so well said pic.twitter.com/Ungcyn1JZ3
