Fri Aug 28 16:50:29 PDT 2015 --  Tfacon j'espère que le rouetourne va tourner #claudia #SS9
Mon Aug 24 08:22:16 PDT 2015 --  "Hey Swaggman pourquoi tu portes toujours des lunettes ?" CAR JE PREYFEYR ÊTRE LE SEUL À CHOISIR LA COULEURS AVEC LAQUELLE JE REGARDE MA VIE
Sun Aug 23 17:14:24 PDT 2015 --  Es que le temps c'est de l'argent, tu peux rattrapé l'oseille mais peux tu rattraper le temps.. @Lacrim_Officiel
Sun Aug 23 17:11:18 PDT 2015 --  JE SUIS VIVANT, ET JE LE RESTEREY ...
Sat Aug 22 01:47:39 PDT 2015 --  Quand ton article est exact jusqu'à la dernière ligne pic.twitter.com/J1uwMOKlKP
Thu Aug 20 06:26:55 PDT 2015 --  🏼 pic.twitter.com/zoZDoCzEsj
Wed Aug 19 15:56:52 PDT 2015 --  🏼 pic.twitter.com/rJ6WCvuWZb
Thu Aug 13 08:12:17 PDT 2015 --  RT SI TU PENSE QUE CEY L'ENFEYR VIP GARANTIE POUR SWAGG MAN BEYBEY LE JOUR DU JUGEMENT DERNIEYY ET QUE JE PAIEREY MA PLACE O PARADI BEYBEY
Sun Aug 09 16:49:30 PDT 2015 --  Si tu veux quelque chose, bat toi https://instagram.com/p/6Lna1vSV2y/ 
Sun Aug 09 06:54:48 PDT 2015 --  NORMAL T SUR UNE AIR DE REPOS POUR ALLEY MANGEY CAR TA FAIM ET TU VOIS ÇA POSEY A COTEY MOI MA PAROL SNAP DIRECT pic.twitter.com/3U3bh8f6fi
Sat Aug 08 06:00:50 PDT 2015 --  LA VIE EST BELLE, C'EST JUSTE LES GENS QUI SONT MOCHE ET QUI RENDENT MOCHE LA VIE C'EST TOUT... pic.twitter.com/TmhVUhtE0J
Mon Aug 03 12:32:39 PDT 2015 --  Dans le camps officiel des Carpes, il y a moi : Icegreen. #ClashOfClans #briii pic.twitter.com/dTvYqw8stE
Mon Aug 03 18:28:33 PDT 2015 --  C COMMENT ??!!???!! PAUVRE FRANCE pic.twitter.com/KdXece4XPl
Thu Jul 30 18:11:13 PDT 2015 --  PAS D'AMIE, PAS DE FAMILLE...QUE DE L'OSEILLE EN GUISE DE MEILLEUR AMI
Wed Jul 29 11:41:35 PDT 2015 --  LE FRANÇAIS PRÉFÈRE SAVOIR BIEN ÉCRIRE SANS FAUTES !! PLUTÔT QUE D'ÊTRE MILLIONNAIRE . SI DE SAVOIR BIEN ECRIRE TE SUFFIT BIN MAZAL TOV
Wed Jul 29 09:35:36 PDT 2015 --  ELLE ELLE MÉRITE PAS D CLAQUE ??!!DÉFINITION DU MOT JALOUSIE
