Sat Aug 29 03:00:05 PDT 2015 --  HOGWARTS EXPRESS COUNTDOWN: 3 days to go until it's time to go home <3
Fri Aug 28 13:27:46 PDT 2015 --  So proud of my boys. Even after all these years, they still want to kick each other's arses. pic.twitter.com/nwQI7s4jka
Thu Aug 27 20:02:15 PDT 2015 --  Twitter and Instagram update on the same day--I love it.
Wed Aug 26 18:36:36 PDT 2015 --  #NationalDogDay has made me feel more dogless than ever
Tue Aug 25 17:49:01 PDT 2015 --  me on the second day of school https://vine.co/v/eieAUqzV11m 
Fri Aug 21 21:13:04 PDT 2015 --  Corfu Island, Greece pic.twitter.com/1I52e6y5VN
Fri Aug 21 13:18:26 PDT 2015 --  IM STILL FREAKING OUT ABOUT ASPYN AND PARKER I WILL HAVE NO CHILL FOR ABOUT A WEEK
Fri Aug 21 04:27:39 PDT 2015 --  I don't blame you, Tom. * * I do blame Tom. https://twitter.com/TomFelton/status/634674199668387840 …
Wed Aug 19 13:03:44 PDT 2015 --  Are you broken Iowa pic.twitter.com/IxhtAQtMP3
Wed Aug 12 07:22:16 PDT 2015 --  Happy #WorldElephantDay! pic.twitter.com/PtUXfGTf6e
Wed Aug 12 01:29:50 PDT 2015 --  I'm just going to leave this here, @jk_rowling #ExpectoPugtronum pic.twitter.com/lXzJymLdvw
Tue Aug 11 18:59:30 PDT 2015 --  And now treat your ears to the vocal event of the year, @mirandasings & @torikelly gloriously covering 'Bad Blood'. http://youtu.be/Ptu-1jAVLOM 
Wed Aug 05 15:24:44 PDT 2015 --  #september #ari http://www.arianagrandefragrances.com  https://instagram.com/p/6BLC9myWUL/ 
Tue Aug 04 23:01:52 PDT 2015 --  Just wanted to let you know that the next single from 1989 will be........... Wildest Dreams.
Wed Aug 05 01:24:56 PDT 2015 --  today was an exceptionally superb day
Fri Jul 31 05:36:49 PDT 2015 --  Happy birthday to J.K. Rowling (aka the best author ever) and Harry Potter
Fri Jul 31 05:08:16 PDT 2015 --  Thank you so much to everyone wishing Harry and me a happy birthday! I'm having a wonderful time in the sun with family and friends. xxxxx
Wed Jul 29 04:36:18 PDT 2015 --  Harry wasn't chosen for Ravenclaw because he tried to catch the Hogwarts letters from the air instead of taking one from the floor.
Mon Jul 20 19:11:17 PDT 2015 --  I wanna travel the world
Mon Jul 20 09:32:41 PDT 2015 --  Harry Potter puns will neville get old
Fri Jul 17 21:25:07 PDT 2015 --  
Sat Jul 04 11:49:34 PDT 2015 --  It's a party in the USA.. #FourthofJuly pic.twitter.com/gcOK9njJmN
Sat Jul 04 12:05:40 PDT 2015 --  You needed a study to figure out that people season their food with more than salt and water? https://twitter.com/washingtonpost/status/572832131648516097 …
Fri Jul 03 08:15:11 PDT 2015 --  James Phelps with a GREAT answer. pic.twitter.com/34qbW0v8Mc
Thu Jul 02 13:24:52 PDT 2015 --  #TweetSomethingYouGetAlot "Verizon Msg: You've used about 90% of your 2GB data plan (cycle ends the 18th)."
Tue Jun 30 15:25:54 PDT 2015 --  Me: I'm too hot Me: *opens window* *in flies twelve moths, sixteen flies and the Chudley Cannons quidditch team*
Fri Jun 26 09:22:39 PDT 2015 --  Finally. #LoveWins
Fri Jun 26 08:38:25 PDT 2015 --  gay marriage is now legal in all 50 states!! such a happy day!
Fri Jun 26 08:58:31 PDT 2015 --  YAAAAAAS AMERICA LOVE WON. LOVE WINS. AND IT AL.WAYS. WILL. (i'm crying)
Fri Jun 26 05:03:13 PDT 2015 --  Got the best happy birthday message from @EmWatson and co. this morning. Looking curiously like she was in costume for something… #mabelle
Thu Jun 25 10:00:07 PDT 2015 --  all i want for my bday is to be absolutely smothered by everyone i love. all my friends. and i know that's already happening. so i'm .
Tue Jun 23 20:20:02 PDT 2015 --  I don't know why, but I really like this. pic.twitter.com/jbFw3BpaOr
Tue Jun 23 15:19:45 PDT 2015 --  that guy in jurrassic world who grabbed his margarita before running from the dinosaurs
Tue Jun 23 03:11:00 PDT 2015 --  omg so many feels watching people reunite in airport arrivals
Mon Jun 22 17:36:47 PDT 2015 --  pad thai mac & cheese burritos sushi pizza cheeseburgers chicken tikka masala breadsticks fettuccini alfredo guacamole
