Sat Nov 15 16:05:28 PST 2014 --  BUY '1989' NOW iTunes: http://smarturl.it/TS1989  Target: http://tgt.biz/rmjn  Store: http://smarturl.it/TS1989Store  Amazon: http://amzn.to/1tCvWWf 
Wed Aug 26 10:43:48 PDT 2015 --  Just the premiere tonight then ha ! Got my days mixed up !
Wed Aug 26 10:36:48 PDT 2015 --  So does X Factor start tonight/today ?
Wed Aug 26 03:36:37 PDT 2015 --  @tinyIittleIou me too . Too late to change it now . Gutted
Wed Aug 26 02:47:29 PDT 2015 --  @otramericana I'm already winning
Wed Aug 26 02:43:51 PDT 2015 --  @otralilos obviously !!! Can't wait !
Wed Aug 26 02:43:33 PDT 2015 --  @jetblavkheart obv
Wed Aug 26 02:42:58 PDT 2015 --  @justSona tell me something I don't know ...
Wed Aug 26 02:40:47 PDT 2015 --  @ashellof this long --------------
Wed Aug 26 02:37:39 PDT 2015 --  Payno watch you're back !
Wed Aug 26 02:37:05 PDT 2015 --  Siiiiiiiiiiiiiiiiiiiiiiiiick show tonight !!!
Wed Aug 26 10:44:24 PDT 2015 --  Can't wait for it to start !!
Thu Aug 27 16:18:48 PDT 2015 --  @SamNasri19 try get better at Fifa lad
Fri Aug 28 12:37:07 PDT 2015 --  Thinking about my little friend Chloe tonight who is poorly ;( @ChloeBalloqui #SaveChloe #WeCanBeatThis pic.twitter.com/jJpbeINnXf
Wed Oct 23 19:47:04 PDT 2013 --  THANK YOU. #MyBeliebers
Fri Aug 28 12:36:47 PDT 2015 --  A tag ainda está nos trends Brasil #BuyWhatDoYouMeanTODAYOniTunes
Fri Aug 28 10:41:18 PDT 2015 --  CONFIRMADO: O vídeo de #WhatDoYouMean será lançado dia 30 de Agosto, às 11pm EST (00h00 no Brasil)! Preparem-se! pic.twitter.com/xZW4koeJ9v
Fri Aug 28 10:42:44 PDT 2015 --  #WhatDoYouMean iTunes - http://smarturl.it/iWDYM  Spotify - http://smarturl.it/sWDYM  VEVO - http://www.vevo.com/watch/USUV71502093?syndicationid=bb8a16ab-1279-4f17-969b-1dba5eb60eda&shortlink=Jyf3l9&country=US&referralurl=http%3a%2f%2ft.co%2fTs6b0cfQxQ …
Fri Aug 28 10:51:20 PDT 2015 --  krystalbee: " #WhatDoYouMean…. Você nunca teve uma sessão de dança com o @justinbieber ️? Aqui ESTAMOS NÓS!!!" pic.twitter.com/xMFbhuwFsD
Fri Aug 28 11:33:31 PDT 2015 --  #WhatDoYouMean não só é um sucesso como também bateu o recorde do iTunes como o single a entrar mais rápido em #1 lugar! ORGULHO! 🏻
Fri Aug 28 12:14:09 PDT 2015 --  Justin voltou com tudo! #WhatDoYouMean é um sucesso nas rádios dos EUA, está tocando nas maiores rádios. 🏻 #BuyWhatDoYouMeanTODAYOniTunes
Fri Aug 28 11:42:50 PDT 2015 --  I'm overwhelmed, humbled, and grateful. I didn't know how you would all accept me. Thank you. #WhatDoYouMean thank you.
Wed Aug 26 14:06:12 PDT 2015 --  WW sales: @Hozier, Hozier 16,000 (1,671,000 total).
Wed Aug 26 14:13:49 PDT 2015 --  WW sales: @Imaginedragons, Smoke + Mirrors 10,000 (909,000 total).
Wed Aug 26 14:23:48 PDT 2015 --  WW sales: @kendricklamar, To Pimp A Butterfly 1,021,000.
Fri Aug 28 08:13:39 PDT 2015 --  UK certifications ( @bpi_music): @Skrillex & @diplo Feat. @Justinbieber, Where Are Ü Now Platinum (600,000).
Thu Aug 27 17:37:26 PDT 2015 --  Def Jam loves @justinbieber #WhatDoYouMean pic.twitter.com/9KJbwtKjfp
Fri Aug 28 04:47:24 PDT 2015 --  Watch @justinbieber's official lyric video for "What Do You Mean?" featuring @RyanSheckler! http://smarturl.it/WDYMly 
Fri Aug 28 11:07:22 PDT 2015 --  #WhatDoYouMean music video comes out on @Vevo at 11pm ET after the @MTV VMAs this Sunday! @justinbieber #BieberIsBack pic.twitter.com/unY2AZQQda
Fri Aug 28 04:30:24 PDT 2015 --  NEW: @justinbieber's single "What Do You Mean?" -- stream it on @Spotify now: http://smarturl.it/sWDYM  #WhatDoYouMean pic.twitter.com/rOl8UidttN
Wed Aug 05 14:04:09 PDT 2015 --  Happy #WonderstruckWednesday! Have you had a chance to witness all the #IncredibleThings at #1989Tour? pic.twitter.com/1mIuZQH1DW
Wed Aug 12 14:54:13 PDT 2015 --  Happy #WonderstruckWednesday! Who is looking forward to the #IncredibleThings that come with going back to school? pic.twitter.com/MA4VxAlVRV
Fri Aug 28 07:10:54 PDT 2015 --  Wishing @taylorswift13 good luck this weekend and can't wait to see the #WildestDreamsMusicVideo. #IncredibleThings pic.twitter.com/t8IljhXNyj
Fri Aug 14 13:36:33 PDT 2015 --  Who is Lex Luthor? #BatmanvSuperman pic.twitter.com/EdDZHCMEI9
Tue Aug 18 07:39:34 PDT 2015 --  The 'Batman V. Superman' costume designer dishes on what to expect from the film's wardrobe: http://bit.ly/1hlAMtd  pic.twitter.com/3OgKwVnuYT
Thu Aug 20 17:28:18 PDT 2015 --  #BTS with @BenAffleck​ and @ZackSnyder on the #BatmanvSuperman set. #TBT pic.twitter.com/VPpNNQv8vT
Fri Aug 28 06:25:16 PDT 2015 --  #iTunesUSA: 1. Justin Bieber - What Do You Mean? (+60) pic.twitter.com/sRymuuv9EZ
Fri Aug 28 06:47:57 PDT 2015 --  Publicação diz que Selena Gomez, Bruno Mars e a empresária Taylor Swift se apresentarão no VMAs: http://www.bcharts.com.br 
Fri Aug 28 11:55:56 PDT 2015 --  "What Do You Mean?" do Justin Bieber se torna a canção mais rápida a alcançar o topo do iTunes http://www.contempop.com.br/2015/08/what-do-you-mean-do-justin-bieber-se.html …
Fri Aug 28 07:32:46 PDT 2015 --  São Paulo Fashion Week - Diretor da Puma confirma turnê da Rihanna no Brasil em 2016: http://bit.ly/1LGpqwv  pic.twitter.com/RzHQeAKEQl
Fri Aug 28 07:37:04 PDT 2015 --  Reinha! Justin Bieber está em #1 nos iTunes de 71 países com seu novo single: http://bit.ly/1IgiApU  pic.twitter.com/hUa4axTNqt
Thu Aug 27 17:34:54 PDT 2015 --  #BuyWhatDoYouMeanTOMORROW rumo aos TT's mundiais!
Thu Aug 27 17:38:50 PDT 2015 --  Nova foto do Justin no programa "Elvis Duran Show", na Rádio Z100 NYC - 24/08. #BuyWhatDoYouMeanTOMORROW pic.twitter.com/SXtP2x9fg5
Thu Aug 27 17:39:55 PDT 2015 --  defjamrecords via Instagram: "A Def Jam ama o @justinbieber #WhatDoYouMean #1day" https://instagram.com/p/66DjInPprg/  #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 17:41:03 PDT 2015 --  Lembrando que todos podem comprar WDYM no iTunes, basta baixar o iTunes em seu computador, não precisa ter Apple. #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 17:47:48 PDT 2015 --  A tag não para de subir, já está em #3, é isso ai, continuem usando e rumo aos mundiais #WhatDoYouMean #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 17:47:09 PDT 2015 --  Quem tiver uma conta, por favor, se inscreve, obrigado desde já https://www.youtube.com/channel/UCj9YxHK3tb_MQTiGRnS5DgA … #WhatDoYouMean #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 17:46:33 PDT 2015 --  Preciso "apenas" de 500 inscritos, dps vcs dão unfollow se quiserem https://www.youtube.com/channel/UCj9YxHK3tb_MQTiGRnS5DgA … #WhatDoYouMean #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 17:45:07 PDT 2015 --  Galera, me ajuda, se inscrevam no meu canal pra mim por uma URL personalizada, please? https://www.youtube.com/channel/UCj9YxHK3tb_MQTiGRnS5DgA … #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 08:29:22 PDT 2015 --  @macklemore you're the man
Thu Aug 27 17:43:56 PDT 2015 --  A música tinha vazado, mas, pelo visto, já retiraram do ar! #WhatDoYouMean http://www.justinbiebermusic.com/ 
Thu Aug 27 17:36:25 PDT 2015 --  @fuckpaw minha morte já tem hora marcada #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 17:38:17 PDT 2015 --  10 HORAS E 21 MINUTOS #WhatDoYouMean http://www.justinbiebermusic.com/ 
Thu Aug 27 17:35:33 PDT 2015 --  10 HORAS E 24 MINUTOS SCRR #WhatDoYouMean http://www.justinbiebermusic.com/ 
Thu Aug 27 17:31:34 PDT 2015 --  Vamos continuar usando a tag, rumo aos trends mundiais #BuyWhatDoYouMeanTOMORROW
Thu Aug 27 17:26:36 PDT 2015 --  allisimpson via Instagram: " @justinbieber me contou um segredo #WhatDoYouMean?" #BuyWhatDoYouMeanTOMORROW pic.twitter.com/IWhU0Yerb2
Thu Aug 27 17:27:26 PDT 2015 --  A tag #BuyWhatDoYouMeanTOMORROW está no Trends Brasil!! Vamos subir mais, continuem usando Beliebers!
Thu Aug 27 17:28:02 PDT 2015 --  Justin na rádio Disney, em Los Angeles, Califórnia - (27/08). http://bieberfotos.com/thumbnails.php?album=3063 … #BuyWhatDoYouMeanTOMORROW pic.twitter.com/OaySlZ3EL6
Thu Aug 27 17:28:26 PDT 2015 --  Justin na rádio Disney, em Los Angeles, Califórnia - (27/08). http://bieberfotos.com/thumbnails.php?album=3063 … #BuyWhatDoYouMeanTOMORROW pic.twitter.com/cYJJc0JcUh
Thu Aug 27 17:29:48 PDT 2015 --  Team Bieber via Fahlo: " #11HOURS #WhatDoYouMean" #BuyWhatDoYouMeanTOMORROW pic.twitter.com/Pogoi7Z4Uo
Thu Aug 27 15:40:47 PDT 2015 --  Novas fotos do Justin com fãs na rádio SiriusXM Hits 1, em Los Angeles - 27/08. #WhereAreUNowVMA pic.twitter.com/lMPGMD0yPG
Thu Aug 27 15:17:31 PDT 2015 --  Surprise! I’m throwing a very special #REVIVALevent for my Selenators on Sept. 16… http://selenagomez.com/REVIVAL  http://youtu.be/52pxlu_WWUM 
Thu Aug 27 08:34:53 PDT 2015 --  :) #1Day pic.twitter.com/r45LLP7NnQ
Thu Aug 27 15:36:12 PDT 2015 --  Malcom é estrela de campanha para novo uniforme do Corinthians http://esporte.uol.com.br/futebol/ultimas-noticias/2015/08/27/malcom-e-estrela-de-campanha-para-novo-uniforme-do-corinthians.htm?cmpid=fb-geral … via @UOLEsporte @UOL
Thu Aug 27 15:14:20 PDT 2015 --  Apparently, @SelenaFanClub is managed by Selena Gomez's official team. Make sure you follow the account! #REVIVALevent
Thu Aug 27 09:05:35 PDT 2015 --  I love this dog! Thanks @marniethedog #1day #whatdoyoumean pic.twitter.com/s7BQv4uCpL
Thu Aug 27 09:05:46 PDT 2015 --  Everyone is ready. @rorykramer run it! #1day #whatdoyoumean? pic.twitter.com/PvMlMOSQwX
Thu Aug 27 09:08:29 PDT 2015 --  Everyone should listen to @AlecBaldwin. he knows what he is talking about. #1day #whatdoyoumean ;) pic.twitter.com/2tpZbL0rJ7
Thu Aug 27 09:46:04 PDT 2015 --  WHAT DO YOU MEAN? @Skrillex #1Day it's time pic.twitter.com/lS6oSL9mfd
Thu Aug 27 07:10:43 PDT 2015 --  We're beyond excited that @justinbieber is BACK and performing at the 2015 #VMAs! http://mtvne.ws/EGaUvZ  pic.twitter.com/jyJ4BM7odj
Thu Aug 27 07:00:14 PDT 2015 --  Start breathing into a paper bag #Beliebers... @justinbieber will be in studio TOMORROW! #WhatDoYouMean #1Day
Thu Aug 27 10:08:19 PDT 2015 --  see all of u and I appreciate and love u. It's about the music again :) love #mybeliebers #1day #whatdoyoumean thanks pic.twitter.com/2TA7zFfcpR
Thu Aug 27 15:24:20 PDT 2015 --  Estou lendo “Ed Sheeran escreveu uma linda canção romântica em parceria com Rita Ora” http://edsheeran.com.br/2015/08/ed-sheeran-escreveu-uma-linda-cancao-romantica-em-parceria-com-rita-ora/ …
Thu Aug 27 15:24:04 PDT 2015 --  Estou lendo “Ed Sheeran alcança o primeiro lugar nas paradas da Billboard” http://edsheeran.com.br/2015/08/ed-sheeran-alcanca-o-primeiro-lugar-nas-paradas-da-billboard/ … via @edsheerancombr
Thu Aug 27 15:05:38 PDT 2015 --  Justin Timberlake sobe ao palco e canta Mirrors com Taylor Swift na 1989 Tour: http://justintimberlake.com.br/justin-timberlake-sobe-ao-palco-e-canta-mirrors-com-taylor-swift-na-1989-tour/ …
Thu Aug 27 13:09:47 PDT 2015 --  Os caminhões da turnê já estão em San Diego para o próximo show que acontecerá no sábado #1989TourSanDiego pic.twitter.com/AXH4vC7zbF
Thu Aug 27 14:39:13 PDT 2015 --  Já viram as fotos do show inesquecível que aconteceu ontem em Los angeles? Adicionamos mais algumas fotos em HQ... http://fb.me/4bJyrXuq1 
Wed Aug 26 17:26:04 PDT 2015 --  "1989" da Taylor Swift™ bate 8 milhões de cópias vendidas no mundo: http://bit.ly/1IhTY01  pic.twitter.com/gVvL5s2oVX
Wed Aug 26 17:39:59 PDT 2015 --  Papapum confirma mais uma música no novo álbum platinado de Demi Lovato: http://bit.ly/1MOQaK6  pic.twitter.com/r7hZZkWxoe
Wed Aug 26 18:25:26 PDT 2015 --  Demi Lovato revela capa e data de lançamento do "Confident", seu novo álbum: http://bit.ly/1MOQaK6  pic.twitter.com/Xz6AnhbYSv
Wed Aug 26 20:13:18 PDT 2015 --  #iTunesUSA: 18. Good For You +1 19. Cool for the Summer -1 40. Good For You = 159. Cool for the Summer -3
Tue Aug 25 22:44:36 PDT 2015 --  pic.twitter.com/XUAAtSsfUc
Wed Aug 26 10:22:42 PDT 2015 --  pic.twitter.com/2AJkJa6VQU
Wed Aug 26 08:18:29 PDT 2015 --  #2Days pic.twitter.com/lhdvJSF31p
Wed Aug 26 08:18:55 PDT 2015 --  What Do You Mean? @FLAGALine #2Days pic.twitter.com/n261xch11w
